%d 권을 더 읽어야 수련을 완료 할 수 있습니다.	Ennyivel: %d több Készségkönyvet kell elolvasnod, hogy fejleszthesd ezt a képzettséget. 
%d 냥을 투자하셨습니다.	%d Yangot fektettél be. 
%d 냥을 획득하셨습니다.	%d Yangot nyertél. 
%d 레벨이 되어야 다시 염색하실 수 있습니다.	El kell érned a %d szintet, hogy ismét befesthesd a hajad. 
%d 분 %d 초 동안 채팅금지 상태입니다	%d perc %d másodperc van még hátra a chat tiltásodból 
%d 시간 %d 분 %d 초 동안 채팅금지 상태입니다	%d óra %d perc %d másodperc van még hátra a chat tiltásodból 
%d 시간 %d 초 동안 채팅금지 상태입니다	%d óra %d másodperc van még hátra a chat tiltásodból 
%d 종류 %d 마리 낚음	%d-ból %d-t fogtál. 
%d 초 동안 채팅금지 상태입니다	%d másodperc van hátra a chat tiltásodból 
%d 초 후에 군주의 축복을 사용할 수 있습니다	%d másodperc után lehet a császár áldását felhasználni. 
%d 초간 쿨타임이 적용중입니다.	Újrafelhasználási idõ kb. %d másodperc 
%d 초후 목적지로 이동됩니다.	%d másodperccel az indítás után eléred a célhelyet. 
%d%% 확률로 관통 공격	Átható támadás %d%% eséllyel. 
%d%% 확률로 적퇴치시 경험치 추가 상승	Tapasztalat növekedés %d%%-kal az ellenség feletti gyõzelemnél. 
%d%% 확률로 적퇴치시 돈 2배 드롭	A zsákmányolt Yang növekedése %d%%-kal az ellenség feletti gyõzelemnél. 
%d%% 확률로 적퇴치시 생명력 회복	%d%% esély az életerõ feltöltésére egy gyõzelem után. 
%d%% 확률로 적퇴치시 아이템 2배 드롭	A zsákmányolt tárgyak növekedése %d%%-kal az ellenség feletti gyõzelemnél. 
%d%% 확률로 적퇴치시 정신력 회복	Mana emelkedés %d%%-kal az ellenség feletti gyõzelemnél. 
%d%% 확률로 치명타 공격	Kritikus támadás %d%% eséllyel. 
%d%% 확률로 타격시 상대 전신력 소모	%d%% valószínûséggel lesz Mana elvéve az ellenségtõl. 
%d%% 확률로 피해시 정신력 회복	Mana elnyelõdés %d%% eséllyel. 
%d분의 결제시간이 추가 되었습니다. (결제번호 %d)	%d játékidõ lett hozzáadva az eddigiekhez.. (Fizetési szám %d) 
%d의 경험치를 획득했습니다.	%d tapasztalatot szereztél. 
%d초 남았습니다.	%d másodperc a végéig. 
%d초 만큼 충전되었습니다.	%d másodperc hozzáadva. 
%d초 후 게임이 셧다운 됩니다.	%d másodperc múlva vége a játéknak. 
%s : %d 마리	%s: %d 
%s SP소모: %d	%s FP felhasználás: %d 
%s killcount %d mobkillcount %d bosskillcount %d 성지 진입수 %d	%s killcount %d mobkillcount %d bosskillcount %d szent föld száma %d 
%s 군주 후보에서 삭제하였습니다	%s-t törölve lett a császár jelöltek közül. 
%s 군주로 입명 했습니다.	%s császárnak van jelölve. 
%s 군주르 제거 하였습니다..	A %s császárt eltávolítják. 
%s 군주를 제거 할수 없습니다.	%s császár nem eltávolítható. 
%s 길드가 %s 길드에 선전포고를 하였습니다!	A(z) %s céh háborút hirdetett %s ellen. 
%s 길드가 %s 길드와의 전쟁에서 승리 했습니다.	%s megnyerte a céhháborút %s ellen. 
%s 길드가 %s 길드의 깃발을 빼앗았습니다!	%s megszerezte %s zászlóját. 
%s 길드와 %s 길드 사이의 전쟁이 무승부로 끝났습니다.	A céhháború döntetlennel végzõdött %s és %s között. 
%s 길드와 %s 길드 사이의 전쟁이 취소되었습니다.	A céhháború %s és %s között törölve lett. 
%s 길드와 %s 길드가 잠시 후 전쟁을 시작합니다!	A céhháború perceken belül elkezdõdik %s és %s között. 
%s 길드와 %s 길드가 전쟁을 시작하였습니다!	A céhháború elkezdõdött %s és %s között. 
%s 길드의 %s이 %d%% 증가했습니다!	%s a %s céhnek felment %d%%-ra. 
%s 길드의 %s이 정상으로 돌아왔습니다.	%s a %s céhnek normalizálódott. 
%s 길드의 깃발을 %s 님이 획득하였습니다.	A %s céh zászlaját ellopta %s játékos. 
%s 는 군주 후보가 아닙니다.	%s nem császár jelölt. 
%s 는 군주로 입명할수 없습니다 .	%s-t nem lehet császárnak jelölni. 
%s 님과의 교환이 성사 되었습니다.	Az üzlet %s személlyel sikerült. 
%s 님에게 파티가입 신청을 했습니다.	Szeretnél %s csoportjába lépni. 
%s 님으로 부터 친구 등록을 거부 당했습니다.	%s elutasította a meghívást. 
%s 님은 %d 채널에 접속 중 입니다. (현재 채널: %d)	%s játékos a %d csatornán található. (Te a %d csatornán vagy) 
%s 님은 접속되 있지 않습니다.	%s nem online. 
%s 님은 정상적으로 출마를 하였습니다.	%s játékos már a választásban van. 
%s 님을 소환하였습니다.	%s játékost választottad ki. 
%s 님이 대련에서 승리하였습니다.	%s megnyerte a párbajt. 
%s 님이 승리하였습니다.	%s nyert. 
%s 블럭! (%d%%)	%s blokk! (%d%%) 
%s 아이템 을 획득하셨습니다	%s tárgyat nyertél. 
%s 아이템이 필요합니다	Szükséged van %s-re. 
%s 에게로 이동합니다	Transzport a %s játékoshoz. 
%s 회피! (%d%%)	%s kitérés! (%d%%) 
%s: 존재하지 않는 길드 입니다.	%s: Ez a céh nem létezik. 
%s[%d]가 공격 위치: %d %d	%s[%d] Támadó Pozíciója: %d %d 
%s님과의 대결 시작!	A harc %s ellen megkezdõdött. 
%s님이 대결신청을 했습니다. 승낙하려면 대결동의를 하세요.	%s harcra hívott téged. 
%s님이 주사위를 굴려 %d가 나왔습니다. (%d-%d)	%s dobott kockával. Dobásának értéke %d (%d-%d). 
%s를 구웠습니다.	%s-t sütsz a tûz fölött. 
%s에 박혀있던 보석이 사라집니다.	A %s-ból készült drágakõ eltûnt. 
%s에 전쟁의 시작을 알리는 봉화가 나타났습니다.	Máglyát gyújtottak %s-nél, hogy csatára figyelmeztessenek. 
%s에게 대결신청을 했습니다.	%s harcra hívott. 
%s에서 봉화를 둘러싸고 전투가 진행중입니다.	Háború van %s-ben a máglya meggyújtásáért. 
%s에서 소켓 빠질때까지 남은 시간 %d	A %s idõbõl a foglalat eltávolításáig fennmaradó: %d 
%s의 %s이 %d%% 증가했습니다!	%s: %s megnövekedett %d%%-kal! 
%s의 %s이 정상으로 돌아왔습니다.	%s %s-a normalizálódott. 
%s의 군주가 %s 님으로 교체되었습니다.	%s császárát lecserálták. Az új császár: %s. 
%s이 모든 봉화를 파괴하였습니다.	%s minden máglyát szétrombolt. 
%s이 봉화를 파괴했습니다.	%s szétrombolta a máglyát. 
%s이 수성에 성공했습니다.	%s sikeresen védekezett. 
%s이 수성에 실패하여 전쟁에 패배하였습니다..	%s elvesztette a háborút, mert nem tudta megvédeni a kastélyt. 
%s이 필요합니다.	Ehhez szükséges : %s 
<길드> 상대방이 초대 신청을 받을 수 없는 상태입니다.	<Céh> Az ellenfeled nem tudja fogadni a meghívásod. 
<길드> 용신력 회복에 실패하였습니다.	<Céh> A sárkányszellem nem lett újrateremtve. 
<길드> 용신력이 부족합니다. (%d, %d)	<Céh> Nincs elég sárkány szellem. (%d, %d) 
<길드> 이미 같은 이름의 길드가 있습니다.	<Céh> Ez a céhnév már foglalt. 
<길드> 이미 다른 전쟁에 참전 중 입니다.	<Céh> A céhed már egy másik harcban vesz részt. 
<길드> 이미 전쟁 중인 길드입니다.	<Céh> A céh már háborúban áll. 
<길드> 이미 전쟁이 예약된 길드 입니다.	<Céh> A céh már egy másik háborúban vesz részt. 
<길드> 잘못된 금액입니다.	<Céh> Nem megfelelõ Yang mennyiség. 
<길드> 잠시후에 이용해주십시오	<Céh> Késõbb próbáld meg újra. 
<길드> 잠시후에 이용해주십시오.	<Céh> Próbáld meg újra késõbb. 
<길드> 장군을 지정할 권한이 없습니다.	<Céh> Nincs jogod ahhoz hogy céhvezetõt válassz. 
<길드> 적합하지 않은 직위 이름 입니다.	<Céh> A rangnév érvénytelen. 
<길드> 전비가 부족하여 길드전을 할 수 없습니다.	<Céh> Nincs elég Yang a céhharcban való részvételhez. 
<길드> 제공하고자 하는 경험치가 남은 경험치보다 많습니다.	<Céh> A felkínált tapasztalat nagyobb a megmaradónál. 
<길드> 직위 권한을 변경할 권한이 없습니다.	<Céh> Nincs jogosultságod a hatalmi pozíciód megváltoztatására. 
<길드> 직위 이름을 변경할 권한이 없습니다.	<Céh> Nincs jogosultságod a rangneved megváltoztatására. 
<길드> 직위를 변경할 권한이 없습니다.	<Céh> Nem változtathatod meg a pozíciót. 
<길드> 최대 길드원 수를 초과했습니다.	<Céh> A maximális céhkapacitást el lett érve. 
<길드> 쿨타임이 끝나지 않아 길드 스킬을 사용할 수 없습니다.	<Céh> Még nem tudod a céh képességeit használni. 
<길드> 탈퇴한 후 %d일 이내에는 길드를 만들 수 없습니다.	<Céh> A céh elhagyása után %d napig nem csinálhatsz újat. 
<길드> 탈퇴한 후 %d일이 지나지 않은 사람은 길드에 초대할 수 없습니다.	<Céh> Ezt a játékost csak %d nap múlva hívhatod meg újra. 
<길드> 해산한 후 %d일 이내에는 길드를 만들 수 없습니다.	<Céh> A céh feloszlatása után %d napig nem csinálhatsz újat. 
<길드> 현재 길드가 전쟁 중 입니다.	<Céh> Ez a céh éppen egy csatában vesz részt. 
<메신져> %s 님을 메신저에서 삭제하였습니다.	<Barátok> %s-t törölted a listáról. 
<메신져> %s 님을 친구로 추가하였습니다.	<Barátok> %s-t felvetted barátaid közé. 
<메신져> 운영자는 메신져에 추가할 수 없습니다.	<Barátok> Nem adhatsz GM-et a listádhoz. 
<창고> 거리가 멀어서 창고를 열 수 없습니다.	<Raktár> Túl messze vagy a raktártól, hogy kinyisd. 
<창고> 기존 비밀번호가 틀렸습니다.	<Lager> Hibás jelszót adtál meg. 
<창고> 옮길 수 없는 위치입니다.	<Lager> Mozgás nem lehetséges 
<창고> 이 아이템은 넣을 수 없습니다.	<Lager> A tárgy nem raktározható. 
<창고> 잘못된 암호를 입력하셨습니다.	<Lager> Rossz jelszót adtál meg. 
<창고> 창고 비밀번호가 변경되었습니다.	<Raktár> Raktár jelszó megváltoztatva. 
<창고> 창고가 이미 열려있습니다.	<Lager> A raktár már nyitva van. 
<창고> 창고로 옮길 수 없는 아이템 입니다.	<Raktár> Nem helyezheted ezt az elemet a raktáradba. 
<창고> 창고를 닫은지 10초 안에는 열 수 없습니다.	<Lager> 10 másodpercet kell várnod a raktár újra nyitásához. 
<퀘스트> 이전에 같은 보상을 받은 적이 있어 다시 받지 않습니다.	<Quest> Már megkaptad a jutalmad. 
<파티> %s 님이 파티 거부 상태입니다.	<Csoport> %s visszautasítja a meghívást a csoportodba. 
<파티> %s님의 파티에 참가하셨습니다.	<Csoport> %s belépett a csoportodba. 
<파티> %s님이 파티 초대를 거절하셨습니다.	<Csoport> Visszautasították %s az ajánlatod. 
<파티> %s님이 파티에 참가하셨습니다.	<Csoport> %s belépett a csoportodba. 
<파티> -30 ~ +30 레벨 이내의 상대방만 초대할 수 있습니다.	<Csoport> Csak -30 és +30 szint közötti játékosok hívhatóak meg. 
<파티> 관전 모드에선 파티 초대를 할 수 없습니다.	<Csoport> Megfigyelõ státuszban nem intézhetsz meghívást. 
<파티> 다른 제국과 파티를 이룰 수 없습니다.	<Csoport> Egy másik birodalom játékosával nem tudsz csoportot alkotni. 
<파티> 다른 파티원을 탈퇴시킬 수 없습니다.	<Csoport> Nem zárhatod ki csoporttársadat. 
<파티> 대상을 소환할 수 없습니다.	<Csoport> Nem hívhatod a célt. 
<파티> 더 이상 파티원을 초대할 수 없습니다.	<Csoport> Nem hívhatsz több játékost a csoportodba. 
<파티> 던전 안에서는 파티 초대를 할 수 없습니다.	<Csoport> Kazamatában nem intézhetsz meghívást. 
<파티> 던전 안에서는 파티 초대에 응할 수 없습니다.	<Csoport> Kazamatában nem tudsz elfogadni meghívást. 
<파티> 던전 안에서는 파티에서 나갈 수 없습니다.	<Csoport> Nem hagyhatsz el csoportot egy kazamatában. 
<파티> 던전 안에서는 파티에서 추방할 수 없습니다.	<Csoport> Egy kazamatában nem zárhatsz ki játékost. 
<파티> 던젼내에서는 파티를 나갈 수 없습니다.	<Csoport> Kazamatában nem hagyhatsz el csoportot. 
<파티> 던젼내에서는 파티원을 추방할 수 없습니다.	<Csoport> Kazamatában nem zárhatsz ki játékost. 
<파티> 리더만 변경할 수 있습니다.	<Csoport> Csak a csoportvezetõ változtathatja meg. 
<파티> 상태를 변경하려는 사람이 파티원이 아닙니다.	<Csoport> A cél nem tagja a csoportodnak. 
<파티> 서버 문제로 파티 관련 처리를 할 수 없습니다.	<Csoport> A szerver nem tudja feldolgozni a csoport feladatot. 
<파티> 소환하려는 대상을 찾을 수 없습니다.	<Csoport> Nem lett megtalálva a cél. 
<파티> 이미 %s님은 파티에 속해 있습니다.	<Csoport> %s már a csoportodban van. 
<파티> 파티 기술은 파티장만 사용할 수 있습니다.	<Csoport> A csoport képességei csak a csoportvezetõ rendelkezésére állnak. 
<파티> 파티 초대에 응할 수 없습니다.	<Csoport> Nem fogadhatod el a meghívást. 
<파티> 파티가 해산 되었습니다.	<Csoport> feloszlott a csoport. 
<파티> 파티내 최고 레벨 보다 30레벨이 낮아 초대할 수 없습니다.	<Csoport> Nem hívhatod meg a játékost, mert túl alacsony szinten van. 
<파티> 파티내 최저 레벨 보다 30레벨이 높아 초대할 수 없습니다.	<Csoport> Nem hívhatod meg a játékost, mert túl magas szinten van. 
<파티> 파티에서 나가셨습니다.	<Csoport> Kiléptél a csoportból. 
<파티> 파티에서 추방당하셨습니다.	<Csoport> Kizártak a csoportból. 
<파티> 파티요청을 한 캐릭터를 찾을수 없습니다.	<Csoport> A játékos aki meghívott, nem online. 
<파티> 파티원을 초대할 수 있는 권한이 없습니다.	<Csoport> Nincs jogosultságod meghívót adni. 
<파티> 파티원을 현재 위치로 소환할 수 없습니다.	<Csoport> Nem hívhatod csoporttársaidat az aktuális pozíciódba. 
<파티> 파티의 인원제한이 초과하여 파티에 참가할 수 없습니다.	<Csoport> Nem léphetsz be a csoportba, mert már tele van. 
O 입니다	Igen (O) 
OX 문제 스크립트 로딩 성공	OX Quiz Script betöltõdött. 
OX 문제 스크립트 로딩 실패	OX Quiz Script nem tölthetõ be. 
OX 상품을 지급하였습니다. ID: %d 수량: %d	OX A díjat kiosztották. ID: %d Quantity: %d 
OX 이벤트가 시작되었습니다.	OX Esemény elkezdõdött. 
OX 이벤트가 이미 진행중입니다(flag: %d)	Az esemény már zajlik (Flag: %d) 
OX 이벤트를 마치겟습니다.	OX Az esemény lezárult. 
OX이벤트 맵을 먼저 닫아 주세요.(Flag: %d)	Elõször zárd be az OX eseménykártyát. (Flag: %d) 
