ACCE_ABSORB_COST	Emiş fiyatı: {}
CANNOT_SKILL_ATTACK	I cannot attack that.
CANNOT_SKILL_BLUE	Kırmızı kurt ruhu etkinken, çivit kurt ruhunu kullanamazsın.
CANNOT_SKILL_DEST_IN_SAFE	Düşman çok uzakta.
CANNOT_SKILL_EQUIP_FISHING_ROD	Bir oltaya ihtiyacım var.
CANNOT_SKILL_HAVE_TO_RIDE	Bunu kullanmadan önce bir ata ihtiyacım var.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Boş bir şişem yok.
CANNOT_SKILL_NEED_POISON_BOTTLE	Zehirli şişem yok.
CANNOT_SKILL_NEED_TARGET	Hedef kim?
CANNOT_SKILL_NOT_ENOUGH_HP	Yeterli HP yok!
CANNOT_SKILL_NOT_ENOUGH_SP	Yeterli SP yok!
CANNOT_SKILL_NOT_HORSE_SKILL	Bunu at sürerken kullanamam.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Bu beceriyi bu silahla kullanamam.
CANNOT_SKILL_NOT_YET_LEARN	Bu beceriyi öğrenmedim.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Bu sadece grup üyelerini etkiler.
CANNOT_SKILL_ONLY_FOR_CORPSE	Bu sadece ölüleri etkiler.
CANNOT_SKILL_RED	Çivit kurt ruhu etkinken, kırmızı kurt ruhunu kullanamazsın.
CANNOT_SKILL_REMOVE_FISHING_ROD	Bu beceriyi olta ile kullanamam.
CANNOT_SKILL_SELF_IN_SAFE	I cannot attack from here.
CANNOT_SKILL_USE_SELF	Bunu kendi üzerimde yapamam.
CANNOT_SKILL_WAIT_COOLTIME	Henüz bu beceriyi kullanamam.
CANNOT_SKILL_BLOCKED	This skill cannot be used here.
CANNOT_USE	You cannot use this.
CANNOT_WHISPER_DEST_REFUSE	{} fısıldamayı blokladı.
CANNOT_WHISPER_NOT_LOGON	{} bağlı değil.
CANNOT_WHISPER_SELF_REFUSE	Fısıldamayı blokladığında birine birşey fısıldayamazsın.
CATEGORY_ARMOR_ARMOR_BODY	Zırhlar
CATEGORY_ARMOR_ARMOR_HEAD	Miğferler
CATEGORY_ARMOR_ARMOR_SHIELD	Kalkanlar
CATEGORY_COSTUMES	Kostümler
CATEGORY_COSTUMES_COSTUME_BODY	Kostümler
CATEGORY_COSTUMES_COSTUME_HAIR	Saç Modelleri
CATEGORY_COSTUMES_COSTUME_WEAPON	Silah Görünümleri
CATEGORY_COSTUMES_ETC	Diğerleri
CATEGORY_COSTUMES_SASH	Omuz Kuşakları
CATEGORY_DRAGON_STONE	Ejderha Taşı Simyası
CATEGORY_DRAGON_STONE_DRAGON_DIAMOND	Elmas
CATEGORY_DRAGON_STONE_DRAGON_GARNET	Grena
CATEGORY_DRAGON_STONE_DRAGON_JADE	Yeşim
CATEGORY_DRAGON_STONE_DRAGON_ONYX	Oniks
CATEGORY_DRAGON_STONE_DRAGON_RUBY	Yakut
CATEGORY_DRAGON_STONE_DRAGON_SAPPHIRE	Safir
CATEGORY_DRAGON_STONE_ETC	Diğerleri
CATEGORY_EQUIPMENT_ARMOR	Ekipmanlar
CATEGORY_EQUIPMENT_JEWELRY	Mücevher
CATEGORY_EQUIPMENT_WEAPON	Silahlar
CATEGORY_ETC	Diğerleri
CATEGORY_ETC_ETC	Diğerleri
CATEGORY_ETC_EVENT	Etkinlik Eşyaları
CATEGORY_ETC_GIFTBOX	Sandıklar | Kutular
CATEGORY_ETC_MATRIMORY	Düğün
CATEGORY_ETC_PARTI	Savaş Becerisi Kitapları
CATEGORY_ETC_POLYMORPH	Dönüşüm Küreleri
CATEGORY_ETC_RECIPE	İksir Oluşturma
CATEGORY_ETC_SEAL	Ruha Bağlama
CATEGORY_FISHING_PICK	Balıkçılık | Madencilik
CATEGORY_FISHING_PICK_EQUIPMENT_PICK	Kazmalar
CATEGORY_FISHING_PICK_ETC	Diğerleri
CATEGORY_FISHING_PICK_FISHING_POLE	Oltalar
CATEGORY_FISHING_PICK_FOOD	Balıklar
CATEGORY_FISHING_PICK_PICK_BOOK	Madencilik Rehberleri
CATEGORY_FISHING_PICK_STONE	Cevherler
CATEGORY_JEWELRY_ARMOR_EAR	Küpeler
CATEGORY_JEWELRY_ARMOR_FOOTS	Ayakkabılar
CATEGORY_JEWELRY_ARMOR_NECK	Kolyeler
CATEGORY_JEWELRY_ARMOR_PENDANT	Tılsım
CATEGORY_JEWELRY_ARMOR_WRIST	Bilezikler
CATEGORY_JEWELRY_ITEM_BELT	Kemerler
CATEGORY_MOUNT_PET	Binekler | Petler
CATEGORY_MOUNT_PET_CHARGED_PET	Petler
CATEGORY_MOUNT_PET_EGG	Pet Yumurtaları
CATEGORY_MOUNT_PET_FREE_PET	Seviye Atlayabilen Petler
CATEGORY_MOUNT_PET_MOUNT	Binekler
CATEGORY_POTION	İksirler
CATEGORY_POTION_ABILITY	Kullanım Malları
CATEGORY_POTION_ETC	Diğerleri
CATEGORY_POTION_HAIRDYE	Saç Renkleri
CATEGORY_SKILL	Beceriler
CATEGORY_SKILL_BOOK_OF_OBLIVION	Unutkanlık Kitapları
CATEGORY_SKILL_ETC	Diğerleri
CATEGORY_SKILL_PAHAE	Misilleme | Güçlendirme
CATEGORY_SKILL_SKILL_BOOK	Beceri Kitapları
CATEGORY_TUNING	Geliştirmeler
CATEGORY_TUNING_ETC	Diğerleri
CATEGORY_TUNING_RESOURCE	Malzemeler
CATEGORY_TUNING_STONE	Zihin Taşları
CATEGORY_UNIQUE	Özel Eşyalar
CATEGORY_UNIQUE_ABILITY	Tüketim Malları
CATEGORY_UNIQUE_ETC	Diğerleri
CATEGORY_WEAPON_WEAPON_ARROW	Oklar
CATEGORY_WEAPON_WEAPON_BELL	Çanlar
CATEGORY_WEAPON_WEAPON_BOW	Yaylar
CATEGORY_WEAPON_WEAPON_CLAW	Pençe
CATEGORY_WEAPON_WEAPON_DAGGER	Hançerler
CATEGORY_WEAPON_WEAPON_FAN	Yelpazeler
CATEGORY_WEAPON_WEAPON_MOUNT_SPEAR	Mızraklar
CATEGORY_WEAPON_WEAPON_QUIVER	Ok Çantaları
CATEGORY_WEAPON_WEAPON_SWORD	Tek Elli Silah
CATEGORY_WEAPON_WEAPON_TWO_HANDED	Çift Elli Silahlar
CHANGE_ALREADY_REGISTER	[Yansıtma] Bu nesne kaydedildi.
CHANGE_LOOK_CHANGE_ITEM	Bu nesneyi yansıtmak istiyor musun?
CHANGE_LOOK_CHECK_OUT_REGISTER_ITEM	[Yansıtma] Lütfen önce yansıtmanın uygulanacağı nesneyi kaldır.
CHANGE_LOOK_COST	Fiyatı: {} Yang
CHANGE_LOOK_DEL_ITEM	Kaldırılan nesne silinir.
CHANGE_LOOK_DO_NOT_CHANGE_LOOK_ITEM	[Yansıtma] Bu nesne yansıtılamaz.
CHANGE_LOOK_DO_NOT_EQUIP_ITEM	[Yansıtma] Nesneyi kuşanmış durumdayken onu yansıtamazsın.
CHANGE_LOOK_DO_NOT_REGISTER_ITEM	[Yansıtma] Bu nesne kaydedilemez.
CHANGE_LOOK_DO_NOT_SEAL_ITEM	[Yansıtma] Bu nesne ruha bağlı.
CHANGE_LOOK_INSERT_CHANGE_LOOK_ITEM	[Yansıtma] Lütfen yansıtmak istediğin nesneyi kaydet.
CHANGE_LOOK_INSERT_ITEM	[Yansıtma] Önce nesneyi kaydetmelisin.
CHANGE_LOOK_OPEN_OTHER_WINDOW	[Yansıtma] "Yansıtma" penceresi açıkken bu işlem yapılamaz.
CHANGE_LOOK_TITLE	Yansıtma
CHANGE_PET_PLEASE_APPEND_FIRST	İlk önce pet seçilmeli
CHANGE_TOOLTIP_LINE1	Üzerine yansıtılmasını istediğin nesneyi sola koy.
CHANGE_TOOLTIP_LINE2	Diğer nesneyi sağa koy.
CHANGE_TOOLTIP_LINE3	Soldaki nesnenin görünümü
CHANGE_TOOLTIP_LINE4	Yansıtma'yı (V) onayladığın ve senden Yang çekildiği takdirde değişir.
CHANGE_TOOLTIP_LINE5	Bu nesneyi kullandığında,
CHANGE_TOOLTIP_LINE6	Yang kullanmadan eşyanı yansıtabilirsin.
CHANGE_TOOLTIP_TITLE	Yansıtma
CHANNEL	Kanal
CHANNELING_CANNOT_LOGOUT	Kaydolma ekranına tekrar dönemezsiniz.
CHANNEL_EMPTY_SERVER	Sunucu yok
CHANNEL_NORMAL	Kanal {}
CHANNEL_NOTIFY_FULL	Bu kanal dolu! Lütfen başka bir kanal seçiniz.
CHANNEL_NOT_FIND_INFO	Kanal üzerinden herhangi bir bilgiye ulaşılamadı.
CHANNEL_PVP	Serbest düello
CHANNEL_SELECT_CHANNEL	Kanal Seç
CHANNEL_SELECT_REGION	Bölge seç.
CHANNEL_SELECT_SERVER	Sunucu seç
CHANNEL_STATUS_BUSY	Kalabalık
CHANNEL_STATUS_FULL	Dolu
CHANNEL_STATUS_OFFLINE	Bilinmeyen
CHANNEL_STATUS_RECOMMENDED	Tavsiye edilen
CHANNEL_STATUS_VACANT	Boş
CHANNEL_TEST_SERVER	Sunucuyu test et
CHANNEL_TEST_SERVER_ADDR	Test {}:{}
CHARACTER_CREATE_MODE	Karakter oluştur
CHARACTER_NAME	İsim
CHARACTER_SELECT_MODE	Karakter seç
CHARGE_BEAD_QUESTION	Gereken animasfer: {}. Devam etmek istiyor musun?
CHAT_ALL	Genel
CHAT_BLOCK	Blok
CHAT_DICE_INFO	Atış
CHAT_GUILD	Lonca
CHAT_INFORMATION	Bilgi
CHAT_INSULT_STRING	Bu cümle yanlış kelimeler içeriyor.
CHAT_LOG	Eski mesajı göster[L]
CHAT_LOG_TITLE	Sohbet Protokolü
CHAT_NORMAL	Normal
CHAT_NOTICE	Sunucu
CHAT_PARTY	Grup
CHAT_SEND_CHAT	Sohbet yolla
CHAT_SEND_MEMO	Fısıltı gönder[Shift+Enter]
CHAT_SHOUT	Bağırmak
CHAT_SHOUT_LIMIT	8 saniyede bir bağırabilirsiniz.
CHAT_WHISPER	Fısıldama
CHEQUE_SYSTEM_DO_NOT_DROP_MONEY	Para düşüremezsin.
CHEQUE_SYSTEM_PICK_WON	{} Won aldın.
CHEQUE_SYSTEM_SELL_PRICE	[Satış Fiyatı]
CHEQUE_SYSTEM_UNIT_WON	Won
CHEQUE_SYSTEM_UNIT_YANG	Yang
CHEQUE_SYSTEM_WON	{} Won
CHEQUE_SYSTEM_YANG	{} Yang
CLEAR_FLOOR	Kat
CLEAR_TIME	Zaman
ClosePetChangeWndButton	Kapat
COMB_ACCE_IS_CONTINUE_PROCESS	Devam etmek istiyor musun?
COMB_ACCE_WARNING_MESSAGE	Başarı veya kısmi başarıda orijinal imha edilir. Transfer başarısız olabilir. Başarısızlık veya kısmi başarı durumunda alıcının emiş oranı düşer.
COMB_ACCE_WARNING_MESSAGE1	Başarı veya kısmi başarıda orijinal imha edilir.
COMB_ACCE_WARNING_MESSAGE2	Transfer başarısız olabilir.
COMB_ACCE_WARNING_MESSAGE3	Başarısızlık veya kısmi başarı durumunda alıcının emiş oranı düşer.
COMB_ACCE_WILL_REMOVE_MATERIAL	Başarı veya kısmi başarıda orijinal imha edilir.
COMB_ALREADY_APPEND	Bu eşya zaten seçildi.
COMB_CANT_APPEND_ITEM	Bu nesne kullanılamaz.
COMB_CANT_APPEND_SEALED_ITEM	Ruha bağlı nesneler kullanamazsın.
COMB_CANT_BASE_ITEM	Zaten bir bonus içeren bir kuşak, alıcı olamaz.
COMB_CANT_MATCH_DRAINRATE	Bonus transferi için her iki eşyanın da emiş oranı aynı olmalı.
COMB_CANT_MATCH_GRADE	Bonus transferi için her iki eşyanın da derecesi aynı olmalı.
COMB_CANT_MATERIAL_ITEM	Orijinal eşya bir bonus içermeli.
COMB_COST	Ücret: {}
COMB_IS_CONTINUE_PROCESS	Devam etmek istiyor musun?
COMB_NOTICE	Kitapları takas etmek isterken özel dükkan açamazsın.
COMB_NOTICE_NOT_OPEN	Özel dükkan açıkken kitap takas edemezsin.
COMB_NOT_ALL_SLOT_APPEND_ITEM	Bonusları aktarmak için orijinal, alıcı ve transfer eşyasına ihtiyacın var.
COMB_NOT_FULL_BOOK	Yok, biz böyle anlaşamayız. Sana anlattığım gibi, takas sadece bana 10 kitap verirsen olur.
COMB_NOT_ITEM_IN_INVENTORY	Kuşandığın eşyaları kullanamazsın.
COMB_NOT_MEDIUM_ITEM	Bu nesne kullanılamaz.
COMB_WILL_REMOVE_MATERIAL	Orijinal, başarı durumunda imha edilir.
CREATE_ERROR_GM_NAME	Karakter isminizde, GM ismini kullanamazsiniz.
CREATE_ERROR_INSULT_NAME	Bu isim hatalı.
CREATE_ERROR_LIMIT_LEVEL	Karakterin en az seviye 80 olmalı.
CREATE_ERROR_TIME_LIMIT	Sadece her 30 saniyede bir karakter oluşturabilirsin.
CREATE_ERROR_WRONG_STRING	Bu karakter adı yasak.
CREATE_EXIST_SAME_NAME	Bu ismi zaten başka bir karakter kullanıyor.
CREATE_FAILURE	Karakteri yaratamazsın.
CREATE_FULL	Başka karakter oluşturamazsın.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	İsmi gir.
CREATE_PLUS_STAT	Hala statü puanın var.
CZ_REWARD_QUESTION_COMPLETE	Bu alanı bozdurmak mı istiyorsun?
CZ_REWARD_TOOLTIP_10GAN	Zodyak Nişanları
CZ_REWARD_TOOLTIP_10GAN_COUNT	Envanterdeki Miktar
CZ_REWARD_TOOLTIP_10GAN_NEED_COUNT	Gerekli Miktar
CZ_REWARD_TOOLTIP_12ZI	Bekçi Nişanları
CZ_REWARD_TOOLTIP_12ZI_COUNT	Envanterdeki Miktar
CZ_REWARD_TOOLTIP_12ZI_NEED_COUNT	Gerekli Miktar
CZ_REWARD_TOOLTIP_ALL_BOX	Yıldız Hazinesi
CZ_REWARD_TOOLTIP_CAN_GET_ALL_BOX	Yıldız hazinesi ödülünü almak için buraya tıkla.
CZ_REWARD_TOOLTIP_CAN_GET_GREEN_BOX	Aventurin hazinesi ödülünü almak için buraya tıkla.
CZ_REWARD_TOOLTIP_CAN_GET_YELLOW_BOX	Aureolin hazinesi ödülünü almak için buraya tıkla.
CZ_REWARD_TOOLTIP_COMPLETABLE	Bozdur
CZ_REWARD_TOOLTIP_GREEN_BOX	Aventurin Hazinesi
CZ_REWARD_TOOLTIP_GREEN_BOX_COMP_CNT	Bozdurulan Aventurin hazinesi: {}
CZ_REWARD_TOOLTIP_WEEKLY	Gün
CZ_REWARD_TOOLTIP_WEEKLY_FRI	Cuma
CZ_REWARD_TOOLTIP_WEEKLY_MON	Pazartesi
CZ_REWARD_TOOLTIP_WEEKLY_SAT	Cumartesi
CZ_REWARD_TOOLTIP_WEEKLY_SAT_SUN	Cumartesi/Pazar
CZ_REWARD_TOOLTIP_WEEKLY_THU	Perşembe
CZ_REWARD_TOOLTIP_WEEKLY_TUE	Salı
CZ_REWARD_TOOLTIP_WEEKLY_WED	Çarşamba
CZ_REWARD_TOOLTIP_YELLOW_BOX	Aureolin Hazinesi
CZ_REWARD_TOOLTIP_YELLOW_BOX_COMP_CNT	Bozdurulan Aureolin hazinesi: {}
DAY	Gün
DETAILS_1	Yr. insanl. krş. gç.
DETAILS_10	Çöl cana. krş. güçlü
DETAILS_11	Böcekl. karşı güçlü
DETAILS_12	Saldırı değeri
DETAILS_13	Savunma değeri
DETAILS_14	Ortalama hasar
DETAILS_15	Ortl. hasar direnci
DETAILS_16	Beceri hasarı
DETAILS_17	Dayanıklılık beceri hsr.
DETAILS_18	Büyü/yakın sav. sal.
DETAILS_19	Büyü saldırısı
DETAILS_2	Yarı insan direnci
DETAILS_20	Krit. isabet şansı
DETAILS_21	Delici isabet
DETAILS_22	Kritik vuruş direnci
DETAILS_23	Del. isabet direnci
DETAILS_24	Şimşek direnci
DETAILS_25	Buz direnci
DETAILS_26	Karanlığa kr. direnç
DETAILS_27	Ateşe karşı direnç
DETAILS_28	Rüzgara karşı direnç
DETAILS_29	Toprak direnci
DETAILS_3	Fatalis karşı güçlü
DETAILS_30	Şimşeklerin gücü
DETAILS_31	Buzun gücü
DETAILS_32	Karanlığın gücü
DETAILS_33	Ateşin gücü
DETAILS_34	Rüzgarın gücü
DETAILS_35	Toprağın gücü
DETAILS_36	Savaşçı. krş. güçlü
DETAILS_37	Ninjal. krş. güçlü
DETAILS_38	Suralara karşı güçlü
DETAILS_39	Şamanl. karşı güçlü
DETAILS_4	Ölümsüz. karşı güçlü
DETAILS_40	Lycanl. karşı güçlü
DETAILS_41	Savaşçıl. krş. sav.
DETAILS_42	Ninjal. karşı savun.
DETAILS_43	Sural. karşı savunma
DETAILS_44	Şamanlara karşı sav.
DETAILS_45	Lycan. karşı savunma
DETAILS_46	Kılıç Savunması
DETAILS_47	Çift el Savunması
DETAILS_48	Bıçak Savunması
DETAILS_49	Pençe Savunması
DETAILS_5	Canavarl. krş. güçlü
DETAILS_50	Çan Savunması
DETAILS_51	Yelpaze Savunması 
DETAILS_52	Ok Savunması
DETAILS_53	Bayılma olasılığı
DETAILS_54	Yavaşlama şansı
DETAILS_55	Zehirlenme olasılığı
DETAILS_56	Zehir direnci
DETAILS_57	Kanama saldırısı
DETAILS_58	Kanama saldır. dir.
DETAILS_59	Hayat yağması
DETAILS_6	Zod. canv. krş. güç.
DETAILS_60	SP yağması
DETAILS_61	HP yükleme
DETAILS_62	SP yükleme
DETAILS_63	Saldırı engelleme
DETAILS_64	Ok saldır. sıyrılma
DETAILS_65	Yak. dövüş yansıması
DETAILS_66	Öldürmede HP yenile.
DETAILS_67	Öldürmede SP yenile.
DETAILS_68	2 kat EXP
DETAILS_69	2 kat Yang
DETAILS_7	Rathalos karşı güçlü
DETAILS_70	Düşürme şansı
DETAILS_71	Saldırı değeri
DETAILS_72	Savunma
DETAILS_73	EXP
DETAILS_74	Düşürme şansı
DETAILS_75	2 kat Yang
DETAILS_76	Büyüye karşı direnç
DETAILS_77	Büyü bozma
DETAILS_8	Gods. karşı güçlü
DETAILS_9	Şeytanl. karşı güçlü
DETAILS_ATTBONUS_BELL	Çanın Kırılması
DETAILS_ATTBONUS_BOW	Okun Kırılması
DETAILS_ATTBONUS_CLAW	Pençenin Kırılması
DETAILS_ATTBONUS_DAGGER	Hançerin Kırılması
DETAILS_ATTBONUS_FAN	Yelpazenin Kırılması
DETAILS_ATTBONUS_SWORD	Kılıcın Kırılması
DETAILS_ATTBONUS_TWOHAND	Çift Elin Kırılması
DETAILS_CATE_1	Hasar/savunma
DETAILS_CATE_2	Temel bonuslar
DETAILS_CATE_3	Sınıf bonusları
DETAILS_CATE_4	Silah bonusları
DETAILS_CATE_5	Diğer bonuslar
DETAILS_CATE_6	Özel bonuslar
DETAILS_RESIST_MOUNT_FALL	Düşmeye Karşı Dayanıklılık
DETAILS_TITLE	Ayrıntılar
DETAILS_TOOLTIP_1	Yarı insanlara karşı güçlü: Yarı insanlara daha büyük hasar verir.
DETAILS_TOOLTIP_10	Çöl canavarına karşı güçlü: Çöl canavarlarına daha büyük hasar verir.
DETAILS_TOOLTIP_11	Böceklere karşı güçlü: Böceklere daha büyük hasar verir.
DETAILS_TOOLTIP_12	Saldırı değerini artırır.
DETAILS_TOOLTIP_13	Savunma değerini artırır.
DETAILS_TOOLTIP_14	Rakiplere saldırırken verdiğin ortalama hasarı yükseltir.
DETAILS_TOOLTIP_15	Ortalama hasara karşı direnç: Bir saldırıda aldığın hasarı düşürür.
DETAILS_TOOLTIP_16	Bir becerinin meydana getirdiği hasarı artırır.
DETAILS_TOOLTIP_17	Beceri hasarına direnç: Sana bir yetenekle verilen hasarı düşürür.
DETAILS_TOOLTIP_18	Hem bedensel hem de büyü saldırı değeri yükselir.
DETAILS_TOOLTIP_19	Rakiplere bir büyü saldırısıyla verdiğin hasarı yükseltir.
DETAILS_TOOLTIP_2	Yarı insanlara karşı direnç: Yarı insanlardan alınan hasarı düşürür.
DETAILS_TOOLTIP_20	Bir kritik vuruş meydana getirme şansını yükseltir.
DETAILS_TOOLTIP_21	Delici isabet şansı: Delici isabet yapma şansını artırır.
DETAILS_TOOLTIP_22	Kritik isabete karşı direnç: Bir kritik vuruşla meydana getirilen hasarı düşürür.
DETAILS_TOOLTIP_23	Delici isabete karşı direnç: Bir delici isabetle meydana getirilen hasarı düşürür.
DETAILS_TOOLTIP_24	Belli canavarlardan alınan hasarı düşürür.
DETAILS_TOOLTIP_25	Belli canavarlardan alınan hasarı düşürür.
DETAILS_TOOLTIP_26	Karanlığa karşı direnç: Belli canavarlardan alınan hasarı düşürür.
DETAILS_TOOLTIP_27	Belli canavarlardan alınan hasarı düşürür.
DETAILS_TOOLTIP_28	Belli canavarlardan alınan hasarı düşürür.
DETAILS_TOOLTIP_29	Belli canavarlardan alınan hasarı düşürür.
DETAILS_TOOLTIP_3	Fatalis karşısında güçlü: Fatalis daha çok hasar verir.
DETAILS_TOOLTIP_30	Şimşeklerin gücüyle verdiğin hasarı artırır.
DETAILS_TOOLTIP_31	Buzun gücüyle verdiğin hasarı artırır.
DETAILS_TOOLTIP_32	Karanlığın gücüyle verdiğin hasarı artırır.
DETAILS_TOOLTIP_33	Ateşin gücüyle verdiğin hasarı artırır.
DETAILS_TOOLTIP_34	Rüzgarın gücüyle verdiğin hasarı artırır.
DETAILS_TOOLTIP_35	Toprağın gücüyle verdiğin hasarı artırır.
DETAILS_TOOLTIP_36	Savaşçılar karşısında güçlü: Savaşçılara daha çok hasar verir.
DETAILS_TOOLTIP_37	Ninjalar karşısında güçlü: Ninjalara daha çok hasar verir.
DETAILS_TOOLTIP_38	Sura karşısında güçlü: Suralara daha çok hasar verir.
DETAILS_TOOLTIP_39	Şamanlar karşısında güçlü: Şamanlara daha çok hasar verir.
DETAILS_TOOLTIP_4	Ölümsüzler karşısında güçlü: Ölümsüzlere daha çok hasar verir.
DETAILS_TOOLTIP_40	Lycanlar karşısında güçlü: Lycanlara daha çok hasar verir.
DETAILS_TOOLTIP_41	Savaşçı saldırılarını savuşturma şansı: Savaşçılardan alınan hasarı azaltır.
DETAILS_TOOLTIP_42	Ninja saldırılarını savuşturma şansı: Ninjalardan alınan hasarı azaltır.
DETAILS_TOOLTIP_43	Sura saldırılarını savuşturma şansı: Suralardan alınan hasarı azaltır.
DETAILS_TOOLTIP_44	Şaman saldırılarını savuşturma şansı: Şamanlardan alınan hasarı azaltır.
DETAILS_TOOLTIP_45	Lycan saldırılarını savuşturma şansı: Lycanlardan alınan hasarı azaltır.
DETAILS_TOOLTIP_46	Bir kılıçtan alınan hasarı düşürür.
DETAILS_TOOLTIP_47	Bir çift el silahtan alınan hasarı düşürür.
DETAILS_TOOLTIP_48	Bir hançerden alınan hasarı düşürür.
DETAILS_TOOLTIP_49	Bir pençeden alınan hasarı düşürür.
DETAILS_TOOLTIP_5	Canavarlar karşısında güçlü: Canavarlara daha çok hasar verir.
DETAILS_TOOLTIP_50	Bir çandan/yelpazeden alınan hasarı düşürür.
DETAILS_TOOLTIP_51	Bir yelpazeden alınan hasarı düşürür.
DETAILS_TOOLTIP_52	Bir ok veya yaydan alınan hasarı düşürür.
DETAILS_TOOLTIP_53	Rakibi bayıltma şansını yükseltir.
DETAILS_TOOLTIP_54	Rakibi yavaşlama şansını yükseltir.
DETAILS_TOOLTIP_55	Rakibi zehirleme şansını yükseltir.
DETAILS_TOOLTIP_56	Bir zehirden alınan hasarı düşürür.
DETAILS_TOOLTIP_57	Bir kanama saldırısı meydana getirme şansını yükseltir.
DETAILS_TOOLTIP_58	Kanama saldırısı karşısında güçlü: Bir kanama saldırısından alınan hasarı düşürür.
DETAILS_TOOLTIP_59	Rakibinle karşılaştığında ondan HP çeker.
DETAILS_TOOLTIP_6	Zodyak canavarlarına karşı güçlü: Zodyaük canavarlarına daha büyük hasar verir.
DETAILS_TOOLTIP_60	Rakibinle karşılaştığında ondan SP çeker.
DETAILS_TOOLTIP_61	Hayat puanlarının yenilenmesini hızlandırır.
DETAILS_TOOLTIP_62	Mana puanlarının yenilenmesini hızlandırır.
DETAILS_TOOLTIP_63	Yakın dövüş saldırılarını bloklama şansı: Bir yakın dövüş saldırısından sıyrılma şansını artırır.
DETAILS_TOOLTIP_64	Ok saldırılarını bloklama şansı: Bir canavarın ok veya uzak saldırısından sıyrılma şansını artırır.
DETAILS_TOOLTIP_65	Yakın dövüş vuruşlarını yansıtma şansı: Yakın dövüş vuruşlarının bir kısmı rakibe geri yansıtılır.
DETAILS_TOOLTIP_66	Öldürmede HP yenilemesi: Bir rakip öldürdüğünde hayat puanların yükselir.
DETAILS_TOOLTIP_67	Öldürmede SP yenilemesi: Bir rakip öldürdüğünde mana puanların yükselir.
DETAILS_TOOLTIP_68	İki kat tecrübe kazanma şansı: Rakibini yendiğinde EXP bonusu kazanma şansını artırır.
