ACCEPT	Tamam
GUILD_INFO_DECALRE_WAR	Savaş İlanı
GUILD_INFO_ENEMY_GUILD	Düşman Lonca
GUILD_INFO_ENEMY_GUILD_EMPTY	Yok
GUILD_INFO_LEVEL	Lonca Seviyesi
GUILD_INFO_MARK	Lonca İmzası
GUILD_INFO_MASTER	Lider
GUILD_INFO_MASTER_VALUE	Lider
GUILD_INFO_MEMBER_AVG_LEVEL	Ortalama Seviye
GUILD_INFO_MEMBER_NUM	Üye Sayısı
GUILD_INFO_NAME	Lonca
GUILD_INFO_NAME_VALUE	Bu bir Lonca ismi
GUILD_INFO_OFFER_EXP	Yatırım
GUILD_INFO_REST_EXP	Gereken Tecrübe
GUILD_INFO_UPLOAD_MARK	İmza Yükle
GUILD_INFO_UPLOAD_SYMBOL	Bayrak Yükle
GUILD_LANDDEAL_VOTE	Lonca bölgesini sat
GUILD_LANDDEAL_VOTE_DEALGOLD	Yang Fiyatı:
GUILD_LANDDEAL_VOTE_DEALGUILDNAME	Lonca adı:
GUILD_MARK	Lonca İmzası
GUILD_MASTER_CHANGE_TITLEBAR	Lonca liderliğini bırak
GUILD_MEMBER_JOB	Sınıf
GUILD_MEMBER_KNIGHT	Savaşçı
GUILD_MEMBER_LEVEL	Sevi
GUILD_MEMBER_NAME	Isim
GUILD_MEMBER_OUT_TITLEBAR	Üyeyi çıkar
GUILD_MEMBER_RANK	Sıra
GUILD_MEMBER_SPECIFIC_GRAVITY	Yatırım
GUILD_MEMBER_VOTE_CHECK	Anketleri denetle
GUILD_METIN_STONE	Zihin Taşı
GUILD_MINENAL	Mineral
GUILD_MONEY	Yang
GUILD_NAME	Lonca
GUILD_RESOURCE_INFO	Kaynak Bilgisi
GUILD_SKILLPAGE_LADDER	Sıralama Puanları
GUILD_SKILLPAGE_RANK	Rütbe
GUILD_SKILL_ACTIVE	Aktif
GUILD_SKIlL_HEAL_GSP	Gücü tekrar kazan
GUILD_SKILL_PASSIVE	Pasif
GUILD_SKILL_POWER	Enerji
GUILD_SKILL_STATE	Lonca Becerileri
GUILD_SYMBOL	Lonca Bayrağı
GUILD_WAR_ACCEPT	Savaş İlanı Kabulü
GUILD_WAR_ALLSCORE	Tüm Savaşlar
GUILD_WAR_BATTLE_TYPE	Savaş Türü
GUILD_WAR_CTF	Bayrak
GUILD_WAR_DECLARE	Lonca Savaşı İlanı
GUILD_WAR_ENEMY	Düşman
GUILD_WAR_GAINSCORE	Puanlar
GUILD_WAR_GAINSCORE_FIFTY	50
GUILD_WAR_GAINSCORE_HUNDRED	100
GUILD_WAR_GAINSCORE_THIRTY	30
GUILD_WAR_GAMETIME	Savaş süresi
GUILD_WAR_GAMETIME_SIXTY	60 dak.
GUILD_WAR_GAMETIME_TEN	10 dak.
GUILD_WAR_GAMETIME_THIRTY	30 dak.
GUILD_WAR_JOINMEMBER	Üyeler
GUILD_WAR_JOINMEMBER_COUNT	Üyeler
GUILD_WAR_JOINMEMBER_FIFTEEN	15
GUILD_WAR_JOINMEMBER_FIVE	5
GUILD_WAR_JOINMEMBER_TEN	10
GUILD_WAR_NORMAL	Alan
GUILD_WAR_REPORT	Savaş listesi
GUILD_WAR_REPORTLIST	Übersicht (Savaşlar: S, Galibiyet: G, Mağlubiyet: M, Berabere: B)
GUILD_WAR_SCORE	Savaş listesi
GUILD_WAR_SKILL	Lonca becerileri
GUILD_WAR_TYPE_DEFENSE	Kalkan Savaşı
GUILD_WAR_TYPE_DIE	Arena Savaşı
GUILD_WAR_TYPE_FLAG	Bayrak Savaşı
GUILD_WAR_TYPE_NORMAL	Meydan Savaşı
GUILD_WAR_TYPE_TIGER	İmha Savaşı
GUILD_WAR_TYPE_TIME	Zaman Saldırısı
GUILD_WAR_WARP	Arena
GUILD_WAR_WIN	Turlar
GUILD_WAR_WIN_FIVE	5
GUILD_WAR_WIN_ONE	1
GUILD_WAR_WIN_THREE	3
GUILD_WATER	Su
GUILD_WATER_STONE	Su Taşı
GUILD_WITHDRAW	Geri Çek
HELP_ATTACK	Tek seferli saldırıyı fareyi kullanarak etkinleştir.
HELP_ATTACK_KEY	Saldır: sol fare tuşu veya boşluk tuşu ile
HELP_AUTO_ATTACK	Otomatik saldırıyı fare kullanarak etkinleştirir.
HELP_CAMERA	Kamera Yönetimi
HELP_CHANGE_PK_MODE	Saldırı modunu değiştir: sol fare tuşu ayarını değiştir
HELP_CHARACTER_BUTTON1	(Karakter Penceresi, Envanter Penceresi,
HELP_CHARACTER_BUTTON2	Arkadaş Listesi ve Seçenekler)
HELP_CHAT	İlgili grupla sohbet etmek için metninin önüne şunlardan birini yaz: !(Rufchat), #(Gruppenchat) veya %(Gildenchat).
HELP_CLICK_OTHER_PLAYER	Başka bir oyuncuya sağla tıklayarak ticaret yapabilirsin, gruplar kurabilirsin ve onu düelloya davet edebilirsin.
HELP_CONTROL_CAMERA_BY_MIDDLEBUTTON	Kamera görüntüsü ayarlama: orta fare tuşu ile
HELP_CONTROL_CAMERA_BY_RIGHTBUTTON	Kamera görüntüsü ayarını değiştir: sağ veya sol fare tuşu ile
HELP_EMOTINO	Tuş kombinasyonları <Ctrl> + <1~9> ile duygu simgeleri gösterebilirsin.
HELP_EXP	Tecrübe
HELP_FURY	Oyun Nesnet Marketi
HELP_GUILD_WINDOW	Lonca Penceresini aç: Alt + G tuşları ile
HELP_HELP	Yardım göster: H ile
HELP_HELP_KEY	Yardım bölümü standart ayarları gösterir.
HELP_HP	Hayat Puanı (HP)
HELP_KEYSETTING	Oyun seçeneklerinde kendi tuş kombinasyonlarını oluşturabilirsin.
HELP_MESSENGER_WINDOW	Arakadaş Listesini aç: Alt + M tuşları  ile
HELP_MINIMAP	Küçük haritayı gösterir.
HELP_MINIMAP_QUEST	Küçük ve genel görünüm haritasında görevler yanıp sönerek görüntülenir.
HELP_MOUSE_LEFT	Sol mouse tuşunun işlevi
HELP_MOUSE_RIGHT	Sağ mouse tuşunun işlevi
HELP_MOVE_KEY	Kumanda: W, S, A, D tuşları ve ok tuşları ile
HELP_OFF_QUESTSCROLL	-<CTRL> + Q ile görev dizilerini açıp kapatabilirsin.
HELP_OPEN_CHARACTER	Karakter Penceresini aç: C tuşu ile
HELP_OPEN_CHAT	Sohbet Penceresini aç: Giriş tuşu ile
HELP_OPEN_INVENTORY	Envanter Penceresini aç: I tuşu ile
HELP_OPEN_LOG	Sohbet protokolünü (Log) aç: L tuşu ile
HELP_OPEN_MINIMAP	Küçük Haritayı aç: Shift + M tuşları ile
HELP_OPEN_QUEST	Görev Penceresini aç: N tuşu ile
HELP_OPEN_SKILL	Beceri Penceresini aç: V tuşu ile
HELP_OPEN_WHISPER	Fısıltı Penceresini aç: üst karakter + giriş tuşu ile
HELP_OPEN_ZONEMAP	Genel Görünüm Haritası'nı aç: M tuşu ile
HELP_PICK_ITEM	Nesneleri topla: ", Z veya sol fare tuşu ile
HELP_QUICKSLOT	Hızlı Erişim Alanları
HELP_SCREEN_CAPTURE	Ekran görüntüsünü kaydet: Yazdır veya Print tuşu ile ("Metin2\screenshot" dosyası altında kaydedilecek)
HELP_SERVER	Sana sunucu ve kanalı gösterir.
HELP_SHOW_ALL_NAME	İsimleri göster: Alt tuşu ile
HELP_SKILL	Burada bir beceriyi sağ fare tuşuyla kullanabilirsin.
HELP_SP	Mana Puanı (SP)
HELP_SYSTEM_BUTTON	Sistem Tuşları
INVENTORY_PAGE_BUTTON_TOOLTIP_1	1. Envanter

INVENTORY_PAGE_BUTTON_TOOLTIP_2	2. Envanter
INVENTORY_PAGE_BUTTON_TOOLTIP_3	3. Envanter
INVENTORY_PAGE_BUTTON_TOOLTIP_4	4. Envanter
INVENTORY_TITLE	Envanter
ITEM_MALL	Nesne Market
KEYCHANGE_ACTION_WINDOW	Eylemler
KEYCHANGE_ATTACK	Saldır
KEYCHANGE_AUTORUN	Otomatik yürü
KEYCHANGE_AUTO_WINDOW	Otomatik Av
KEYCHANGE_BASEACTION	Temel Ayarlar
KEYCHANGE_CAM_DOWN1	Kamera (aşağı)
KEYCHANGE_CAM_DOWN2	Kamera (aşağı)
KEYCHANGE_CAM_LEFT1	Kamera (sol)
KEYCHANGE_CAM_LEFT2	Kamera (sol)
KEYCHANGE_CAM_RIGHT1	Kamera (sağ)
KEYCHANGE_CAM_RIGHT2	Kamera (sağ)
KEYCHANGE_CAM_UP1	Kamera (yukarı)
KEYCHANGE_CAM_UP2	Kamera (yukarı)
KEYCHANGE_CAM_ZOOM_IN1	Kamera (büyüteç +)
KEYCHANGE_CAM_ZOOM_IN2	Kamera (büyüteç +)
KEYCHANGE_CAM_ZOOM_OUT1	Kamera (büyüteç -)
KEYCHANGE_CAM_ZOOM_OUT2	Kamera (büyüteç -)
KEYCHANGE_CANCLE	İptal
KEYCHANGE_CHAT_WINDOW	Sohbet Protokolü
KEYCHANGE_CLEAR	Standart
KEYCHANGE_DDS_WINDOW	DSS
KEYCHANGE_DOWN1	Geri
KEYCHANGE_DOWN2	Geri
KEYCHANGE_DSS1	DS [Gökyüzü]
KEYCHANGE_DSS2	DS [Dünya]
KEYCHANGE_EMOTION1	Duygu (üzgün)
KEYCHANGE_EMOTION2	Duygu (Yang)
KEYCHANGE_EMOTION3	Duygu (müzik)
KEYCHANGE_EMOTION4	Duygu (kalp)
KEYCHANGE_EMOTION5	Duygu (kalp)
KEYCHANGE_EMOTION6	Duygu (bomba)
KEYCHANGE_EMOTION7	Duygu (fikir)
KEYCHANGE_EMOTION8	Duygu (fırtına)
KEYCHANGE_EMOTION9	Duygu (özür)
KEYCHANGE_GUILD_WINDOW	Lonca
KEYCHANGE_HELP_WINDOW	Yardım
KEYCHANGE_IMPOSSIBLE_CHANGE	[CTRL], [ALT], [SHIFT] burada kullanılamaz!
KEYCHANGE_INTERFACE	Pencere
KEYCHANGE_INVENTORY_WINDOW	Envanter
KEYCHANGE_KEY_SETTING	Klavye Ayarları
KEYCHANGE_LEFT1	Sol
KEYCHANGE_LEFT2	Sol
KEYCHANGE_MESSENGER_WINDOW	Arkadaşlar
KEYCHANGE_MINIMAP_MINER	Mini Harita (-)
KEYCHANGE_MINIMAP_PLUS	Mini Harita (+)
KEYCHANGE_MINIMAP_WINDOW	Genel Görünüm Haritası
KEYCHANGE_MONSTER_CARD_WINDOW	Canavar Kartı
KEYCHANGE_NEXT_TARGET	Sonraki hedef
KEYCHANGE_PARTY_MATCH_WINDOW	Grup araması
KEYCHANGE_PET_WINDOW	Pet
KEYCHANGE_QUEST_SCROLL_ONOFF	Görev göstergesi
KEYCHANGE_QUEST_WINDOW	Görevler
KEYCHANGE_QUICKSLOT1	1. kat
KEYCHANGE_QUICKSLOT2	2. kat
KEYCHANGE_QUICKSLOT3	3. kat
KEYCHANGE_QUICKSLOT4	4. kat
KEYCHANGE_RIDE	Biniş
KEYCHANGE_RIDE_BYE	Atı gönder
KEYCHANGE_RIDE_HORSE	Biniş
KEYCHANGE_RIDE_PEED	Atı yemle
KEYCHANGE_RIGHT1	Sağ
KEYCHANGE_RIGHT2	Sağ
KEYCHANGE_ROOT1	Kaldır
KEYCHANGE_ROOT2	Kaldır
KEYCHANGE_SAVE	Kaydet
KEYCHANGE_SCREENSHOT	Şipşak
KEYCHANGE_SHOW_NAME	İsmi göster
KEYCHANGE_SKILL_WINDOW	Beceriler
KEYCHANGE_SLOT1	Boşluk 1
KEYCHANGE_SLOT2	Boşluk 2
KEYCHANGE_SLOT3	Boşluk 3
KEYCHANGE_SLOT4	Boşluk 4
KEYCHANGE_SLOT5	Boşluk 5
KEYCHANGE_SLOT6	Boşluk 6
KEYCHANGE_SLOT7	Boşluk 7
KEYCHANGE_SLOT8	Boşluk 8
KEYCHANGE_SLOT_KET	Hızlı Erişim
KEYCHANGE_STATUS_WINDOW	Karakter
KEYCHANGE_UP1	İleri
KEYCHANGE_UP2	İleri
LANGUAGE_AE	Arapça
LANGUAGE_CZ	Çekçe
LANGUAGE_DE	Almanca
LANGUAGE_DK	Danca
LANGUAGE_EN	İngilizce
LANGUAGE_ES	İspanyolca
LANGUAGE_FR	Fransızca
LANGUAGE_GR	Yunanca
LANGUAGE_HU	Macarca
LANGUAGE_IT	İtalyanca
LANGUAGE_NL	Flamanca
LANGUAGE_PL	Lehçe
LANGUAGE_PT	Portekizce
LANGUAGE_RO	Rumence
LANGUAGE_RU	Rusça
LANGUAGE_TR	Türkçe
LOAD_ERROR	Dosya hasar görmüş. Lütfen yenisini yükleyiniz. Şimdi ESC tuşuna basınız .
LOGIN_CONNECT	Bağlan
LOGIN_CONNECTING	Servera bağlanacaksınız.
LOGIN_DEFAULT_SERVERADDR	Server ismi, Kanal 1
LOGIN_EXIT	Çıkış
LOGIN_ID	Kullanıcı adı
LOGIN_PASSWORD	Şifre
LOGIN_REGION_TITLE	Fatura gönderilecek yer seç.
LOGIN_SELECT_BUTTON	Seç
LOGIN_SELECT_EXIT	Çıkış
LOGIN_SELECT_OK	OK
LOGIN_SELECT_TITLE	Server Seç
MAILBOX_POST_ALL_DELETE_BUTTON	Tümünü sil
MAILBOX_POST_ALL_RECEIVE	Tümünü kabul et
MAILBOX_POST_READ_BLOCK	Engelle
MAILBOX_POST_READ_DELETE	Sil
MAILBOX_POST_READ_FROM	Bundan:
MAILBOX_POST_READ_MAIN_TITLE	Mesaj
MAILBOX_POST_READ_RECV	Kabul et
MAILBOX_POST_READ_TITLE	Konu
MAILBOX_POST_SEND_TITLE	Mesaj
MAILBOX_POST_WRITE_BUTTON_TEXT	Gönder
MAILBOX_POST_WRITE_CLOSE_TEXT	Kapat
MAILBOX_POST_WRITE_CONFIRM_TEXT	Alıcıyı kontrol et
MAILBOX_POST_WRITE_SEND_TEXT	Gönder
MAILBOX_POST_WRITE_TITLE	Konu
MAILBOX_POST_WRITE_TO	Alıcı
MAILBOX_TITLE	Gelen kutusu
MALL_PASSWORD_TITLE	şifre
MALL_TITLE	Nesne Marketi Deposu
MARKET_TITLE	Yükle
MARKLIST_REFRESH	Yenile
MARKLIST_TITLE	Lonca imzasını kaydet
MC_EXCHANGE_BUTTON	Değiştir
MC_MISSION_INIT_BUTTON	Görev seviyesini sıfırla
MC_MOTION_BUTTON	Hareket
MC_POLY_BUTTON	Dönüştür
MC_PROMOTION_BUTTON	Geliştir
MC_REQUEST_MISSION_BUTTON	Görev alındı
MC_REWARD_CARD_BUTTON	Canavar kartı alındı
MC_SHUFFLE_BUTTON	Görev kartını yeniden düzenle
MC_SUMMON_BUTTON	Çağır
MC_TAB_BUTTON_CARD_MISSION	Kart görevi
MC_TAB_BUTTON_PARTY	Zindan koleksiyonu
MC_TAB_BUTTON_SOLO	Alan koleksiyonu
MC_WARP_BUTTON	Işınlanma
MESSAGE	Bu bir Mesaj
MESSENGER_ADD_FRIEND	Arkadaş Ekle
MESSENGER_BLOCK_FRIEND	Engelle
MESSENGER_DELETE_FRIEND	Sil
MESSENGER_MOBILE	Metin Mesajı Gönder
MESSENGER_OPEN_GUILD	Lonca Penceresini Aç
MESSENGER_TITLE	Arkadaşlar
MESSENGER_USE_GUILD_MOVE_SKILL	Lonca Hareket Becerisini Kullan
MESSENGER_WHISPER	Fısıltı
MINIGAME_FISH_EVENT_USE_COUNT	Miktar
MINIMIZE	Küçült
MINI_GAME_CATCHKING_CHALLENGE	Girdi
