ACCE_ABSORB_COST	Pret Absorbtie: {}
PRIVATE_SHOP_NAME_LENGTH_MAX	The shop name must not be longer than 32 characters.
CANNOT_SHOOT_SELF_IN_SAFE	I cannot attack my opponent from here.
CANNOT_SKILL_APPROACH	Sunt sigur ca nu ma pot apropia mai mult de atat.
CANNOT_SKILL_ATTACK	I cannot attack that.
CANNOT_SKILL_BLUE	Nu poti folosi Sufletul Lupului Indigo atunci cand este activ Sufletul Lupului Rosu.
CANNOT_SKILL_DEST_IN_SAFE	Inamicul e prea departe.
CANNOT_SKILL_EQUIP_FISHING_ROD	Am nevoie de o undiюг.
CANNOT_SKILL_HAVE_TO_RIDE	Am nevoie de un cal pentru a folosi asta.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Nu am nicio sticlг goalг.
CANNOT_SKILL_NEED_POISON_BOTTLE	Nu am nicio sticlг cu otravг.
CANNOT_SKILL_NEED_TARGET	Care este юinta?
CANNOT_SKILL_NOT_ENOUGH_HP	Nu am destule PV!
CANNOT_SKILL_NOT_ENOUGH_SP	Nu am destule PM!
CANNOT_SKILL_NOT_HORSE_SKILL	Nu pot folosi asta оn timp ce cгlгresc.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Aceasta abilitate nu o pot folosi la aceasta arma.
CANNOT_SKILL_NOT_YET_LEARN	Nu am оnvatat aceasta abilitate.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Are efect doar asupra membrilor grupului.
CANNOT_SKILL_ONLY_FOR_CORPSE	Are efect doar asupra morюilor.
CANNOT_SKILL_RED	Nu poti folosi Sufletul Lupului Rosu atunci cand este activ Sufletul Lupului Indigo.
CANNOT_SKILL_REMOVE_FISHING_ROD	Nu pot folosi aceasta abilitate cu o undita.
CANNOT_SKILL_SELF_IN_SAFE	I cannot attack from here.
CANNOT_SKILL_USE_SELF	Nu pot folosi asta asupra mea.
CANNOT_SKILL_WAIT_COOLTIME	Nu pot folosi inca aceasta abilitate.
CANNOT_SKILL_BLOCKED	This skill cannot be used here.
CANNOT_USE	You cannot use this.
CANNOT_WHISPER_DEST_REFUSE	{} a blocat complet єoptitul.
CANNOT_WHISPER_NOT_LOGON	{} nu e online.
CANNOT_WHISPER_SELF_REFUSE	Nu poюi єopti cuiva ceva dacг єoptitul e complet blocat. 
CATEGORY_ARMOR_ARMOR_BODY	Armurг
CATEGORY_ARMOR_ARMOR_HEAD	Coifuri
CATEGORY_ARMOR_ARMOR_SHIELD	Scuturi
CATEGORY_COSTUMES	Costume
CATEGORY_COSTUMES_COSTUME_BODY	Costume
CATEGORY_COSTUMES_COSTUME_HAIR	Frizuri
CATEGORY_COSTUMES_COSTUME_WEAPON	Accesorii Arme
CATEGORY_COSTUMES_ETC	Altele
CATEGORY_COSTUMES_SASH	Eєarfe
CATEGORY_DRAGON_STONE	Alchimia Piatrг Dragon
CATEGORY_DRAGON_STONE_DRAGON_DIAMOND	Diamante
CATEGORY_DRAGON_STONE_DRAGON_GARNET	Granat
CATEGORY_DRAGON_STONE_DRAGON_JADE	Jad
CATEGORY_DRAGON_STONE_DRAGON_ONYX	Onix
CATEGORY_DRAGON_STONE_DRAGON_RUBY	Rubine
CATEGORY_DRAGON_STONE_DRAGON_SAPPHIRE	Safir
CATEGORY_DRAGON_STONE_ETC	Altele
CATEGORY_EQUIPMENT_ARMOR	Echipament
CATEGORY_EQUIPMENT_JEWELRY	Bijuterii
CATEGORY_EQUIPMENT_WEAPON	Arme
CATEGORY_ETC	Altele
CATEGORY_ETC_ETC	Altele
CATEGORY_ETC_EVENT	Obiecte Eveniment
CATEGORY_ETC_GIFTBOX	Cufere | Cutii
CATEGORY_ETC_MATRIMORY	Mariaj
CATEGORY_ETC_PARTI	Cartea Arta Rгzboiului
CATEGORY_ETC_POLYMORPH	Marmurг Transformare
CATEGORY_ETC_RECIPE	Producюie Licori
CATEGORY_ETC_SEAL	Personalizate
CATEGORY_FISHING_PICK	Pescuit | Minerit
CATEGORY_FISHING_PICK_EQUIPMENT_PICK	Tвrnгcoape
CATEGORY_FISHING_PICK_ETC	Altele
CATEGORY_FISHING_PICK_FISHING_POLE	Momealг de Pescuit
CATEGORY_FISHING_PICK_FOOD	Peєte
CATEGORY_FISHING_PICK_PICK_BOOK	Ghid de Minat
CATEGORY_FISHING_PICK_STONE	Minereuri
CATEGORY_JEWELRY_ARMOR_EAR	Cercei
CATEGORY_JEWELRY_ARMOR_FOOTS	Pantofi
CATEGORY_JEWELRY_ARMOR_NECK	Coliere
CATEGORY_JEWELRY_ARMOR_PENDANT	Talisman
CATEGORY_JEWELRY_ARMOR_WRIST	Brгюгri
CATEGORY_JEWELRY_ITEM_BELT	Curele
CATEGORY_MOUNT_PET	Mounti | Оnsoюitori
CATEGORY_MOUNT_PET_CHARGED_PET	Оnsoюitori
CATEGORY_MOUNT_PET_EGG	Ouг Оnsoюitori
CATEGORY_MOUNT_PET_FREE_PET	Оnsoюitori Avansaюi
CATEGORY_MOUNT_PET_MOUNT	Mounюi
CATEGORY_POTION	Licori
CATEGORY_POTION_ABILITY	Consumabile
CATEGORY_POTION_ETC	Altele
CATEGORY_POTION_HAIRDYE	Vopsele de Pгr
CATEGORY_SKILL	Abilitгюi
CATEGORY_SKILL_BOOK_OF_OBLIVION	Cartea Uitгrii
CATEGORY_SKILL_ETC	Altele
CATEGORY_SKILL_PAHAE	Respingere | Ajutor
CATEGORY_SKILL_SKILL_BOOK	Cгrюi Abilitгюi
CATEGORY_TUNING	Оmbunгtгюiri
CATEGORY_TUNING_ETC	Altele
CATEGORY_TUNING_RESOURCE	Materiale
CATEGORY_TUNING_STONE	Pietrele Spiritului
CATEGORY_UNIQUE	Obiecte Speciale
CATEGORY_UNIQUE_ABILITY	Cosumabile
CATEGORY_UNIQUE_ETC	Altele
CATEGORY_WEAPON_WEAPON_ARROW	Sгgeюi
CATEGORY_WEAPON_WEAPON_BELL	Clopote
CATEGORY_WEAPON_WEAPON_BOW	Arcuri
CATEGORY_WEAPON_WEAPON_CLAW	Gheare
CATEGORY_WEAPON_WEAPON_DAGGER	Cuюite
CATEGORY_WEAPON_WEAPON_FAN	Evantaie
CATEGORY_WEAPON_WEAPON_MOUNT_SPEAR	Suliюe
CATEGORY_WEAPON_WEAPON_QUIVER	Tolbг
CATEGORY_WEAPON_WEAPON_SWORD	Arme O Mвnг
CATEGORY_WEAPON_WEAPON_TWO_HANDED	Arme Douг Mвini
CHANGE_ALREADY_REGISTER	[Transformare] Acest obiect a fost deja trimis.
CHANGE_LOOK_CHANGE_ITEM	Vrei sг transformi acest obiect?
CHANGE_LOOK_CHECK_OUT_REGISTER_ITEM	[Transformare] Оntai trebuie sa scoюi obiectul dorit pentru transformare.
CHANGE_LOOK_COST	Costuri: {} Yang
CHANGE_LOOK_DEL_ITEM	Obiectul absorbit se va єterge.
CHANGE_LOOK_DO_NOT_CHANGE_LOOK_ITEM	[Transformare] Acest obiect nu poate fi transformat.
CHANGE_LOOK_DO_NOT_EQUIP_ITEM	[Transformare] Nu poюi transforma un obiect оn timp ce este echipat.
CHANGE_LOOK_DO_NOT_REGISTER_ITEM	[Transformare] Nu poюi trimite acest obiect.
CHANGE_LOOK_DO_NOT_SEAL_ITEM	[Transformare] Acest obiect este personaliat.
CHANGE_LOOK_INSERT_CHANGE_LOOK_ITEM	[Transformare] Trimite obiectul ce doreєti sг оl transformi.
CHANGE_LOOK_INSERT_ITEM	[Transformare] Trebuie sг trimiюi obiectul mai оntвi.
CHANGE_LOOK_OPEN_OTHER_WINDOW	[Transformare] Aceastг acюiune nu este posibilг оn timp ce fereastra de Transformare este deschisг.
CHANGE_LOOK_TITLE	Transformare
CHANGE_PET_PLEASE_APPEND_FIRST	Mai оntвi trebuie selectat оnsoюitorul.
CHANGE_TOOLTIP_LINE1	Pune оn stвnga obiectul ce doreєti sг оl transformi.
CHANGE_TOOLTIP_LINE2	Pune celгlalt obiect оn dreapta.
CHANGE_TOOLTIP_LINE3	Aspectul obiectului din stвnga se va schimba.
CHANGE_TOOLTIP_LINE4	imediat ce confirmi transformarea (V) єi plгteєti Yangul.
CHANGE_TOOLTIP_LINE5	Acest obiect permite
CHANGE_TOOLTIP_LINE6	sг transformi un obiect fгrг a cheltui Yang.
CHANGE_TOOLTIP_TITLE	Transformare
CHANNEL	Canal
CHANNELING_CANNOT_LOGOUT	Nu poюi reveni la ecranul de login.
CHANNEL_EMPTY_SERVER	Niciun server
CHANNEL_NORMAL	Canal {}
CHANNEL_NOTIFY_FULL	Acest canal este plin! Alege te rog altul.
CHANNEL_NOT_FIND_INFO	Nicio informaюie gгsitг via Canal.
CHANNEL_PVP	Duel liber
CHANNEL_SELECT_CHANNEL	Alege canalul
CHANNEL_SELECT_REGION	Selecteazг regiunea.
CHANNEL_SELECT_SERVER	Alege serverul
CHANNEL_STATUS_BUSY	Ocupat
CHANNEL_STATUS_FULL	Plin
CHANNEL_STATUS_OFFLINE	Necunoscut
CHANNEL_STATUS_RECOMMENDED	Recomandat
CHANNEL_STATUS_VACANT	Scгzut
CHANNEL_TEST_SERVER	Testeazг serverul
CHANNEL_TEST_SERVER_ADDR	Test {}:{}
CHARACTER_CREATE_MODE	Creaza caracter
CHARACTER_NAME	Nume
CHARACTER_SELECT_MODE	Alege caracter
CHARGE_BEAD_QUESTION	Animasfere necesare: {}. Doreєti sг continui?
CHAT_ALL	Toюi
CHAT_BLOCK	Blocheazг
CHAT_DICE_INFO	Aruncг
CHAT_GUILD	Breaslг
CHAT_INFORMATION	Info
CHAT_INSULT_STRING	Propoziюia conюine cuvinte nepermise.
CHAT_LOG	Aratг mesaje vechi [L]
CHAT_LOG_TITLE	Log Chat
CHAT_NORMAL	Normal
CHAT_NOTICE	Server
CHAT_PARTY	Grup
CHAT_SEND_CHAT	Trimite mesaj
CHAT_SEND_MEMO	Trimite єoaptг [Shift+Enter]
CHAT_SHOUT	Strigг
CHAT_SHOUT_LIMIT	Poюi striga doar o datг la 8 secunde.
CHAT_WHISPER	Єoaptг
CHEQUE_SYSTEM_DO_NOT_DROP_MONEY	Nu poюi arunca bani.
CHEQUE_SYSTEM_PICK_WON	Ai primit {} Won.
CHEQUE_SYSTEM_SELL_PRICE	[Preю de vвnzare]
CHEQUE_SYSTEM_UNIT_WON	Won
CHEQUE_SYSTEM_UNIT_YANG	Yang
CHEQUE_SYSTEM_WON	{} Won
CHEQUE_SYSTEM_YANG	{} Yang
CLEAR_FLOOR	Nivel
CLEAR_TIME	Timp
ClosePetChangeWndButton	Оnchis
COMB_ACCE_IS_CONTINUE_PROCESS	Doreєti sг continui?
COMB_ACCE_WARNING_MESSAGE	Sursa va fi distrusг la succesul complet sau parюial. Transferul poate eєua. Rata de absorbюie a obiectului юintг va fi redusг la succesul parюial sau eєec.
COMB_ACCE_WARNING_MESSAGE1	Sursa va fi distrusг la succesul complet sau parюial.
COMB_ACCE_WARNING_MESSAGE2	Transferul poate eєua.
COMB_ACCE_WARNING_MESSAGE3	Rata de absorbюie a obiectului юintг va fi redusг la succesul parюial sau eєec.
COMB_ACCE_WILL_REMOVE_MATERIAL	Sursa va fi distrusг la succesul complet sau parюial.
COMB_ALREADY_APPEND	Acest obiect a fost deja ales.
COMB_CANT_APPEND_ITEM	Acest articol nu poate fi folosit.
COMB_CANT_APPEND_SEALED_ITEM	Nu poti folosi niciun obiect personalizat.
COMB_CANT_BASE_ITEM	O eєarfг care are deja un bonus nu poate fi folositг ca юintг.
COMB_CANT_MATCH_DRAINRATE	Rata de absorbюie a ambelor obiecte trebuie sг fie identicг pentru un transfer de bonus.
COMB_CANT_MATCH_GRADE	Gradul ambelor obiecte trebuie sг fie identic pentru un transfer de bonus.
COMB_CANT_MATERIAL_ITEM	Obiectul sursг trebuie sг aibг un bonus.
COMB_COST	Pret: {}
COMB_IS_CONTINUE_PROCESS	Vrei sa continui?
COMB_NOTICE	Nu poti deschide un magazin privat in timp ce faci negot de carti.
COMB_NOTICE_NOT_OPEN	Nu poti face negot de carti daca ai un magazin privat deschis.
COMB_NOT_ALL_SLOT_APPEND_ITEM	Aveюi nevoie de un obiect sursг єi unul юintг plus obiectul de transfer pentru a transfera bonusuri.
COMB_NOT_FULL_BOOK	Nu, nu putem face afaceri in acest fel. Ti-am spus deja ca fac negot cu tine doar daca imi oferi 10 carti la schimb.
COMB_NOT_ITEM_IN_INVENTORY	Nu poti folosi obiectele echipate.
COMB_NOT_MEDIUM_ITEM	Acest articol nu poate fi folosit.
COMB_WILL_REMOVE_MATERIAL	Obiectul sursг va fi distrus оn transferul cu succes.
CREATE_ERROR_GM_NAME	Nu poюi folosi ,GM‘ la numele caracterului.
CREATE_ERROR_INSULT_NAME	Acest nume este invalid.
CREATE_ERROR_LIMIT_LEVEL	Caracterul tau trebuie sa aiba cel putin nivelul 80.
CREATE_ERROR_TIME_LIMIT	Poti crea un singur caracter la fiecare 30 de secunde.
CREATE_ERROR_WRONG_STRING	Numele caracterului este invalid.
CREATE_EXIST_SAME_NAME	Existг deja un caracter cu acest nume.
CREATE_FAILURE	Nu poюi crea acest caracter.
CREATE_FULL	Nu mai poti crea alte caractere.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Introdu numele.
CREATE_PLUS_STAT	Mai sunt puncte de status disponibile.
CZ_REWARD_QUESTION_COMPLETE	Vrei sг revendici acest loc?
CZ_REWARD_TOOLTIP_10GAN	Insignг Zodiac
CZ_REWARD_TOOLTIP_10GAN_COUNT	Numгr оn inventar
CZ_REWARD_TOOLTIP_10GAN_NEED_COUNT	Cantitate necesarг
CZ_REWARD_TOOLTIP_12ZI	Insignг Gardian
CZ_REWARD_TOOLTIP_12ZI_COUNT	Numгr оn inventar
CZ_REWARD_TOOLTIP_12ZI_NEED_COUNT	Cantitate necesarг
CZ_REWARD_TOOLTIP_ALL_BOX	Comoarг Astralг
CZ_REWARD_TOOLTIP_CAN_GET_ALL_BOX	Apasг aici pentru a colecta Comoara Astralг drept recompensг.
CZ_REWARD_TOOLTIP_CAN_GET_GREEN_BOX	Apasг aici pentru a colecta Comoara Aventurine drept recompensг.
CZ_REWARD_TOOLTIP_CAN_GET_YELLOW_BOX	Apasг aici pentru a colecta Comoara Aureolin drept recompensг.
CZ_REWARD_TOOLTIP_COMPLETABLE	Colecteazг
CZ_REWARD_TOOLTIP_GREEN_BOX	Comoarг Aventurine
CZ_REWARD_TOOLTIP_GREEN_BOX_COMP_CNT	Comoari Aventurine Colectate: {}
CZ_REWARD_TOOLTIP_WEEKLY	Zi
CZ_REWARD_TOOLTIP_WEEKLY_FRI	Vineri
CZ_REWARD_TOOLTIP_WEEKLY_MON	Luni
CZ_REWARD_TOOLTIP_WEEKLY_SAT	Sвmbгtг
CZ_REWARD_TOOLTIP_WEEKLY_SAT_SUN	Sвmbгtг/Duminicг
CZ_REWARD_TOOLTIP_WEEKLY_THU	Joi
CZ_REWARD_TOOLTIP_WEEKLY_TUE	Marюi
CZ_REWARD_TOOLTIP_WEEKLY_WED	Miercuri
CZ_REWARD_TOOLTIP_YELLOW_BOX	Comoarг Aurelion
CZ_REWARD_TOOLTIP_YELLOW_BOX_COMP_CNT	Comori Aureolin Colectate: {}
DAY	Zile
DETAILS_1	Tare vs Jumгtate-Om
DETAILS_10	Tare vs Mon. Deєert
DETAILS_11	Tare vs Insecte
DETAILS_12	Valoarea Atacului
DETAILS_13	Valoarea Apгrгrii
DETAILS_14	Pagubг Medie
DETAILS_15	Rezist. Pagubг Medie
DETAILS_16	Pagubг Abilitate
DETAILS_17	Rezistent Pagubг Abilitate
DETAILS_18	Atac Fizic/Magic
DETAILS_19	Atac Magic
DETAILS_2	Rezist la Jumгt.-Om
DETAILS_20	Єansг Lovit. Criticг
DETAILS_21	Loviturг Pгtrunzгt.
DETAILS_22	Rezist Lovit. Crit.
DETAILS_23	Rezist Lov. Pгtrunz.
DETAILS_24	Rezist. la Fulger
DETAILS_25	Rezist. la Gheaюг
DETAILS_26	Rezist. la Оntuneric
DETAILS_27	Rezist. la Foc
DETAILS_28	Rezist. la Vвnt
DETAILS_29	Rezist. la Pгmвnt
DETAILS_3	Tare vs Fatalis
DETAILS_30	Puterea Fulgerului
DETAILS_31	Puterea Gheюii
DETAILS_32	Puterea Оntunecatг
DETAILS_33	Puterea Focului
DETAILS_34	Puterea Vвntului
DETAILS_35	Puterea Pгmвntului
DETAILS_36	Tare vs Rгzboinic
DETAILS_37	Tare vs Ninja
DETAILS_38	Tare vs Sura
DETAILS_39	Tare vs Єaman
DETAILS_4	Tare vs Vampir
DETAILS_40	Tare vs Lycan
DETAILS_41	Apгrare vs Rгzboinic
DETAILS_42	Apгrare vs Ninja
DETAILS_43	Apгrare vs Sura
DETAILS_44	Apгrare vs Єaman
DETAILS_45	Apгrare vs Lycan
DETAILS_46	Apгrare Sabie
DETAILS_47	Apгrare Douг Mвini
DETAILS_48	Apгrare Pumnal
DETAILS_49	Apгrare Ghearг
DETAILS_5	Tare vs Monstru
DETAILS_50	Apгrare Clopot
DETAILS_51	Evantai Clopot
DETAILS_52	Apгrare Sгgeatг
DETAILS_53	Єansг de Confuzie
DETAILS_54	Єansг de Оncetinire
DETAILS_55	Єansг de Otrгvire
DETAILS_56	Rezistenюг la Otravг
DETAILS_57	Atac Sвngeros
DETAILS_58	Rez. Atac Sвngeros
DETAILS_59	Furг PV
DETAILS_6	Tare vs Monst Zodiac
DETAILS_60	Furг PM
DETAILS_61	Recupereazг PV
DETAILS_62	Recupereazг PM
DETAILS_63	Blocheazг Atac
DETAILS_64	Evitг Atac Sгgeюi
DETAILS_65	Reflectг Atac Fizic
DETAILS_66	Recup. PV la Ucidere
DETAILS_67	Recup. PM la Ucidere
DETAILS_68	Dublu EXP
DETAILS_69	Dublu Yang
DETAILS_7	Tare vs Rathalos
DETAILS_70	Єansг Drop
DETAILS_71	Valoarea Atacului
DETAILS_72	Valoarea Apгrгrii
DETAILS_73	EXP
DETAILS_74	Єansг Drop
DETAILS_75	Dublu Yang
DETAILS_76	Rezistenюг la Magie
DETAILS_77	Anti-Magie
DETAILS_8	Tare vs Gods
DETAILS_9	Tare vs Demon
DETAILS_ATTBONUS_BELL	Vulnerabil Clopot
DETAILS_ATTBONUS_BOW	Vulnerabil Sгgeatг
DETAILS_ATTBONUS_CLAW	Vulnerabil Ghearг
DETAILS_ATTBONUS_DAGGER	Vulnerabil Pumnal
DETAILS_ATTBONUS_FAN	Vulnerabil Evantai
DETAILS_ATTBONUS_SWORD	Vulnerabil Sabie
DETAILS_ATTBONUS_TWOHAND	Vulnerabil Douг Mвini
DETAILS_CATE_1	Daune/Apгrare
DETAILS_CATE_2	Bonus element
DETAILS_CATE_3	Bonus clasг
DETAILS_CATE_4	Bonus armг
DETAILS_CATE_5	Alte bonusuri
DETAILS_CATE_6	Bonus special
DETAILS_RESIST_MOUNT_FALL	Rezistenюг la alunecare
DETAILS_TITLE	Detalii
DETAILS_TOOLTIP_1	Tare vs Semi-Oameni: Daune mai mari оmpotriva Semi-Oameni.
DETAILS_TOOLTIP_10	Tare оmpotriva Monєtrilor de Deєert: provoacг daune mai mari monєtrilor de deєert.
DETAILS_TOOLTIP_11	Tare оmpotriva Insectelor: provoacг daune mai mari оmpotriva insectelor.
DETAILS_TOOLTIP_12	Mгreєte valoarea atacului.
DETAILS_TOOLTIP_13	Mгreєte valoarea apгrгrii.
DETAILS_TOOLTIP_14	Mгreєte paguba medie executatг pe inamici оn atac.
DETAILS_TOOLTIP_15	Rezistenюг vs pagubг medie: reduce daunele primite оn atac.
DETAILS_TOOLTIP_16	Mгreєte daunele executate de o abilitate.
DETAILS_TOOLTIP_17	Rezistenюг vs pagubг abilitate. Reduce daunele primite de la o abilitate.
DETAILS_TOOLTIP_18	Mгreєte valoarea atacului fizic єi magic.
DETAILS_TOOLTIP_19	Mгreєte daunele atacului magic executat pe inamici оn atac.
DETAILS_TOOLTIP_2	Rezistenюг vs Semi-Oameni: Reduce daunele primite de la Semi-Oameni.
DETAILS_TOOLTIP_20	Creєte єansa unei lovituri critice.
DETAILS_TOOLTIP_21	Probabilitate loviturг pгtrunzгtoare: Creєte єansa de a executa o loviturг pгtrunzгtoare.
DETAILS_TOOLTIP_22	Rezistenюг vs loviturг criticг: Reduce daunele fгcute de o loviturг criticг.
DETAILS_TOOLTIP_23	Rezistenюг vs loviturг pгtrunzгtoare: Reduce daunele fгcute de o loviturг pгtrunzгtoare.
DETAILS_TOOLTIP_24	Reduce daunele primite de la anumiюi monєtri.
DETAILS_TOOLTIP_25	Reduce daunele primite de la anumiюi monєtri.
DETAILS_TOOLTIP_26	Rezistenюг la оntuneric: Reduce daunele primite de la anumiюi monєtri.
DETAILS_TOOLTIP_27	Reduce daunele primite de la anumiюi monєtri.
DETAILS_TOOLTIP_28	Reduce daunele primite de la anumiюi monєtri.
DETAILS_TOOLTIP_29	Reduce daunele primite de la anumiюi monєtri.
DETAILS_TOOLTIP_3	Tare vs Fatalis: Daune mai mari оmpotriva Fatalis.
DETAILS_TOOLTIP_30	Creєte daunele fгcute cu puterea fulgerului.
DETAILS_TOOLTIP_31	Creєte daunele fгcute cu puterea gheюii.
DETAILS_TOOLTIP_32	Creєte daunele fгcute cu puterea оntunecatг.
DETAILS_TOOLTIP_33	Creєte daunele fгcute cu puterea focului.
DETAILS_TOOLTIP_34	Creєte daunele fгcute cu puterea vвntului.
DETAILS_TOOLTIP_35	Creєte daunele fгcute cu puterea pгmвntului.
DETAILS_TOOLTIP_36	Tare vs Rгzboinici: Daune mai mari оmpotriva rгzboinicilor.
DETAILS_TOOLTIP_37	Tare vs Ninja: Daune mai mari оmpotriva ninja.
DETAILS_TOOLTIP_38	Tare vs Sura: Daune mai mari оmpotriva sura.
DETAILS_TOOLTIP_39	Tare vs Єamani: Daune mai mari оmpotriva єamanilor.
DETAILS_TOOLTIP_4	Tare vs Vampiri: Daune mai mari оmpotriva vampirilor.
DETAILS_TOOLTIP_40	Tare vs Lycani: Daune mai mari оmpotriva lycanilor.
DETAILS_TOOLTIP_41	Єansг de apгrare la atacurile primite de la rгzboinici: Reduce daunele primite de la rгzboinici.
DETAILS_TOOLTIP_42	Єansг de apгrare la atacurile primite de la ninja: Reduce daunele primite de la ninja.
DETAILS_TOOLTIP_43	Єansг de apгrare la atacurile primite de la sura: Reduce daunele primite de la sura.
DETAILS_TOOLTIP_44	Єansг de apгrare la atacurile primite de la єaman: Reduce daunele primite de la єaman.
DETAILS_TOOLTIP_45	Єansг de apгrare la atacurile primite de la lycan: Reduce daunele primite de la lycan.
DETAILS_TOOLTIP_46	Reduce daunele produse de o sabie.
DETAILS_TOOLTIP_47	Reduce daunele produse de o armг douг-mвini.
DETAILS_TOOLTIP_48	Reduce daunele produse de un pumnal.
DETAILS_TOOLTIP_49	Reduce daunele produse de o ghearг.
DETAILS_TOOLTIP_5	Tare vs Monєtri: Daune mai mari оmpotriva monєtrilor.
DETAILS_TOOLTIP_50	Reduce daunele produse de un clopot/evantai.
DETAILS_TOOLTIP_51	Reduce daunele produse de un evantai.
DETAILS_TOOLTIP_52	Reduce daunele produse de un arc cu sгgeюi
DETAILS_TOOLTIP_53	Creєte єansa de a bate un oponent.
DETAILS_TOOLTIP_54	Creєte єansa de a оncetini un oponent.
DETAILS_TOOLTIP_55	Creєte єansa de a otrгvi un oponent.
DETAILS_TOOLTIP_56	Reduce daunele produse de otravг.
DETAILS_TOOLTIP_57	Creєte єansa de a executa un atac sвngeros.
DETAILS_TOOLTIP_58	Rezistenюг vs atac sвngeros: Reduce daunele produse de atac sвngeros.
DETAILS_TOOLTIP_59	Furг PV de la oponenюi atunci cвnd оi loveєti.
DETAILS_TOOLTIP_6	Tare оmpotriva Monєtrilor Zodiac: Daune mai mari оmpotriva monєtrilor Zodiac.
DETAILS_TOOLTIP_60	Furг PM de la oponenюi atunci cвnd оi loveєti.
DETAILS_TOOLTIP_61	Mгreєte recuperarea punctelor de viaюг.
DETAILS_TOOLTIP_62	Mгreєte recuperarea punctelor de magie.
DETAILS_TOOLTIP_63	Єansг de blocare a unui atac fizic: Creєte єansa de a evita un atac fizic.
DETAILS_TOOLTIP_64	Єansг de evitare a unui atac cu sгgeюi: Creєte єansa de a evita un atac cu sгgeюi sau de la distanюг de la un monstru.
DETAILS_TOOLTIP_65	Єansг de a reflecta lovituri fizice: O parte dintre daunele fizice de la oponent sunt reflectate cгtre el.
DETAILS_TOOLTIP_66	Recuperare PV cвnd omori: Punctele tale de viaюг cresc cвnd omori un oponent.
DETAILS_TOOLTIP_67	Recuperare PM cвnd omori: Punctele tale de magie cresc cвnd omori un oponent.
DETAILS_TOOLTIP_68	Єansa de a cвєtiga experienюг dublг: Creєte єansa de a cвєtiga bonus de EXP atunci cвnd omori un oponent.
DETAILS_TOOLTIP_69	Єansг la drop dublu Yang: Creєte єansa de a primi de douг ori cantiatea de Yang.
