ACCE_ABSORB_COST	Absorption price: {}
CANNOT_SKILL_ATTACK	I cannot attack that.
CANNOT_SKILL_BLOCKED	This skill cannot be used here.
CANNOT_SKILL_BLUE	You cannot use Indigo Wolf Soul when Crimson Wolf Soul is active.
CANNOT_SKILL_DEST_IN_SAFE	The opponent is too far away.
CANNOT_SKILL_EQUIP_FISHING_ROD	I need a Fishing Pole.
CANNOT_SKILL_HAVE_TO_RIDE	I need a Horse to be able to use this. 
CANNOT_SKILL_NEED_EMPTY_BOTTLE	I do not have an empty bottle.
CANNOT_SKILL_NEED_POISON_BOTTLE	I do not have a Poison Bottle.
CANNOT_SKILL_NEED_TARGET	Who is the target?
CANNOT_SKILL_NOT_ENOUGH_HP	I do not have enough HP!
CANNOT_SKILL_NOT_ENOUGH_SP	I do not have enough SP!
CANNOT_SKILL_NOT_HORSE_SKILL	I cannot use this while riding.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	I cannot use this skill with this weapon.
CANNOT_SKILL_NOT_YET_LEARN	I have not learned this skill.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	This only affects group members.
CANNOT_SKILL_ONLY_FOR_CORPSE	This only affects dead people.
CANNOT_SKILL_RED	You cannot use Crimson Wolf Soul when Indigo Wolf Soul is active.
CANNOT_SKILL_REMOVE_FISHING_ROD	I cannot use this skill with a Fishing Pole.
CANNOT_SKILL_SELF_IN_SAFE	I cannot attack from here.
CANNOT_SKILL_USE_SELF	I cannot use this on myself.
CANNOT_SKILL_WAIT_COOLTIME	I cannot use this skill yet.
CANNOT_TOGGLE_DS_STATE_SO_FAST	The status of the Alchemy can not be changed immediately. Please wait.
CANNOT_USE	You cannot use this.
CANNOT_WHISPER_DEST_REFUSE	{} has blocked whispering.
CANNOT_WHISPER_NOT_LOGON	{} is not online.
CANNOT_WHISPER_SELF_REFUSE	You cannot whisper something to someone when you have completely blocked whispering. 
CATEGORY_ARMOR_ARMOR_BODY	Armor
CATEGORY_ARMOR_ARMOR_HEAD	Helmets
CATEGORY_ARMOR_ARMOR_SHIELD	Shields
CATEGORY_COSTUMES	Costumes
CATEGORY_COSTUMES_COSTUME_BODY	Costumes
CATEGORY_COSTUMES_COSTUME_HAIR	Hairstyles
CATEGORY_COSTUMES_COSTUME_WEAPON	Weapon Skins
CATEGORY_COSTUMES_ETC	Other
CATEGORY_COSTUMES_SASH	Shoulder Sashes
CATEGORY_DRAGON_STONE	Dragon Stone Alchemy
CATEGORY_DRAGON_STONE_DRAGON_DIAMOND	Diamond
CATEGORY_DRAGON_STONE_DRAGON_GARNET	Garnet
CATEGORY_DRAGON_STONE_DRAGON_JADE	Jade
CATEGORY_DRAGON_STONE_DRAGON_ONYX	Onyx
CATEGORY_DRAGON_STONE_DRAGON_RUBY	Ruby
CATEGORY_DRAGON_STONE_DRAGON_SAPPHIRE	Sapphire
CATEGORY_DRAGON_STONE_ETC	Other
CATEGORY_EQUIPMENT_ARMOR	Equipment
CATEGORY_EQUIPMENT_JEWELRY	Jewelry
CATEGORY_EQUIPMENT_WEAPON	Weapons
CATEGORY_ETC	Other
CATEGORY_ETC_ETC	Other
CATEGORY_ETC_EVENT	Event Items
CATEGORY_ETC_GIFTBOX	Chests | Boxes
CATEGORY_ETC_MATRIMORY	Marriage
CATEGORY_ETC_PARTI	Art of War Books
CATEGORY_ETC_POLYMORPH	Polymorph Marbles
CATEGORY_ETC_RECIPE	Potion Production
CATEGORY_ETC_SEAL	Soulbinding
CATEGORY_FISHING_PICK	Fishing | Mining
CATEGORY_FISHING_PICK_EQUIPMENT_PICK	Pickaxes
CATEGORY_FISHING_PICK_ETC	Other
CATEGORY_FISHING_PICK_FISHING_POLE	Fishing Rods
CATEGORY_FISHING_PICK_FOOD	Fish
CATEGORY_FISHING_PICK_PICK_BOOK	Mining Guides
CATEGORY_FISHING_PICK_STONE	Ores
CATEGORY_JEWELRY_ARMOR_EAR	Earrings
CATEGORY_JEWELRY_ARMOR_FOOTS	Shoes
CATEGORY_JEWELRY_ARMOR_NECK	Necklaces
CATEGORY_JEWELRY_ARMOR_WRIST	Bracelets
CATEGORY_JEWELRY_ITEM_BELT	Belts
CATEGORY_MOUNT_PET	Mounts | Pets
CATEGORY_MOUNT_PET_CHARGED_PET	Pets
CATEGORY_MOUNT_PET_EGG	Pet Eggs
CATEGORY_MOUNT_PET_FREE_PET	Evolvable Pets
CATEGORY_MOUNT_PET_MOUNT	Mounts
CATEGORY_POTION	Potions
CATEGORY_POTION_ABILITY	Consumables
CATEGORY_POTION_ETC	Other
CATEGORY_POTION_HAIRDYE	Hair Dyes
CATEGORY_SKILL	Skills
CATEGORY_SKILL_BOOK_OF_OBLIVION	Books of Forgetfulness
CATEGORY_SKILL_ETC	Other
CATEGORY_SKILL_PAHAE	Ward | Boost
CATEGORY_SKILL_SKILL_BOOK	Skill Books
CATEGORY_TUNING	Upgrades
CATEGORY_TUNING_ETC	Other
CATEGORY_TUNING_RESOURCE	Materials
CATEGORY_TUNING_STONE	Spirit Stones
CATEGORY_UNIQUE	Special Items
CATEGORY_UNIQUE_ABILITY	Consumables
CATEGORY_UNIQUE_ETC	Other
CATEGORY_WEAPON_WEAPON_ARROW	Arrows
CATEGORY_WEAPON_WEAPON_BELL	Bells
CATEGORY_WEAPON_WEAPON_BOW	Bows
CATEGORY_WEAPON_WEAPON_CLAW	Claws
CATEGORY_WEAPON_WEAPON_DAGGER	Daggers
CATEGORY_WEAPON_WEAPON_FAN	Fans
CATEGORY_WEAPON_WEAPON_MOUNT_SPEAR	Spears
CATEGORY_WEAPON_WEAPON_QUIVER	Quivers
CATEGORY_WEAPON_WEAPON_SWORD	One-handed Weapons
CATEGORY_WEAPON_WEAPON_TWO_HANDED	Two-handed Weapons
CHANGE_ALREADY_REGISTER	[Transmutation] This item has already been submitted.
CHANGE_LOOK_CHANGE_ITEM	Do you want to transmute this item?
CHANGE_LOOK_CHECK_OUT_REGISTER_ITEM	[Transmutation] Please first remove the item which you want to transmute.
CHANGE_LOOK_COST	Cost: {} Yang
CHANGE_LOOK_DEL_ITEM	The absorbed item will be deleted.
CHANGE_LOOK_DO_NOT_CHANGE_LOOK_ITEM	[Transmutation] This item cannot be transmuted.
CHANGE_LOOK_DO_NOT_EQUIP_ITEM	[Transmutation] You cannot transmute an item while it is equipped.
CHANGE_LOOK_DO_NOT_REGISTER_ITEM	[Transmutation] You cannot submit this item.
CHANGE_LOOK_DO_NOT_SEAL_ITEM	[Transmutation] The item is soulbound.
CHANGE_LOOK_INSERT_CHANGE_LOOK_ITEM	[Transmutation] Please submit the item you want to transmute.
CHANGE_LOOK_INSERT_ITEM	[Transmutation] You must submit the item first.
CHANGE_LOOK_OPEN_OTHER_WINDOW	[Transmutation] This action is not possible while the Transmutation window is open.
CHANGE_LOOK_TITLE	Transmutation
CHANGE_TOOLTIP_LINE1	Place the item you want to transmute on the left.
CHANGE_TOOLTIP_LINE2	Place the other item on the right.
CHANGE_TOOLTIP_LINE3	The appearance of the item on the left will change
CHANGE_TOOLTIP_LINE4	once you confirm the transmutation (V) and pay the Yang.
CHANGE_TOOLTIP_LINE5	Using this item allows you
CHANGE_TOOLTIP_LINE6	to transmute your item without spending Yang.
CHANGE_TOOLTIP_TITLE	Transmutation
CHANNEL	Channel
CHANNELING_CANNOT_LOGOUT	You cannot go back to the login screen.
CHANNEL_EMPTY_SERVER	No server
CHANNEL_NORMAL	Channel {}
CHANNEL_NOTIFY_FULL	This channel is full! Please choose another one.
CHANNEL_NOT_FIND_INFO	No information found via the Channel.
CHANNEL_PVP	Free duel
CHANNEL_SELECT_CHANNEL	Choose the channel
CHANNEL_SELECT_REGION	Choose region.
CHANNEL_SELECT_SERVER	Choose server
CHANNEL_TEST_SERVER	Test server
CHANNEL_TEST_SERVER_ADDR	Test {}:{}
CHARACTER_CREATE_APPEARANCE1	Look 1
CHARACTER_CREATE_APPEARANCE2	Look 2
CHARACTER_CREATE_FEMALE	Female
CHARACTER_CREATE_MALE	Male
CHARACTER_CREATE_MODE	Create character
CHARACTER_NAME_MAX_LEN	24
CHARACTER_SELECT_MODE	Select character
CHAT_ALL	All
CHAT_BLOCK	Block
CHAT_DICE_INFO	Throw
CHAT_FILTER	Chatfilter
CHAT_GLOBAL	Global
CHAT_GUILD	Guild
CHAT_INFORMATION	Info
CHAT_INSULT_STRING	This sentence has invalid words in it.
CHAT_LOG	Show old messages [L]
CHAT_LOG_TITLE	Chat-log
CHAT_NORMAL	Normal
CHAT_NOTICE	Server
CHAT_OPEN_EMOJI	Emoji
CHAT_PARTY	Group
CHAT_SEND_CHAT	Send chat
CHAT_SEND_MEMO	Send whisper [Shift+Enter]
CHAT_SHOUT	Call
CHAT_SHOUT_LIMIT	You can only call every 8 seconds.
CHAT_WHISPER	Whispering
CHEQUE_SYSTEM_DO_NOT_DROP_MONEY	You cannot drop money.
CHEQUE_SYSTEM_PICK_WON	You have received {} Won.
CHEQUE_SYSTEM_SELL_PRICE	[Sales price]
CHEQUE_SYSTEM_UNIT_WON	Won
CHEQUE_SYSTEM_UNIT_YANG	Yang
CHEQUE_SYSTEM_WON	{} Won
CHEQUE_SYSTEM_YANG	{} Yang
CHOOSE_TITLE	Choose Title
CHOOSE_TITLE_TEXT	Choose a title and a color.
CHOOSE_YOUR_SKILL_GROUP	Choose your training
CLIENT_RESTART_REQUIRED	Need a Client-Restart.
COMB_ALREADY_APPEND	
COMB_CANT_APPEND_ITEM	This item cannot be used.
COMB_CANT_APPEND_SEALED_ITEM	You cannot use any soulbound items.
COMB_COST	Price: {}
COMB_IS_CONTINUE_PROCESS	Do you want to continue?
COMB_NOTICE	You cannot open a private shop whilst you're trading books.
COMB_NOTICE_NOT_OPEN	You cannot trade books whilst you have a private shop open.
COMB_NOT_ALL_SLOT_APPEND_ITEM	You need a second costume to transfer bonuses.
COMB_NOT_FULL_BOOK	No, we can't do business like this. As I told you already, I'm only open to trade if you offer me 10 books in exchange.
COMB_NOT_ITEM_IN_INVENTORY	You cannot use equipped items.
COMB_NOT_MEDIUM_ITEM	This item cannot be used.
COMB_WILL_REMOVE_MATERIAL	Costume 2 will be destroyed.
CREATE_ERROR_ALREADY	Es existiert bereits ein Charakter mit diesem Namen.
CREATE_ERROR_ALREADY_SLOT	Es existiert bereits ein Charakter auf diesem Slot.
CREATE_ERROR_BLOCKED	Das Erstellen von Charakteren ist deaktiviert.
CREATE_ERROR_FULL_ACCOUNT	Dein Account ist voll.
CREATE_ERROR_GM_BLOCKED	Du kannst dich nicht so nennen.
CREATE_ERROR_GM_NAME	You are not allowed to use 'GM' in your character name.
CREATE_ERROR_INSULT_NAME	This name is invalid.
CREATE_ERROR_INVALID_EMPIRE	Dieses Reich existiert nicht.
CREATE_ERROR_INVALID_NAME	Dein Charaktername enthält nicht erlaubte oder sich mehrfach wiederholende Zeichen.
CREATE_ERROR_INVALID_RACE	Diese Rasse existiert nicht.
CREATE_ERROR_INVALID_SHAPE	Du kannst dieses Aussehen nicht wählen.
CREATE_ERROR_LEVEL_LIMIT	Levelvoraussetzungen für diese Rasse nicht erfüllt.
CREATE_ERROR_LIMIT_LEVEL	Your character must be at least level 80.
CREATE_ERROR_LOGIN_NAME	Du kannst deinen Accountnamen nicht als Charakternamen nehmen.
CREATE_ERROR_LYCAN_DISABLED	You cannot create a lycan.
CREATE_ERROR_NAME_LENGTH	Dieser Name ist zu lang.
CREATE_ERROR_RACE_BLOCKED	Diese Rasse ist deaktiviert.
CREATE_ERROR_TIME_LIMIT	Du kannst nur alle 30 Sekunden einen Charakter erstellen.
CREATE_ERROR_TIME_LIMIT	You can only create one character every 30 seconds.
CREATE_ERROR_WRONG_STRING	Your character name cannot contain special characters.
CREATE_EXIST_SAME_NAME	Another character already has this name.
CREATE_FAILURE	You cannot create the character
CREATE_FULL	You cannot create any more characters.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Enter the name.
CREATE_PLUS_STAT	There are still status points available. 
CREATE_SERVER_ERROR	Etwas ist schiefgelaufen, probiere es später erneut.
CUBE_CONFIRM	Do you really want to craft? The success rate is {}%.
CUBE_RENEWAL_ACCESSORIES	Accessory
CUBE_RENEWAL_ARMOR	Armour
CUBE_RENEWAL_ETC	Generel
CUBE_RENEWAL_POTION	Elixir
CUBE_RENEWAL_WEAPON	Weapon
CZ_REWARD_QUESTION_COMPLETE	Would you like to complete?
CZ_REWARD_TOOLTIP_10GAN	10 Celestial stem
CZ_REWARD_TOOLTIP_10GAN_COUNT	The number of my 10 Celestial stem
CZ_REWARD_TOOLTIP_10GAN_NEED_COUNT	The number of required 10 Celestial stem
CZ_REWARD_TOOLTIP_12ZI	Zodiac talisman
CZ_REWARD_TOOLTIP_12ZI_COUNT	The number of my Zodiac talismans
CZ_REWARD_TOOLTIP_12ZI_NEED_COUNT	The number of required Zodiac tailsmans
CZ_REWARD_TOOLTIP_ALL_BOX	Gold Case
CZ_REWARD_TOOLTIP_CAN_GET_ALL_BOX	Can get Gold Case
CZ_REWARD_TOOLTIP_CAN_GET_GREEN_BOX	Can get Green Case
CZ_REWARD_TOOLTIP_CAN_GET_YELLOW_BOX	Can get Yellow Case
CZ_REWARD_TOOLTIP_COMPLETABLE	Completable
CZ_REWARD_TOOLTIP_GREEN_BOX	Green Case
CZ_REWARD_TOOLTIP_GREEN_BOX_COMP_CNT	Completed Green Case {} times
CZ_REWARD_TOOLTIP_WEEKLY	Day
CZ_REWARD_TOOLTIP_WEEKLY_FRI	Friday
CZ_REWARD_TOOLTIP_WEEKLY_MON	Monday
CZ_REWARD_TOOLTIP_WEEKLY_SAT	Saturday
CZ_REWARD_TOOLTIP_WEEKLY_SAT_SUN	Saturday, Sunday
CZ_REWARD_TOOLTIP_WEEKLY_THU	Thursday
CZ_REWARD_TOOLTIP_WEEKLY_TUE	Tuesday
CZ_REWARD_TOOLTIP_WEEKLY_WED	Wednesday
CZ_REWARD_TOOLTIP_YELLOW_BOX	Yellow Case
CZ_REWARD_TOOLTIP_YELLOW_BOX_COMP_CNT	Completed Yellow Case {} times
DAY	Days
DESCRIPTION_EXAMPLE	Example bla
DESTROY	Destroy
DESTROYER	 Destroy
DETAILS_1	Str. ag. Half Human
DETAILS_10	Str. ag. desert monsters
DETAILS_11	Str. ag. insects
DETAILS_12	Attack value
DETAILS_13	Defence value
DETAILS_14	Skill damage
DETAILS_15	Res. to average damage
DETAILS_16	Average damage
DETAILS_17	Res. to skill damage
DETAILS_18	Magic/melee attack
DETAILS_19	Magic attack
DETAILS_2	Res. Half Human
DETAILS_20	Critical hit prob.
DETAILS_21	Piercing hit
DETAILS_22	Res. critical hit
DETAILS_23	Res. piercing hit
DETAILS_24	Lightning resistance
DETAILS_25	Ice resistance
DETAILS_26	Darkness resistance
DETAILS_27	Fire resistance
DETAILS_28	Wind resistance
DETAILS_29	Earth resistance
DETAILS_3	Str. ag. Fatalis
DETAILS_30	Str. ag. Lightning
DETAILS_31	Str. ag. Ice
DETAILS_32	Str. ag. Darkness
DETAILS_33	Str. ag. Fire
DETAILS_34	Str. ag. Wind
DETAILS_35	Str. ag. Earth
DETAILS_36	Str. ag. Warriors
DETAILS_37	Str. ag. Ninjas
DETAILS_38	Str. ag. Suras
DETAILS_39	Str. ag. Shamans
DETAILS_4	Str. ag. Undead
DETAILS_40	Str. ag. Lycans
DETAILS_41	Warrior evasion
DETAILS_42	Ninja evasion
DETAILS_43	Sura evasion
DETAILS_44	Shaman evasion
DETAILS_45	Lycan evasion
DETAILS_46	Sword defence
DETAILS_47	Two-handed defence
DETAILS_48	Dagger defence
DETAILS_49	Claw evasion
DETAILS_5	Str. ag. Monsters
DETAILS_50	Bell Defence
DETAILS_51	Fan defence
DETAILS_52	Arrow defence
DETAILS_53	Faint chance
DETAILS_54	Chance to slow
DETAILS_55	Chance to poison
DETAILS_56	Poison resistance
DETAILS_57	Bleeding attack
DETAILS_58	Res. bleeding attack
DETAILS_59	HP stealing
DETAILS_6	Str. ag. Zodiac-Monsters
DETAILS_60	SP robbery
DETAILS_61	HP recovery
DETAILS_62	SP recovery
DETAILS_63	Block attack
DETAILS_64	Evade arrow attack
DETAILS_65	Reflect melee attack
DETAILS_66	HP recovery when killing
DETAILS_67	SP recovery when killing
DETAILS_68	2-fold EXP
DETAILS_69	2-fold Yang
DETAILS_7	Str. ag. Rathalos
DETAILS_70	Drop chance
DETAILS_71	Attack value
DETAILS_72	Defence value
DETAILS_73	EXP
DETAILS_74	Drop chance
DETAILS_75	2-fold Yang
