%d 권을 더 읽어야 수련을 완료 할 수 있습니다.	Du musst %d weitere Fertigkeitsbücher lesen, um diese Fertigkeit zu verbessern. 
%d 냥을 투자하셨습니다.	Du hast %d Yang investiert. 
%d 냥을 획득하셨습니다.	Du hast %d Yang gewonnen. 
%d 레벨이 되어야 다시 염색하실 수 있습니다.	Du musst Level %d erreichen, um dein Haar wieder färben zu können. 
%d 분 %d 초 동안 채팅금지 상태입니다	Deine Chat-Sperre dauert noch %d Minuten %d Sekunden. 
%d 시간 %d 분 %d 초 동안 채팅금지 상태입니다	Deine Chat-Sperre dauert noch %d Stunden %d Minuten %d Sekunden. 
%d 시간 %d 초 동안 채팅금지 상태입니다	Deine Chat-Sperre dauert noch %d Stunden %d Sekunden 
%d 종류 %d 마리 낚음	Du hast %d von %d gefangen. 
%d 초 동안 채팅금지 상태입니다	Deine Chat-Sperre dauert noch %d Sekunden 
%d 초 후에 군주의 축복을 사용할 수 있습니다	Nach %d Sekunden kann der Segen des Kaisers verwendet werden. 
%d 초간 쿨타임이 적용중입니다.	Cooldown-Zeit ungefähr %d Sekunden 
%d 초후 목적지로 이동됩니다.	%d Sekunden nach dem Ausführen kommst du zu dem Bestimmungsort. 
%d%% 확률로 관통 공격	Durchdringender Angriff mit einer Chance von %d%% 
%d%% 확률로 적퇴치시 경험치 추가 상승	Erfahrungserhöhung von %d%% bei einem Sieg über den Gegner. 
%d%% 확률로 적퇴치시 돈 2배 드롭	Erhöhung des erbeuteten Yang um %d%% bei einem Sieg über den Gegner. 
%d%% 확률로 적퇴치시 생명력 회복	%d%% Chance, nach dem Sieg über einen Gegner Trefferpunkte aufzufüllen. 
%d%% 확률로 적퇴치시 아이템 2배 드롭	Erhöhung der erbeuteten Gegenstände um %d%% bei einem Sieg über den Gegner. 
%d%% 확률로 적퇴치시 정신력 회복	Manaerhöhung von %d%% bei einem Sieg über den Gegner. 
%d%% 확률로 치명타 공격	Kritischer Angriff mit einer Chance von %d%% 
%d%% 확률로 타격시 상대 전신력 소모	Mit einer Wahrscheinlickeit von %d%% wird Mana vom Gegner genommen. 
%d%% 확률로 피해시 정신력 회복	Absorb mit einer Wahrscheinlichkeit von %d%% Mana. 
%d분의 결제시간이 추가 되었습니다. (결제번호 %d)	%d Spielzeit wird deinem Konto hinzugefügt. (Zahlung Nr. %d) 
%d의 경험치를 획득했습니다.	Du hast %d Erfahrungspunkte erhalten. 
%d초 남았습니다.	%d Sekunden bis zum Beenden. 
%d초 만큼 충전되었습니다.	%d Sekunden wurden aufgeladen. 
%d초 후 게임이 셧다운 됩니다.	Nach %d Sekunden wird das Spiel beendet. 
%s : %d 마리	%s: %d 
%s SP소모: %d	%s FP-Verbrauch: %d 
%s killcount %d mobkillcount %d bosskillcount %d 성지 진입수 %d	%s killcount %d mobkillcount %d bosskillcount %d Zahl heiligen Boden %d 
%s 군주 후보에서 삭제하였습니다	%s ist als Kaiserkandidat gelöscht. 
%s 군주로 입명 했습니다.	%s ist als Kaiser nominiert. 
%s 군주르 제거 하였습니다..	Der %s Kaiser wird entfernt. 
%s 군주를 제거 할수 없습니다.	Der %s Kaiser kann nicht entfernt werden. 
%s 길드가 %s 길드에 선전포고를 하였습니다!	Die Gilde %s hat der Gilde %s den Krieg erklärt! 
%s 길드가 %s 길드와의 전쟁에서 승리 했습니다.	%s hat den Gildenkrieg gegen %s gewonnen. 
%s 길드가 %s 길드의 깃발을 빼앗았습니다!	%s hat die Fahne von %s erobert! 
%s 길드와 %s 길드 사이의 전쟁이 무승부로 끝났습니다.	Der Gildenkrieg zwischen %s und %s endet unentschieden. 
%s 길드와 %s 길드 사이의 전쟁이 취소되었습니다.	Der Gildenkrieg zwischen %s und %s wurde abgebrochen. 
%s 길드와 %s 길드가 잠시 후 전쟁을 시작합니다!	Der Gildenkrieg zwischen %s und %s beginnt in wenigen Minuten! 
%s 길드와 %s 길드가 전쟁을 시작하였습니다!	Der Gildenkrieg zwischen %s und %s hat begonnen! 
%s 길드의 %s이 %d%% 증가했습니다!	%s der Gilde %s ist um %d%% angestiegen! 
%s 길드의 %s이 정상으로 돌아왔습니다.	%s der Gilde %s hat sich normalisiert. 
%s 길드의 깃발을 %s 님이 획득하였습니다.	Die Flagge der Gilde %s wurde von Spieler %s gestohlen. 
%s 는 군주 후보가 아닙니다.	%s ist kein Kandidat für die Kaiserwahl. 
%s 는 군주로 입명할수 없습니다 .	%s kann nicht als Kaiser nominiert werden. 
%s 님과의 교환이 성사 되었습니다.	Der Handel mit %s wurde erfolgreich durchgeführt. 
%s 님에게 파티가입 신청을 했습니다.	Du möchtest der Gruppe von %s beitreten. 
%s 님으로 부터 친구 등록을 거부 당했습니다.	%s hat die Einladung abgelehnt. 
%s 님은 %d 채널에 접속 중 입니다. (현재 채널: %d)	Der Spieler %s befindet sich gerade auf Channel %d. (Dein Channel: %d) 
%s 님은 접속되 있지 않습니다.	%s ist nicht online. 
%s 님은 정상적으로 출마를 하였습니다.	%s Spieler ist schon in der Wahl. 
%s 님을 소환하였습니다.	Du hast %s Spieler rekrutiert. 
%s 님이 대련에서 승리하였습니다.	%s hat das Duell gewonnen. 
%s 님이 승리하였습니다.	%s hat gewonnen. 
%s 블럭! (%d%%)	%s blocken! (%d%%) 
%s 아이템 을 획득하셨습니다	Du hast %s Gegenstand gewonnen. 
%s 아이템이 필요합니다	Du brauchst %s. 
%s 에게로 이동합니다	Warpen zu Spieler %s. 
%s 회피! (%d%%)	%s ausweichen! (%d%%) 
%s: 존재하지 않는 길드 입니다.	%s: Diese Gilde existiert nicht. 
%s[%d]가 공격 위치: %d %d	%s[%d]s Angriffsposition: %d %d 
%s님과의 대결 시작!	Der Kampf mit %s hat begonnen! 
%s님이 대결신청을 했습니다. 승낙하려면 대결동의를 하세요.	%s hat dich zum Kampf aufgefordert! 
%s님이 주사위를 굴려 %d가 나왔습니다. (%d-%d)	%s hat gewürfelt. Das Ergebnis lautet: %d (%d-%d). 
%s를 구웠습니다.	Du röstest %s über dem Feuer. 
%s에 박혀있던 보석이 사라집니다.	Ein Edelstein aus %s ist verschwunden. 
%s에 전쟁의 시작을 알리는 봉화가 나타났습니다.	Ein Lagerfeuer wurde bei %s entzündet, um vor einer Schlacht zu warnen. 
%s에게 대결신청을 했습니다.	Du hast %s zum Kampf aufgefordert. 
%s에서 봉화를 둘러싸고 전투가 진행중입니다.	Es gibt in %s einen Krieg um die Leuchtfeuer zu entzünden. 
%s에서 소켓 빠질때까지 남은 시간 %d	Bis zur Fassungsentfernung von %s verbleibende Zeit: %d 
%s의 %s이 %d%% 증가했습니다!	%s: %s ist um %d%% angestiegen! 
%s의 %s이 정상으로 돌아왔습니다.	%s 's %s hat sich normalisiert. 
%s의 군주가 %s 님으로 교체되었습니다.	Der Kaiser von %s wurde geändert in %s. 
%s이 모든 봉화를 파괴하였습니다.	%s hat alle Lagerfeuer zerstört. 
%s이 봉화를 파괴했습니다.	%s hat das Lagerfeuer zerstört. 
%s이 수성에 성공했습니다.	%s ist die Verteidigung gelungen. 
%s이 수성에 실패하여 전쟁에 패배하였습니다..	%s hat den Krieg verloren, da sie das Schloss nicht verteidigen konnten. 
%s이 필요합니다.	Für diese Aktion benötigst du: %s 
(%s) 길드가 생성되었습니다. [임시]	(%s) wurde erstellt. [Temporär] 
<길드> 용신력 회복에 실패하였습니다.	<Gilde> Drachengeist wurde nicht wiederhergestellt. 
<길드> 용신력이 부족합니다. (%d, %d)	<Gilde> Nicht genügend Drachengeist. (%d, %d) 
<길드> 이미 같은 이름의 길드가 있습니다.	<Gilde> Dieser Gildenname ist bereits vergeben. 
<길드> 이미 다른 전쟁에 참전 중 입니다.	<Gilde> Deine Gilde nimmt bereits an einem anderen Krieg teil. 
<길드> 이미 전쟁 중인 길드입니다.	<Gilde> Die Gilde ist bereits in einem Krieg. 
<길드> 이미 전쟁이 예약된 길드 입니다.	<Gilde> Die Gilde ist bereits für einen anderen Krieg vorgemerkt. 
<길드> 잘못된 금액입니다.	<Gilde> Der Yangbetrag ist nicht korrekt. 
<길드> 잠시후에 이용해주십시오	<Gilde> Bitte versuche es später noch mal. 
<길드> 잠시후에 이용해주십시오.	<Gilde> Bitte versuche es später erneut. 
<길드> 장군을 지정할 권한이 없습니다.	<Gilde> Du bist nicht berechtigt, den Gildenleiter zu wählen. 
<길드> 적합하지 않은 직위 이름 입니다.	<Gilde> Der Rangname ist ungültig. 
<길드> 전비가 부족하여 길드전을 할 수 없습니다.	<Gilde> Nicht genug Yang, um an einem Gildenkrieg teilzunehmen. 
<길드> 제공하고자 하는 경험치가 남은 경험치보다 많습니다.	<Gilde> Angebotene Erfahrung ist größer als verbleibende Erfahrung. 
<길드> 직위 권한을 변경할 권한이 없습니다.	<Gilde> Du bist nicht berechtigt, deine Machtposition zu ändern. 
<길드> 직위 이름을 변경할 권한이 없습니다.	<Gilde> Du bist nicht berechtigt, deinen Rangnamen zu ändern. 
<길드> 직위를 변경할 권한이 없습니다.	<Gilde> Du bist nicht berechtigt, die Position zu ändern. 
<길드> 최대 길드원 수를 초과했습니다.	<Gilde> Die maximale Gildenkapazität ist erreicht. 
<길드> 쿨타임이 끝나지 않아 길드 스킬을 사용할 수 없습니다.	<Gilde> Du kannst jetzt noch nicht die Gildenfertigkeit nutzen. 
<길드> 탈퇴한 후 %d일 이내에는 길드를 만들 수 없습니다.	<Gilde> Nach Verlassen einer Gilde kannst du %d Tage lang keine neue erstellen. 
<길드> 탈퇴한 후 %d일이 지나지 않은 사람은 길드에 초대할 수 없습니다.	<Gilde> Du kannst diesen Spieler erst nach %d Tage wieder einladen. 
<길드> 해산한 후 %d일 이내에는 길드를 만들 수 없습니다.	<Gilde> Nach Auflösung einer Gilde kannst du %d Tage lang keine neue erstellen. 
<길드> 현재 길드가 전쟁 중 입니다.	<Gilde> Diese Gilde befindet sich gerade in einer Schlacht. 
<메신져> %s 님을 메신저에서 삭제하였습니다.	<Freunde> Du hast %s von der Liste gelöscht. 
<메신져> %s 님을 친구로 추가하였습니다.	<Freunde> Du hast %s als Freund hinzugefügt. 
<메신져> 운영자는 메신져에 추가할 수 없습니다.	<Freunde> Du kannst keinen GM zu deiner Liste hinzufügen. 
<창고> 거리가 멀어서 창고를 열 수 없습니다.	<Lager> Du bist zu weit entfernt, um das Lager zu öffnen. 
<창고> 기존 비밀번호가 틀렸습니다.	<Lager> Du hast das falsche Passwort eingegeben. 
<창고> 옮길 수 없는 위치입니다.	<Lager> Keine Bewegung möglich. 
<창고> 이 아이템은 넣을 수 없습니다.	<Lager> Der Gegenstand kann nicht gelagert werden. 
<창고> 잘못된 암호를 입력하셨습니다.	<Lager> Du hast ein falsches Passwort eingegeben. 
<창고> 창고 비밀번호가 변경되었습니다.	<Lager> Lagerkennwort wurde geändert. 
<창고> 창고가 이미 열려있습니다.	<Lager> Das Lager ist bereits geöffnet. 
<창고> 창고로 옮길 수 없는 아이템 입니다.	<Lager> Du kannst dieses Item nicht in dein Lager bewegen. 
<창고> 창고를 닫은지 10초 안에는 열 수 없습니다.	<Lager> Du musst 10 Sekunden warten, bevor du das Lager wieder öffnen kannst. 
<퀘스트> 이전에 같은 보상을 받은 적이 있어 다시 받지 않습니다.	<Quest> Du hast deine Belohnung bereits erhalten. 
<파티> %s 님이 파티 거부 상태입니다.	<Gruppe> %s lehnt die Einladung in deine Gruppe ab. 
<파티> %s님의 파티에 참가하셨습니다.	<Gruppe> %s ist deiner Gruppe beigetreten. 
<파티> %s님이 파티 초대를 거절하셨습니다.	<Gruppe> Deine Einladung wurde von %s abgelehnt. 
<파티> %s님이 파티에 참가하셨습니다.	<Gruppe> %s ist deiner Gruppe beigetreten. 
<파티> -30 ~ +30 레벨 이내의 상대방만 초대할 수 있습니다.	<Gruppe> Es können nur Spieler im Levelunterschied von -30 bis +30 eingeladen werden. 
<파티> 관전 모드에선 파티 초대를 할 수 없습니다.	<Gruppe> Du kannst im Zuschauer-Modus keine Einladung aussprechen. 
<파티> 다른 제국과 파티를 이룰 수 없습니다.	<Gruppe> Mit Spielern eines anderen Reichs kannst du keine Gruppe bilden. 
<파티> 다른 파티원을 탈퇴시킬 수 없습니다.	<Gruppe> Du kannst die Gruppenmitglieder nicht ausschließen. 
<파티> 대상을 소환할 수 없습니다.	<Gruppe> Du kannst das Ziel nicht rufen. 
<파티> 더 이상 파티원을 초대할 수 없습니다.	<Gruppe> Du kannst keine weiteren Spieler in deine Gruppe einladen. 
<파티> 던전 안에서는 파티 초대를 할 수 없습니다.	<Gruppe> Du kannst in einem Dungeon keine Einladung aussprechen. 
<파티> 던전 안에서는 파티 초대에 응할 수 없습니다.	<Gruppe> Du kannst in einem Dungeon keine Einladung annehmen. 
<파티> 던전 안에서는 파티에서 나갈 수 없습니다.	<Gruppe> Du kannst deine Gruppe nicht verlassen, während ihr in einem Dungeon seid. 
<파티> 던전 안에서는 파티에서 추방할 수 없습니다.	<Gruppe> Du kannst in einem Dungeon keinen Spieler ausschließen. 
<파티> 던젼내에서는 파티를 나갈 수 없습니다.	<Gruppe> Du kannst in einem Dungeon keine Gruppe verlassen. 
<파티> 던젼내에서는 파티원을 추방할 수 없습니다.	<Gruppe> Du kannst in einem Dungeon keinen Spieler ausschließen. 
<파티> 리더만 변경할 수 있습니다.	<Gruppe> Nur der Gruppenanführer kann das ändern. 
<파티> 상태를 변경하려는 사람이 파티원이 아닙니다.	<Gruppe> Das Ziel ist kein Mitglied deiner Gruppe. 
<파티> 서버 문제로 파티 관련 처리를 할 수 없습니다.	<Gruppe> Der Server kann die Gruppenaufgabe nicht bearbeiten. 
<파티> 소환하려는 대상을 찾을 수 없습니다.	<Gruppe> Das Ziel wurde nicht gefunden. 
<파티> 이미 %s님은 파티에 속해 있습니다.	<Gruppe> %s ist bereits in der Gruppe. 
<파티> 파티 기술은 파티장만 사용할 수 있습니다.	<Gruppe> Gruppenfertigkeiten stehen nur dem Gruppenanführer zur Verfügung. 
<파티> 파티 초대에 응할 수 없습니다.	<Gruppe> Du bist nicht in der Lage, die Einladung anzunehmen. 
<파티> 파티가 해산 되었습니다.	<Gruppe> Die Gruppe hat sich aufgelöst. 
<파티> 파티내 최고 레벨 보다 30레벨이 낮아 초대할 수 없습니다.	<Gruppe> Du kannst den Spieler nicht einladen, da sein Level zu niedrig ist. 
<파티> 파티내 최저 레벨 보다 30레벨이 높아 초대할 수 없습니다.	<Gruppe> Du kannst den Spieler nicht einladen, da sein Level zu hoch ist. 
<파티> 파티에서 나가셨습니다.	<Gruppe> Du bist aus der Gruppe ausgetreten. 
<파티> 파티에서 추방당하셨습니다.	<Gruppe> Du wurdest aus der Gruppe ausgeschlossen. 
<파티> 파티요청을 한 캐릭터를 찾을수 없습니다.	<Gruppe> Der Spieler, der die Einladung ausgesprochen hat, ist nicht online. 
<파티> 파티원을 초대할 수 있는 권한이 없습니다.	<Gruppe> Du hast nicht das Recht, eine Einladung auszusprechen. 
<파티> 파티원을 현재 위치로 소환할 수 없습니다.	<Gruppe> Du kannst die Gruppenmitglieder nicht zu deiner aktuellen Position rufen. 
<파티> 파티의 인원제한이 초과하여 파티에 참가할 수 없습니다.	<Gruppe> Du kannst der Gruppe nicht beitreten, da sie bereits voll ist. 
O 입니다	Ja (O) 
OX 문제 스크립트 로딩 성공	OX Quiz-Script wurde geladen. 
OX 문제 스크립트 로딩 실패	OX Quiz-Script konnte nicht geladen werden. 
OX 상품을 지급하였습니다. ID: %d 수량: %d	OX Der Preis ist vergeben: %d, %d Stück. 
OX 이벤트가 시작되었습니다.	OX Event ist gestartet. 
OX 이벤트가 이미 진행중입니다(flag: %d)	Das Event läuft schon. (Flag: %d) 
OX 이벤트를 마치겟습니다.	OX Event wird beendet. 
OX이벤트 맵을 먼저 닫아 주세요.(Flag: %d)	Schließe zuerst die OX Eventkarte. (Flag: %d) 
OX이벤트가 닫히지 않았거나, 퀴즈 출제중입니다.(flag: %d)	OX Das Event ist nicht beendet. Es sind Fehler aufgetreten. (Flag: %d) 
OX이벤트가 열려 있지 않거나 문제 출제중입니다.(Flag: %d)	OX Event ist beendet. Es gab keinen Fehler. (Flag: %d) 
OX이벤트를 강제 종료 시킵니다.	OX Event wird beendet. 
OX이벤트의 나머지 인원 기록을 실패했습니다.	OX Die restlichen Eventteilnehmer wurden nicht notiert. 
OX이벤트의 나머지 인원을 기록하였습니다.	OX Die restlichen Eventteilnehmer werden notiert. 
TEST : 현재 국고 : %d	TEST: Im Tresor deines Reiches befinden sich: %d 
TEST : 황금두꺼비가 국고로 환원되었습니다.	TEST: Der Goldbarren wurde in den Tresor deines Reiches zurückgezahlt. 
TEST : 황금두꺼비를 국고로 환원할 수 없습니다.	TEST: Du kannst den Goldbarren nicht in den Tresor deines Reiches zurückzahlen. 
X 입니다	Nein (X) 
[%s군주] : %s	[%sMonarch] : %s 
[%s군주] : %s  보유금액 %lld	[%sMonarch] : %s Yang Besitz %lld 
[TEST_ONLY]현재 국고 : %d	[TEST_ONLY]Steuerhöhe : %d 
가만히 있을 때만 착용할 수 있습니다.	Du musst stillstehen, um den Gegenstand ausrüsten zu können. 
각제국 진행 정보	Erfolgsinformationen der Reiche. 
감지기를 작용하였으나 감지되는 영석이 없습니다.	Zur Zeit gibt es auf dieser Map keinen Metinstein. 
갑옷을 벗어야 개인 상점을 열 수 있습니다.	Du kannst den Laden nur öffnen, wenn du die Rüstung ablegst. 
값을 잘못 입력하였습니다.	Du hast einen falschen Wert eingegeben. 
강화에 성공했습니다.	Verstärken war erfolgreich. 
강화에 실패했습니다.	Verstärken fehlgeschlagen 
강화에 필요한 재료가 아닙니다.	Du besitzt nicht die notwendigen Materialien zum Verstärken des Drachensteins. 
강화창을 연 상태에서는 아이템을 옮길 수 없습니다.	Du kannst den Gegenstand nicht innerhalb des Veredelungsfensters verschieben. 
강화할 수 없는 용혼석입니다.	Dieser Drachenstein kann nicht zum Verstärken verwendet werden. 
같은 개량서를 합칠 수는 없습니다.	Du kannst keine identischen Verbesserungsschriftrollen zusammenfügen. 
같은 종류의 메틴석은 여러개 부착할 수 없습니다.	Du kannst nicht mehrere Geiststeine der gleichen Art anbringen. 
같은 종류의 유니크 아이템 두 개를 동시에 장착할 수 없습니다.	Du kannst diesen Gegenstand nicht zweimal ausrüsten. 
같이 지을 수 없는 종류의 건물이 지어져 있습니다.	Dieser Gebäudetyp kann nur einmal errichtet werden. 
개량된 후 아이템의 레벨 제한보다 레벨이 낮습니다.	Dein Level ist zu niedrig, um diesen Gegenstand zu benutzen. 
개량을 하기 위한 돈이 부족합니다.	Du besitzt nicht genügend Yang. 
개량을 하기 위한 재료가 부족합니다.	Du hast nicht das richtige Material, um das herzustellen. 
개인상점 사용후 %d초 이내에는 귀환부,귀환기억부를 사용할 수 없습니다.	Nach Öffnen des Lagers kannst du für %d Sek. keine Rückkehr-Schriftrolle benutzen. 
거래 후 %d초 이내에 창고를 열수 없습니다.	Nach einem Handel musst du %d Sekunden warten, bevor du einen Laden eröffnen darfst. 
거래 후 %d초 이내에는 귀환부,귀환기억부등을 사용할 수 없습니다.	Nach einem Handel kannst du für %d Sek. keine Rückkehr-Schriftrolle benutzen. 
거래 후 %d초 이내에는 다른지역으로 이동 할 수 없습니다.	Du musst nach einem Handel %d Sekunden warten, bevor du die Karte wechseln darfst. 
거래창,창고 등을 연 상태에서는 귀환부,귀환기억부 를 사용할수 없습니다.	Du kannst keine Rückkehr-Schriftrolle benutzen, solange ein anderes Fenster geöffnet ist. 
거래창,창고 등을 연 상태에서는 다른곳으로 이동,종료 할수 없습니다	Nach dem Handel kannst du eine Zeit lang nicht woanders hingehen. 
거래창,창고 등을 연 상태에서는 보따리,비단보따리를 사용할수 없습니다.	Du kannst das Lager nicht öffnen, solange ein anderes Fenster geöffnet ist. 
거짓	FALSE 
건물 비용 정보 이상으로 건설 작업에 실패했습니다.	Bau wegen eines falschen Baupreises fehlgeschlagen. 
건물을 지을 수 없는 위치입니다.	Du kannst an diesem Ort kein Gebäude errichten. 
건설 비용이 부족합니다.	Du hast nicht genug Yang, um das Gebäude zu errichten. 
건설에 필요한 건물이 지어져 있지 않습니다.	Das Hauptgebäude muss zuerst errichtet werden. 
게임을 종료 합니다. 잠시만 기다리세요.	Du wirst vom Server getrennt. Bitte warten. 
결재기간이 %d분 후 만료 됩니다.	Deine Spielzeit läuft in %d Minuten ab. 
결혼 상태가 아니면 결혼반지를 사용할 수 없습니다.	Du kannst keinen Ehering tragen, wenn du nicht verheiratet bist. 
결혼식이 종료됩니다.	Die Hochzeit endet bald. 
결혼하지 않은 상태에서 예물을 착용할 수 없습니다.	Du kannst diesen Gegenstand nicht verwenden, da du nicht verheiratet bist. 
경험치 %d%%	Erfahrung %d%% 
경험치 %d%% 추가 획득 이벤트 중입니다.	Der Erfahrungsbonus beträgt im Moment zusätzlich %d%%. 
경험치 배율	Prozentsatz für Erfahrungspunkte 
경험치가 부족하여 책을 읽을 수 없습니다.	Du kannst es aufgrund mangelnder Erfahrung nicht lesen. 
고기가 미끼만 빼먹고 잽싸게 도망칩니다.	Du hast deinen Köder an den Fisch verloren. 
고기가 잡혔습니다! (%s)	Du hast einen Fisch gefangen! (%s) 
고기가 흔적도 없이 사라집니다.	Der Fisch ist in den Tiefen des Wassers verschwunden. 
곡괭이 수련도가 최대(%d)가 되었습니다.	Deine Abbau-Punkte haben ihr Maximum erreicht. (%d) 
곡괭이가 최대 수련도에 도달하였습니다.	Deine Abbau-Punkte haben die maximale Stufe erreicht. 
곡괭이를 들고 있지 않아서 캘 수 없습니다.	Ohne Spitzhacke kannst du nichts abbauen. 
곡괭이를 장착하세요.	Du benötigst eine Spitzhacke für den Erzabbau! 
곡괭이의 수련도가 증가하였습니다! (%d/%d)	Deine Abbau-Punkte sind gestiegen! (%d/%d) 
골드 드롭률 %d%% 추가 이벤트 중입니다.	Die Quote des Yang-Drop ist im Moment zusätzlich %d%% 
공격력 +%d	Angriffskraft + %d 
공격력 +%d%%	Angriff + %d%% 
공격속도 +%d	Angriffsgeschwindigkeit +%d 
공부하기 싫어지네.	Ich will nicht weiterlernen. 
관전 모드로 길드전에 참가하셨습니다.	Du kannst am Gildenkampf im Beobachter-Modus teilnehmen. 
관전 상태에서는 교환을 할 수 없습니다.	Während du beobachtest, kannst du nicht handeln. 
관통 추가 데미지 %d	Zusätzlicher Stichwaffenschaden %d 
국고에 돈이 부족하거나 돈을 가져올수 없는 상황입니다	Du hast nicht genügend Yang. 
국고에 돈이 부족합니다. 현재 : %u 필요금액 : %u	Mangel an Steuern. Derzeitiges Kapital : %u fehlendes Kapital : %u 
국고에 자금이 모자랍니다 국고 : %d	Nicht genügend Steuereinnahmen : %d 
군주 정보	Informationen über den Kaiser 
군주가 내린 축복으로 모든 에너지가 가득 채워집니다	Wegen des Segens des Kaisers wird die Energie zurückgeworfen. 
군주만이 사용 가능한 기능입니다	Diese Funktion kann nur der Kaiser verwenden. 
군주만이 사용가능 한 기능입니다	Nur der Kaiser kann das benutzen. 
군주만이 사용할수 있는 기능입니다	Nur ein Kaiser kann das benutzen. 
군주의 금강권 영향으로 이지역 %s 유저는 3분간 10 %% 의 방어력이  증가됩니다	Durch den Herrscher Geum-Gang-Gwon, wird zu dem Spieler %s in diesem Gebiet für 3 Minuten 10 %% seiner Rüstung gestiegen 
군주의 사자후 영향으로 이지역 %s 유저는 3분간 10 %% 의 공격력이  증가됩니다	Herrscher Sa-Za-Hu gewährt dem Spieler %s für 3 Minuten eine um 10% erhöhte Angriffskraft in diesem Gebiet. 
군주의 자격을 가지고 있지 않습니다	Du hast nicht die Qualifikation eines Kaisers. 
군주의 축복으로 이지역 %s 유저는 HP,SP가 모두 채워집니다.	Beim Verwenden des Segen des Monarchen %s werden die TP und die MP wiederhergestellt. 
군주의 축복을 사용하였습니다.	Der Segen des Kaisers ist aktiv. 
군직이 맞지않아 이 아이템을 사용할 수 없습니다.	Du kannst dieses Item nicht verwenden, da du die Voraussetzungen nicht erfüllst. 
귀환에 실패하였습니다.	Teleportation fehlgeschlagen. 
그것으로 수련은 끝난 거야!	Das Training ist abgeschlossen. 
그래, 이 느낌이야. 체내에 기가 아주 충만해.	Ja, das fühlt sich gut an. Mein Körper ist voller Chi. 
그래, 천천히. 좀더 천천히, 그러나 막힘 없이 빠르게!	Etwas langsam, aber stetig... ohne zu stoppen! 
그랜드 마스터 수련을 할 수 없는 스킬입니다.	Diese Fertigkeit kannst du nicht bis zum Großmeister trainieren. 
그런 명령어는 없습니다	Dieser Befehl existiert nicht. 
그런 사람이 없습니다.	Diese Person existiert nicht. 
그런 이름 또는 번호의 길드가 없습니다.	Eine Gilde mit diesem Namen oder dieser Nummer existiert nicht. 
근력 +%d	Stärke +%d 
근력이 낮아 착용할 수 없습니다.	Du bist nicht stark genug, um diesen Gegenstand anzulegen. 
금액이 부족합니다.	Unzulängliches Yang. 
기억된 위치가 타제국에 속해 있어서 귀환할 수 없습니다.	Du kannst dich in einem fremden Reich nicht zu einem sicheren Punkt teleportieren. 
기억해 둘 수 없는 위치 입니다.	Du kannst diesen Standort nicht speichern. 
기절하지 않음 %d%%	Keine Benommenheit %d%% 
길드에 가입하지 않았습니다.	Du bist der Gilde nicht beigetreten. 
길드원	Member 
길드장	Leader 
길드전에 참가한 상대방 길드원이 아무도 없습니다.	Es gibt keine Gegner. 
길드전이 일찍 종료되어 무승부로 판정 되었습니다. (5분이 지나지 않음)	Da der Gildenkrieg vorzeitig beendet wurde, wird das Ergebnis als Unentschieden gewertet. 
꿈속에서 어떻게요?	In meinen Träumen? Wie? 
나무꾼를 통해 다음 레벨의 곡괭이로 업그레이드 할 수 있습니다.	Du kannst deine Spitzhacke beim Holzfäller Deokbae verbessern. 
나무에서 부터 신비한 빛이 나옵니다.	Ein mystisches Licht erscheint vom Baum. 
나보다 너무 높은 레벨의 몬스터로는 변신 할 수 없습니다.	Du kannst dich nicht in ein Monster verwandeln, das ein höheres Level hat als du. 
나의 군주 정보	Meine Informationen über den Kaiser 
나의 삼거리 진행정보	Information über den Stand der Reichsschlacht 
낚시 중에 미끼를 갈아끼울 수 없습니다.	Du kannst den Köder während des Fischens nicht wechseln. 
낚시대가 아닌 물건으로 낚시를 할 수 없습니다!	Du kannst nicht ohne Angel fischen! 
낚시대가 최대 수련도에 도달하였습니다.	Du hast die maximale Anzahl Angelpunkte erreicht. 
낚시대를 장착 하세요.	Bitte wähle eine Angel aus. 
낚시대에 %s를 미끼로 끼웁니다.	Du hast %s als Köder am Haken befestigt. 
낚시대의 수련도가 증가하였습니다! (%d/%d)	Deine Angelpunkte sind gestiegen! (%d/%d) 
낚시를 할 수 있는 곳이 아닙니다	Hier kannst du nicht angeln. 
낚시이벤트월척붕어	Angelveranstaltung 'Beste Fischer' 
낚시이벤트잉어	Angelveranstaltung 'In der Ruhe liegt die Kraft' 
남은 생명력 양이 모자라 사용할 수 없습니다.	Du hast nicht genügend TP. 
남은 스탯 포인트가 없습니다.	Es sind keine Statuspunkte übrig. 
남은 스탯 포인트가 적습니다.	Verbleibende Statuspunkte sind zu niedrig. 
남은 정신력 양이 모자라 사용할 수 없습니다.	Du hast nicht genügend Mana, um das zu benutzen. 
너무 가까이 있습니다.	Du bist zu nah. 
너무 멀리 있습니다	Du bist zu weit weg. 
넘어지지 않음 %d%%	Kein Umfallen %d%% 
녀석들은 이곳 성지에 있을 자격을 잃었다. 모두 성지에서 물러나거라~~[ENTER][ENTER] 10초 후에 모두 마을로 이동하게 됩니다.	Du hast kein Recht, hier zu sein. Verschwinde! In 10 Sekunden wirst du in dein Dorf zurückgesetzt. 
느려지지 않음 %d%%	Keine Verlangsamung %d%% 
님의 말	s Pferd 
