%d 권을 더 읽어야 수련을 완료 할 수 있습니다.	Musisz przeczytać jeszcze %d Ksiąg Umiejętności aby ulepszyć tę Umiejętność. 
%d 냥을 투자하셨습니다.	Zainwestowałeś %d Yang. 
%d 냥을 획득하셨습니다.	Wygrałeś %d Yang. 
%d 레벨이 되어야 다시 염색하실 수 있습니다.	Musisz osiągnąć poziom %d, aby móc ponownie zmienić kolor fryzury. 
%d 분 %d 초 동안 채팅금지 상태입니다	Twoja blokada czatu trwa jeszcze %d minut %d sekund 
%d 시간 %d 분 %d 초 동안 채팅금지 상태입니다	Twoja blokada czatu trwa jeszcze %d godzin %d minut %d sekund 
%d 시간 %d 초 동안 채팅금지 상태입니다	Twoja blokada czatu trwa jeszcze %d godzin %d sekund 
%d 종류 %d 마리 낚음	Złapałeś %d z %d . 
%d 초 동안 채팅금지 상태입니다	Pozostało %d sekund do końca twojej blokady pisania 
%d 초 후에 군주의 축복을 사용할 수 있습니다	Po %d sekundach możesz użyć Błogosławieństwa Imperatora. 
%d 초간 쿨타임이 적용중입니다.	Regeneracja około %d sekund. 
%d 초후 목적지로 이동됩니다.	Osiągniesz miejsce docelowe w %d sekund po wykonaniu. 
%d%% 확률로 관통 공격	Szansa na Przeszywający Atak od %d%% 
%d%% 확률로 적퇴치시 경험치 추가 상승	Jeśli wygrasz, Doświadczenie wzrośnie do %d%%. 
%d%% 확률로 적퇴치시 돈 2배 드롭	Jeśli wygrasz, Yang wzrosną do %d%%. 
%d%% 확률로 적퇴치시 생명력 회복	%d%% szansa na uzupełnienie Punktów Energii po zwycięstwie. 
%d%% 확률로 적퇴치시 아이템 2배 드롭	Jeśli wygrasz, Ilość przejętych przedmiotów wzrośnie do %d%%. 
%d%% 확률로 적퇴치시 정신력 회복	Jeśli wygrasz, Mana zostanie podniesiona do %d%% 
%d%% 확률로 치명타 공격	Szansa na Krytyczny Atak %d%% 
%d%% 확률로 타격시 상대 전신력 소모	Z szansą %d%% Many zostanie zabranej od wroga. 
%d%% 확률로 피해시 정신력 회복	Absorbowanie Many z szansą %d%% . 
%d분의 결제시간이 추가 되었습니다. (결제번호 %d)	Czas gry ( %d ) dodany do Twojego konta. (Numer płatności %d) 
%d의 경험치를 획득했습니다.	Otrzymałeś %d Punktów Doświadczenia. 
%d초 남았습니다.	%d sekund do wyłączenia. 
%d초 만큼 충전되었습니다.	Naładowano %d sek. 
%d초 후 게임이 셧다운 됩니다.	Gra zostanie zamknięta po %d sekundach. 
%s : %d 마리	%s: %d 
%s SP소모: %d	%s Użycie FP: %d 
%s killcount %d mobkillcount %d bosskillcount %d 성지 진입수 %d	%s licznik zabójstw %d zabitych potworów %d zabitych bossów %d liczba świętej ziemi %d 
%s 군주 후보에서 삭제하였습니다	Kandydatura %s na Imperatora została skasowana. 
%s 군주로 입명 했습니다.	%s został nominowany na Imperatora. 
%s 군주르 제거 하였습니다..	Imperator %s został odwołany. 
%s 군주를 제거 할수 없습니다.	Imperator %s nie może zostać odwołany. 
%s 길드가 %s 길드에 선전포고를 하였습니다!	Gildia %s wypowiedziała wojnę Gildii %s! 
%s 길드가 %s 길드와의 전쟁에서 승리 했습니다.	Gildia %s wygrała wojnę przeciwko Gildii %s. 
%s 길드가 %s 길드의 깃발을 빼앗았습니다!	Gildia %s przejęła flagę Gildii %s! 
%s 길드와 %s 길드 사이의 전쟁이 무승부로 끝났습니다.	Wojna pomiędzy Gildiami %s oraz %s zakończona remisem. 
%s 길드와 %s 길드 사이의 전쟁이 취소되었습니다.	Wojna pomiędzy Gildiami %s oraz %s została anulowana. 
%s 길드와 %s 길드가 잠시 후 전쟁을 시작합니다!	Wojna pomiędzy Gildiami %s oraz %s rozpocznie się za kilka minut! 
%s 길드와 %s 길드가 전쟁을 시작하였습니다!	Wojna pomiędzy Gildiami %s oraz %s rozpoczęta! 
%s 길드의 %s이 %d%% 증가했습니다!	%s Gildii %s wzrósł do %d%%! 
%s 길드의 %s이 정상으로 돌아왔습니다.	%s Gildii %s jest ponownie normalny. 
%s 길드의 깃발을 %s 님이 획득하였습니다.	Flaga Gildii %s została ukradziona przez gracza %s. 
%s 는 군주 후보가 아닙니다.	%s nie jest kandydatem na Imperatora. 
%s 는 군주로 입명할수 없습니다 .	%s nie może być nominowany na Imperatora. 
%s 님과의 교환이 성사 되었습니다.	Handel z %s zakończony pomyślnie. 
%s 님에게 파티가입 신청을 했습니다.	Chcesz dołączyć się do Grupy %s. 
%s 님으로 부터 친구 등록을 거부 당했습니다.	%s odrzucił zaproszenie. 
%s 님은 %d 채널에 접속 중 입니다. (현재 채널: %d)	Gracz %s obecnie przebywa na kanale %d. (Twój Kanał: %d) 
%s 님은 접속되 있지 않습니다.	%s nie jest online. 
%s 님은 정상적으로 출마를 하였습니다.	%s graczy oddało już swój głos. 
%s 님을 소환하였습니다.	Zrekrutowałeś %s graczy. 
%s 님이 대련에서 승리하였습니다.	%s wygrał pojedynek. 
%s 님이 승리하였습니다.	%s wygrał. 
%s 블럭! (%d%%)	%s blokuje! (%d%%) 
%s 아이템 을 획득하셨습니다	Wygrałeś %s przedmiotów. 
%s 아이템이 필요합니다	Potrzebujesz %s. 
%s 에게로 이동합니다	Teleport do %s. 
%s 회피! (%d%%)	%s robi unik! (%d%%) 
%s: 존재하지 않는 길드 입니다.	%s: Ta Gildia nie istnieje. 
%s[%d]가 공격 위치: %d %d	%s[%d]s Pozycja ataku: %d %d 
%s님과의 대결 시작!	Pojedynek z %s rozpoczęty! 
%s님이 대결신청을 했습니다. 승낙하려면 대결동의를 하세요.	%s wyzwał Cię na pojedynek! 
%s님이 주사위를 굴려 %d가 나왔습니다. (%d-%d)	%s rzuca kostką. Wyrzucona liczba to %d (%d-%d). 
%s를 구웠습니다.	Pieczesz %s nad ogniem. 
%s에 박혀있던 보석이 사라집니다.	Zniknął klejnot z %s. 
%s에 전쟁의 시작을 알리는 봉화가 나타났습니다.	Ognisko zostało zapalone w %s by ostrzec o bitwie. 
%s에게 대결신청을 했습니다.	Wyzwałeś %s na pojedynek. 
%s에서 봉화를 둘러싸고 전투가 진행중입니다.	Są %s wojny, by zapalić ogniska. 
%s에서 소켓 빠질때까지 남은 시간 %d	Pozostały czas do usunięcia Kieszeni %s: %d 
%s의 %s이 %d%% 증가했습니다!	%s: %s wzrósł o %d%%! 
%s의 %s이 정상으로 돌아왔습니다.	%s %s jest ponownie normalny. 
%s의 군주가 %s 님으로 교체되었습니다.	Imperator z %s został zmieniony na %s. 
%s이 모든 봉화를 파괴하였습니다.	%s zniszczył ognisko. 
%s이 봉화를 파괴했습니다.	%s zniszczył ognisko. 
%s이 수성에 성공했습니다.	%s był w stanie obronić pomyślnie. 
%s이 수성에 실패하여 전쟁에 패배하였습니다..	%s przegrali wojnę, ponieważ nie byli w stanie obronić zamku. 
%s이 필요합니다.	Aby to zrobić potrzebujesz: %s 
(%s) 길드가 생성되었습니다. [임시]	(%s) Gildia utworzona. [Tymczasowo] 
<길드> 용신력 회복에 실패하였습니다.	<Gildia> Duch Smoka nie został zregenerowany. 
<길드> 용신력이 부족합니다. (%d, %d)	<Gildia> Za mało Ducha Smoka. (%d, %d) 
<길드> 이미 같은 이름의 길드가 있습니다.	<Gildia> Ta nazwa jest już zajęta. 
<길드> 이미 다른 전쟁에 참전 중 입니다.	<Gildia> Twoja gildia w tym momencie jest zaangażowana w inną wojnę. 
<길드> 이미 전쟁 중인 길드입니다.	<Gildia> Ta gildia aktualnie uczestniczy w innej wojnie. 
<길드> 이미 전쟁이 예약된 길드 입니다.	<Gildia> Ta gildia jest już zapisana do innej wojny gildii. 
<길드> 잘못된 금액입니다.	<Gildia> To nie jest poprawna ilość Yang. 
<길드> 잠시후에 이용해주십시오	<Gildia> Spróbuj ponownie później. 
<길드> 잠시후에 이용해주십시오.	<Gildia> Spróbuj ponownie później. 
<길드> 장군을 지정할 권한이 없습니다.	<Gildia> Nie możesz wybrać Lidera. 
<길드> 적합하지 않은 직위 이름 입니다.	<Gildia> Ranga jest niepoprawna. 
<길드> 전비가 부족하여 길드전을 할 수 없습니다.	<Gildia> Nie ma wystarczającej ilości Yang, aby uczestniczyć w wojnie gildii. 
<길드> 제공하고자 하는 경험치가 남은 경험치보다 많습니다.	<Gildia> Ilość przekazanego doświadczenie jest prawdopodobnie za duża. 
<길드> 직위 권한을 변경할 권한이 없습니다.	<Gildia> Nie możesz zmienić swojej pozycji. 
<길드> 직위 이름을 변경할 권한이 없습니다.	<Gildia> Nie możesz zmienić swojej rangi. 
<길드> 직위를 변경할 권한이 없습니다.	<Gildia> Nie możesz zmieniać pozycji. 
<길드> 최대 길드원 수를 초과했습니다.	<Gildia> Pojemność Gildii osiągnęła górny limit. 
<길드> 쿨타임이 끝나지 않아 길드 스킬을 사용할 수 없습니다.	<Gildia> Jeszcze nie możesz używać umiejętności gildii. 
<길드> 탈퇴한 후 %d일 이내에는 길드를 만들 수 없습니다.	<Gildia> Po opuszczeniu gildii, nie możesz stworzyć nowej przez %d dni. 
<길드> 탈퇴한 후 %d일이 지나지 않은 사람은 길드에 초대할 수 없습니다.	<Gildia> Gracz może zostać zaproszony ponownie za %d dni. 
<길드> 해산한 후 %d일 이내에는 길드를 만들 수 없습니다.	<Gildia> Po usunięciu gildii, nie możesz stworzyć nowej przez %d dni. 
<길드> 현재 길드가 전쟁 중 입니다.	<Gildia> Obecnie ta Gildia uczestniczy już w walce. 
<메신져> %s 님을 메신저에서 삭제하였습니다.	<Przyjaciele> Usunąłeś %s z listy. 
<메신져> %s 님을 친구로 추가하였습니다.	<Przyjaciele> Dodałeś %s do Listy Przyjaciół. 
<메신져> 운영자는 메신져에 추가할 수 없습니다.	<Przyjaciele> Nie możesz dodać GM do Listy Przyjaciół. 
<창고> 거리가 멀어서 창고를 열 수 없습니다.	<Magazyn> Odległość pomiędzy Tobą a magazynem jest zbyt duża, aby go otworzyć. 
<창고> 기존 비밀번호가 틀렸습니다.	<Magazyn> Wprowadzono nieprawidłowe hasło. 
<창고> 옮길 수 없는 위치입니다.	<Magazyn> Ruch niemożliwy. 
<창고> 이 아이템은 넣을 수 없습니다.	<Magazyn> Ten przedmiot nie może być przechowany. 
<창고> 잘못된 암호를 입력하셨습니다.	<Magazyn> Podałeś złe hasło. 
<창고> 창고 비밀번호가 변경되었습니다.	<Magazyn> Hasło do magazynu zostało zmienione. 
<창고> 창고가 이미 열려있습니다.	<Magazyn> Magazyn jest już otwarty. 
<창고> 창고로 옮길 수 없는 아이템 입니다.	<Magazyn> Nie możesz przenieść tego przedmiotu do swojego Magazynu. 
<창고> 창고를 닫은지 10초 안에는 열 수 없습니다.	<Magazyn> Musisz odczekać 10 sekund zanim otworzysz Magazyn ponownie. 
<퀘스트> 이전에 같은 보상을 받은 적이 있어 다시 받지 않습니다.	<Misja> Odebrałeś już swoją nagrodę. 
<파티> %s 님이 파티 거부 상태입니다.	<Grupa> %s odrzucił zaproszenie do twojej Grupy. 
<파티> %s님의 파티에 참가하셨습니다.	<Grupa> %s dołączył do twojej Grupy. 
<파티> %s님이 파티 초대를 거절하셨습니다.	<Grupa> %s odrzucił twoje zaproszenie. 
<파티> %s님이 파티에 참가하셨습니다.	<Grupa> %s dołączył do Grupy. 
<파티> -30 ~ +30 레벨 이내의 상대방만 초대할 수 있습니다.	<Grupa> Tylko gracze z różnicą poziomu -30 do +30 mogą zostać zaproszeni. 
<파티> 관전 모드에선 파티 초대를 할 수 없습니다.	<Grupa> Nie możesz zaprosić innych graczy, gdy jesteś w Trybie Obserwatora. 
<파티> 다른 제국과 파티를 이룰 수 없습니다.	<Grupa> Nie możesz utworzyć Grupy z graczami z innych Królestw. 
<파티> 다른 파티원을 탈퇴시킬 수 없습니다.	<Grupa> Nie możesz wyrzucać członków grupy. 
<파티> 대상을 소환할 수 없습니다.	<Grupa> Nie możesz przenieść celu. 
<파티> 더 이상 파티원을 초대할 수 없습니다.	<Grupa> Nie możesz zaprosić więcej graczy do swojej Grupy. 
<파티> 던전 안에서는 파티 초대를 할 수 없습니다.	<Grupa> Nie możesz zaprosić innych graczy, gdy jesteś w lochu. 
<파티> 던전 안에서는 파티 초대에 응할 수 없습니다.	<Grupa> Nie możesz przyjąć zaproszenia będąc w lochu. 
<파티> 던전 안에서는 파티에서 나갈 수 없습니다.	<Grupa> Nie możesz opuścić Grupy podczas przebywania w Lochu. 
<파티> 던전 안에서는 파티에서 추방할 수 없습니다.	<Grupa> Nie możesz wyrzucić gracza jeśli jesteś w lochu. 
<파티> 던젼내에서는 파티를 나갈 수 없습니다.	<Grupa> Nie możesz opuścić grupy w lochach. 
<파티> 던젼내에서는 파티원을 추방할 수 없습니다.	<Grupa> Nie możesz wyrzucić gracza jeśli jesteś w lochu. 
<파티> 리더만 변경할 수 있습니다.	<Grupa> Tylko lider grupy może to zmienić. 
<파티> 상태를 변경하려는 사람이 파티원이 아닙니다.	<Grupa> Wskazany cel nie jest członkiem twojej grupy. 
<파티> 서버 문제로 파티 관련 처리를 할 수 없습니다.	<Grupa> Serwer nie może wykonać żądania Grupy. 
<파티> 소환하려는 대상을 찾을 수 없습니다.	<Grupy> Cel nie został znaleziony. 
<파티> 이미 %s님은 파티에 속해 있습니다.	<Grupa> %s jest już w Grupie. 
<파티> 파티 기술은 파티장만 사용할 수 있습니다.	<Grupa> Tylko lider grupy może używać zdolności grupy. 
<파티> 파티 초대에 응할 수 없습니다.	<Grupa> Nie możesz przyjąć zaproszenia. 
<파티> 파티가 해산 되었습니다.	<Grupa> Grupa została skasowana. 
<파티> 파티내 최고 레벨 보다 30레벨이 낮아 초대할 수 없습니다.	<Grupa> Nie możesz zaprosić tego gracza, jego poziom jest za niski. 
<파티> 파티내 최저 레벨 보다 30레벨이 높아 초대할 수 없습니다.	<Grupa> Nie możesz zaprosić tego gracza, jego poziom jest za wysoki. 
<파티> 파티에서 나가셨습니다.	<Grupa> Opuściłeś grupę. 
<파티> 파티에서 추방당하셨습니다.	<Grupa> Zostałeś usunięty z Grupy. 
<파티> 파티요청을 한 캐릭터를 찾을수 없습니다.	<Grupa> Zaproszony gracz jest offline. 
<파티> 파티원을 초대할 수 있는 권한이 없습니다.	<Grupa> Nie masz prawa, aby zapraszać kogokolwiek. 
<파티> 파티원을 현재 위치로 소환할 수 없습니다.	<Grupa> Nie możesz teleportować członków grupy na swoją aktualną pozycję. 
<파티> 파티의 인원제한이 초과하여 파티에 참가할 수 없습니다.	<Grupa> Nie możesz dołączyć do tej Grupy, ponieważ ma ona już maksymalną ilość członków. 
O 입니다	Tak (O) 
OX 문제 스크립트 로딩 성공	OX Quiz został załadowany. 
OX 문제 스크립트 로딩 실패	Pytanie OX nie zostało załadowane. 
OX 상품을 지급하였습니다. ID: %d 수량: %d	Nagroda za OX została wydana. ID: %d Ilość: %d 
OX 이벤트가 시작되었습니다.	Konkurs OX rozpoczęty. 
OX 이벤트가 이미 진행중입니다(flag: %d)	Wydarzenie już trwa. (Flag: %d) 
OX 이벤트를 마치겟습니다.	Event OX zostanie zakończony. 
OX이벤트 맵을 먼저 닫아 주세요.(Flag: %d)	Najpierw zamknij Mapę OX. (Flag: %d) 
OX이벤트가 닫히지 않았거나, 퀴즈 출제중입니다.(flag: %d)	Konkurs OX nie został jeszcze zakończony, wystąpiły błędy. (Flag: %d) 
OX이벤트가 열려 있지 않거나 문제 출제중입니다.(Flag: %d)	Event OX został zakończony. Nie wystąpiły żadne błędy. (Flag: %d) 
OX이벤트를 강제 종료 시킵니다.	Konkurs OX zakończony. 
OX이벤트의 나머지 인원 기록을 실패했습니다.	OX Inni uczestnicy Wydarzenia nie są na liście. 
OX이벤트의 나머지 인원을 기록하였습니다.	OX Inni uczestnicy Wydarzenia są na liście. 
TEST : 현재 국고 : %d	TEST: W skarbcu twojego królestwa są: %d 
TEST : 황금두꺼비가 국고로 환원되었습니다.	TEST: Złota sztabka została wpłacona do skarbca twojego królestwa. 
TEST : 황금두꺼비를 국고로 환원할 수 없습니다.	TEST: Nie możesz wpłacić złotej sztabki do skarbca twojego królestwa. 
X 입니다	Nie (X) 
[%s군주] : %s	[Monarcha %s] : %s 
[%s군주] : %s  보유금액 %lld	[Monarcha %s] : %s Posiadanie Yang %lld 
[TEST_ONLY]현재 국고 : %d	[TEST_ONLY] Podatek: %d 
가만히 있을 때만 착용할 수 있습니다.	Musisz stać w miejscu, aby wyposażyć się w ten przedmiot. 
각제국 진행 정보	Informacje dla Królestw 
감지기를 작용하였으나 감지되는 영석이 없습니다.	Obecnie na tej mapie nie ma żadnego kamienia Metin. 
갑옷을 벗어야 개인 상점을 열 수 있습니다.	Możesz otworzyć Sklep tylko gdy zdejmiesz Zbroję. 
값을 잘못 입력하였습니다.	Podałeś złą wartość. 
강화에 성공했습니다.	Wzmocnienie powiodło się. 
강화에 실패했습니다.	Wzmocnienie nie powiodło się. 
강화에 필요한 재료가 아닙니다.	Nie posiadasz odpowiednich materiałów do wzmocnienia Smoczego Kamienia. 
강화창을 연 상태에서는 아이템을 옮길 수 없습니다.	Nie możesz przesuwać tego przedmiotu w obrębie okienka uszlachetniania. 
강화할 수 없는 용혼석입니다.	Tego Smoczego Kamienia nie można użyć w celu wzmocnienia. 
같은 개량서를 합칠 수는 없습니다.	Nie możesz połączyć identycznych zwojów ulepszających. 
같은 종류의 메틴석은 여러개 부착할 수 없습니다.	Nie możesz umieścić kilku Kamieni Duszy tego samego rodzaju. 
같은 종류의 유니크 아이템 두 개를 동시에 장착할 수 없습니다.	Nie możesz założyć tego przedmiotu dwukrotnie. 
같이 지을 수 없는 종류의 건물이 지어져 있습니다.	Ten typ budynku może być zbudowany tylko raz. 
개량된 후 아이템의 레벨 제한보다 레벨이 낮습니다.	Twój poziom jest niższy niż poziom przedmiotu po ulepszeniu. 
개량을 하기 위한 돈이 부족합니다.	Nie posiadasz wystarczająco Yang. 
개량을 하기 위한 재료가 부족합니다.	Masz za mało materiału na ulepszenie. 
개인상점 사용후 %d초 이내에는 귀환부,귀환기억부를 사용할 수 없습니다.	Nie możesz użyć Zwoju Powrotu przez %d sek. po otwarciu Magazynu. 
거래 후 %d초 이내에 창고를 열수 없습니다.	Po dokonaniu handlu musisz odczekać %d sekund, zanim będziesz mógł otworzyć Magazyn. 
거래 후 %d초 이내에는 귀환부,귀환기억부등을 사용할 수 없습니다.	Po dokonaniu handlu nie możesz skorzystać ze Zwoju Powrotu przez %d sek. 
거래 후 %d초 이내에는 다른지역으로 이동 할 수 없습니다.	Nie możesz udać się w inne miejsce przez %d sekund po zakończeniu handlu. 
거래창,창고 등을 연 상태에서는 귀환부,귀환기억부 를 사용할수 없습니다.	Nie możesz skorzystać ze Zwoju Powrotu gdy masz otwarte inne okno. 
거래창,창고 등을 연 상태에서는 다른곳으로 이동,종료 할수 없습니다	Nie możesz udać się w inne miejsce przez chwilę po zakończeniu handlu. 
거래창,창고 등을 연 상태에서는 보따리,비단보따리를 사용할수 없습니다.	Nie możesz otworzyć Magazynu, jeśli otwarte jest inne okno. 
거짓	FALSE 
건물 비용 정보 이상으로 건설 작업에 실패했습니다.	Budowa zakończona niepowodzeniem z powodu błędnej wyceny. 
건물을 지을 수 없는 위치입니다.	Nie możesz zbudować tego budynku w tym miejscu. 
건설 비용이 부족합니다.	Nie masz wystarczającej ilości Yang, aby zbudować ten Budynek. 
건설에 필요한 건물이 지어져 있지 않습니다.	Musisz najpierw zbudować Główny Budynek. 
게임을 종료 합니다. 잠시만 기다리세요.	Zostaniesz rozłączony z serwerem. Proszę czekać. 
결재기간이 %d분 후 만료 됩니다.	Twój czas gry dobiega końca za %d minut. 
결혼 상태가 아니면 결혼반지를 사용할 수 없습니다.	Nie możesz nosić obrączki jeśli nie jesteś w związku małżeńskim. 
결혼식이 종료됩니다.	Ślub wkrótce dobiegnie końca. 
결혼하지 않은 상태에서 예물을 착용할 수 없습니다.	Nie możesz użyć tego przedmiotu, ponieważ nie jesteś w związku małżeńskim. 
경험치 %d%%	Doświadczenie %d%% 
경험치 %d%% 추가 획득 이벤트 중입니다.	Bonus dodatkowego doświadczenia wynosi obecnie %d%%. 
경험치 배율	Procent Doświadczenia 
경험치가 부족하여 책을 읽을 수 없습니다.	Nie możesz tego przeczytać, ponieważ brakuje Ci doświadczenia. 
고기가 미끼만 빼먹고 잽싸게 도망칩니다.	Straciłeś swoją przynętę. 
고기가 잡혔습니다! (%s)	Złapałeś rybę! (%s) 
고기가 흔적도 없이 사라집니다.	Ryba zniknęła w głębinach wody. 
곡괭이 수련도가 최대(%d)가 되었습니다.	Twoje Punkty Wydobycia osiągnęły limit. (%d) 
곡괭이가 최대 수련도에 도달하였습니다.	Twoje punkty Wydobycia osiągnęły najwyższy poziom. 
곡괭이를 들고 있지 않아서 캘 수 없습니다.	Nie możesz wydobywać bez kilofu. 
곡괭이를 장착하세요.	Do wydobywania surowców potrzebny jest Kilof! 
곡괭이의 수련도가 증가하였습니다! (%d/%d)	Twoje Punkty Wydobycia wzrosły! (%d/%d) 
골드 드롭률 %d%% 추가 이벤트 중입니다.	Ilość wypadających Yang jest zwiększona o: %d%% 
공격력 +%d	Siła Ataku +%d 
공격력 +%d%%	Atak +%d%% 
공격속도 +%d	Szybkość Ataku +%d 
공부하기 싫어지네.	Nie chcę już się więcej uczyć. 
관전 모드로 길드전에 참가하셨습니다.	Możesz uczestniczyć w Bitwie Gildii jako Obserwator. 
관전 상태에서는 교환을 할 수 없습니다.	Nie możesz handlować podczas obserwacji. 
관통 추가 데미지 %d	Dodatkowe obrażenia od pchnięcia %d 
국고에 돈이 부족하거나 돈을 가져올수 없는 상황입니다	Nie masz wystarczającej ilości Yang. 
국고에 돈이 부족합니다. 현재 : %u 필요금액 : %u	Brakuje podatków. Aktualny kapitał : %u Brakujący kapitał : %u 
국고에 자금이 모자랍니다 국고 : %d	Za mały przychód z podatków : %d 
군주 정보	Informacje Imperatora 
군주가 내린 축복으로 모든 에너지가 가득 채워집니다	Energia została odbita z powodu Błogosławieństwa Imperatora. 
군주만이 사용 가능한 기능입니다	Ta czynność może być użyta tylko przez Imperatora. 
군주만이 사용가능 한 기능입니다	Tylko Imperator może tego użyć. 
군주만이 사용할수 있는 기능입니다	Tylko Imperator może tego użyć 
군주의 금강권 영향으로 이지역 %s 유저는 3분간 10 %% 의 방어력이  증가됩니다	Dzięki Imperatorowi Geum-Gang-Gwon, gracz %s otrzymuje 10%% więcej obrony przez 3 minuty. 
군주의 사자후 영향으로 이지역 %s 유저는 3분간 10 %% 의 공격력이  증가됩니다	Dzięki Imperatorowi Sa-Za-Hu, gracz %s otrzymuje 10%% więcej siły ataku przez 3 minuty. 
군주의 자격을 가지고 있지 않습니다	Nie nadajesz się na Imperatora. 
군주의 축복으로 이지역 %s 유저는 HP,SP가 모두 채워집니다.	Gdy Błogosławieństwo Imperatora jest użyte, przywraca ponownie %s punktów PŻ i PE. 
군주의 축복을 사용하였습니다.	Błogosławieństwo Imperatora jest aktywne. 
군직이 맞지않아 이 아이템을 사용할 수 없습니다.	Nie możesz użyć tego przedmiotu, ponieważ nie masz wszystkich kwalifikacji. 
귀환에 실패하였습니다.	Teleportacja niepomyślna. 
그것으로 수련은 끝난 거야!	Trening zakończony. 
그래, 이 느낌이야. 체내에 기가 아주 충만해.	Tak, to uczucie jest świetne. Moje ciało jest pełne Chi. 
그래, 천천히. 좀더 천천히, 그러나 막힘 없이 빠르게!	Powoli, ale spokojnie.... Bez zatrzymywania. 
그랜드 마스터 수련을 할 수 없는 스킬입니다.	Nie możesz szkolić się w tej umiejętności do Wielkiego Mistrza. 
그런 명령어는 없습니다	Ta komenda nie istnieje. 
그런 사람이 없습니다.	Ta osoba nie istnieje. 
그런 이름 또는 번호의 길드가 없습니다.	Gildia o takiej nazwie lub liczbie nie istnieje. 
근력 +%d	Siła +%d 
근력이 낮아 착용할 수 없습니다.	Nie jesteś wystarczająco silny, aby wyposażyć się w ten przedmiot. 
금액이 부족합니다.	Błędny Yang. 
기억된 위치가 타제국에 속해 있어서 귀환할 수 없습니다.	Nie możesz przenieść się do zapisanej pozycji w obcym Królestwie. 
기억해 둘 수 없는 위치 입니다.	Nie możesz zapisać tej pozycji. 
기절하지 않음 %d%%	Brak Ogłuszenia %d%% 
길드에 가입하지 않았습니다.	Nie dołączyłeś do tej Gildii. 
길드원	Członek 
길드장	Lider 
길드전에 참가한 상대방 길드원이 아무도 없습니다.	Nie ma żadnych przeciwników. 
길드전이 일찍 종료되어 무승부로 판정 되었습니다. (5분이 지나지 않음)	Jako że wojna Gildii zakończyła się przed czasem, zostanie uznana jako remis. 
꿈속에서 어떻게요?	W moich snach? Że co? 
나무꾼를 통해 다음 레벨의 곡괭이로 업그레이드 할 수 있습니다.	Możesz ulepszyć swój Kilof u Drwala Deokbae. 
나무에서 부터 신비한 빛이 나옵니다.	Tajemnicze światło dobiega z drzewa. 
나보다 너무 높은 레벨의 몬스터로는 변신 할 수 없습니다.	Nie możesz się przemienić w postać, która ma wyższy poziom od Ciebie. 
나의 군주 정보	Informacje Mojego Imperatora 
나의 삼거리 진행정보	Informacje o Bitwie Królestw 
낚시 중에 미끼를 갈아끼울 수 없습니다.	Nie możesz zmienić przynęty podczas wędkowania. 
낚시대가 아닌 물건으로 낚시를 할 수 없습니다!	Nie możesz łowić bez Wędki! 
낚시대가 최대 수련도에 도달하였습니다.	Osiągnąłeś maksymalną ilość Punktów Wędkarskich. 
낚시대를 장착 하세요.	Proszę wybrać Wędkę. 
낚시대에 %s를 미끼로 끼웁니다.	Umieściłeś %s jako przynętę na haczyku. 
낚시대의 수련도가 증가하였습니다! (%d/%d)	Twoje punkty wędkarskie wzrosły! (%d/%d) 
낚시를 할 수 있는 곳이 아닙니다	Nie możesz tutaj łowić. 
낚시이벤트월척붕어	Konkurs Wędkarski 'Najlepszy Rybak' 
낚시이벤트잉어	Konkurs Wędkarski 'Karp' 
남은 생명력 양이 모자라 사용할 수 없습니다.	Masz za mało PŻ. 
남은 스탯 포인트가 없습니다.	Nie zostały żadne Punkty Statusu. 
남은 스탯 포인트가 적습니다.	Pozostało zbyt mało punktów statystyk. 
남은 정신력 양이 모자라 사용할 수 없습니다.	Masz za mało Punktów Energii aby tego użyć. 
너무 가까이 있습니다.	Jesteś za blisko. 
너무 멀리 있습니다	Jesteś za daleko. 
넘어지지 않음 %d%%	Brak Upadku %d%% 
녀석들은 이곳 성지에 있을 자격을 잃었다. 모두 성지에서 물러나거라~~[ENTER][ENTER] 10초 후에 모두 마을로 이동하게 됩니다.	nie masz prawa tu przebywać. To jest święte miejsce: Odejdź stąd! Wrócisz do swojej wioski za 10 sekund. 
느려지지 않음 %d%%	Brak Spowolnienia %d%% 
님의 말	Koń 
다 읽었다! 이제 비급에 적혀있는 대로 전신에 기를 돌리기만 하면,	Przeczytałem! Teraz Chi musi popłynąć przez moje ciało. 
다른 거래중(창고,교환,상점)에는 개인상점을 사용할 수 없습니다.	Nie możesz skorzystać teraz z prywatnego Magazynu. 
다른 거래중(창고,교환,상점)에는 사용할 수 없습니다.	Nie możesz nic budować, gdy jest otwarte inne okno handlu/magazynu. 
다른 거래중일경우 개인상점을 열수가 없습니다.	Nie możesz otworzyć prywatnego Magazynu, dopóki handlujesz z innymi. 
다른 거래창이 열려있을경우 거래를 할수 없습니다.	Jeśli okno handlu jest otwarte, nie możesz handlować z innymi. 
다른 거래창이 열린상태에서는 상점거래를 할수 가 없습니다.	Nie możesz handlować w Magazynie jeśli masz otwarte inne okno handlu. 
다른 제국 유저는 소환할 수 없습니다.	Nie możesz rekrutować graczy z innego królestwa. 
다른 컴퓨터에서 로그인 하여 접속을 종료 합니다.	Ktoś zalogował się na Twoje konto. Zostaniesz rozłączony. 
