ACCE_ABSORB_COST	Cena absorpcji: {}
CATEGORY_FISHING_PICK_PICK_BOOK	Przewodniki do górnictwa
CATEGORY_FISHING_PICK_STONE	Rudy
CATEGORY_JEWELRY_ARMOR_EAR	Kolczyki
CATEGORY_JEWELRY_ARMOR_FOOTS	Buty
CATEGORY_JEWELRY_ARMOR_NECK	Naszyjniki
CATEGORY_JEWELRY_ARMOR_PENDANT	Talizman
CATEGORY_JEWELRY_ARMOR_WRIST	Bransolety
CATEGORY_JEWELRY_ITEM_BELT	Pasy
CATEGORY_MOUNT_PET	Wierzchowce | Zwierzaki
CATEGORY_MOUNT_PET_CHARGED_PET	Zwierzaki
CATEGORY_MOUNT_PET_EGG	Jaja zwierzaków
CATEGORY_MOUNT_PET_FREE_PET	Zwierzaki, które można levelować
CATEGORY_MOUNT_PET_MOUNT	Wierzchowce
CATEGORY_POTION	Eliksiry
CATEGORY_POTION_ABILITY	Przedmioty użytkowe
CATEGORY_POTION_ETC	Inne
CATEGORY_POTION_HAIRDYE	Farby do włosów
CATEGORY_SKILL	Umiejętności
CATEGORY_SKILL_BOOK_OF_OBLIVION	Księgi Zapomnienia
CATEGORY_SKILL_ETC	Inne
CATEGORY_SKILL_PAHAE	Riposta | Dopalacz
CATEGORY_SKILL_SKILL_BOOK	Księgi umiejętności
CATEGORY_TUNING	Ulepszenia
CATEGORY_TUNING_ETC	Inne
CATEGORY_TUNING_RESOURCE	Materiały
CATEGORY_TUNING_STONE	Kamienie Duszy
CATEGORY_UNIQUE	Przedmioty specjalne
CATEGORY_UNIQUE_ABILITY	Dobra konsumpcyjne
CATEGORY_UNIQUE_ETC	Inne
CATEGORY_WEAPON_WEAPON_ARROW	Strzały
CATEGORY_WEAPON_WEAPON_BELL	Dzwony
CATEGORY_WEAPON_WEAPON_BOW	Łuki
CATEGORY_WEAPON_WEAPON_CLAW	Pazury
CATEGORY_WEAPON_WEAPON_DAGGER	Sztylety
CATEGORY_WEAPON_WEAPON_FAN	Wachlarze
CATEGORY_WEAPON_WEAPON_MOUNT_SPEAR	Włócznie
CATEGORY_WEAPON_WEAPON_QUIVER	Kołczany
CATEGORY_WEAPON_WEAPON_SWORD	Broń jednoręczna
CATEGORY_WEAPON_WEAPON_TWO_HANDED	Broń oburęczna
CHANGE_ALREADY_REGISTER	[Transmutacja] Przedmiot ten został już zarejestrowany.
CHANGE_LOOK_CHANGE_ITEM	Czy chcesz transmutować ten przedmiot?
CHANGE_LOOK_CHECK_OUT_REGISTER_ITEM	[Transmutacja] Usuń najpierw przedmiot, na który chcesz użyć transmutacji.
CHANGE_LOOK_COST	Cena: {} Yang
CHANGE_LOOK_DEL_ITEM	Przyjęty przedmiot zostanie usunięty.
CHANGE_LOOK_DO_NOT_CHANGE_LOOK_ITEM	[Transmutacja] Nie możesz transmutować tego przedmiotu.
CHANGE_LOOK_DO_NOT_EQUIP_ITEM	[Transmutacja] Nie możesz transmutować tego przedmiotu, gdy jest założony.
CHANGE_LOOK_DO_NOT_REGISTER_ITEM	[Transmutacja] Przedmiotu nie można zarejestrować.
CHANGE_LOOK_DO_NOT_SEAL_ITEM	[Transmutacja] Przedmiot jest przywiązany do duszy.
CHANGE_LOOK_INSERT_CHANGE_LOOK_ITEM	[Transmutacja] Zarejestruj przedmiot, który chcesz transmutować.
CHANGE_LOOK_INSERT_ITEM	[Transmutacja] Najpierw musisz zarejestrować przedmiot.
CHANGE_LOOK_OPEN_OTHER_WINDOW	"[Transmutacja] Nie można przeprowadzić akcji, jeśli otwarte jest okno ""Transmutacja""."
CHANGE_LOOK_TITLE	Transmutacja
CHANGE_PET_PLEASE_APPEND_FIRST	Najpierw musisz wybrać zwierzaka.
CHANGE_TOOLTIP_LINE1	Połóż przedmiot do transmutacji po lewej stronie.
CHANGE_TOOLTIP_LINE2	Połóż inny przedmiot po prawej stronie.
CHANGE_TOOLTIP_LINE3	Jeśli aktywujesz transmutację (V), zmieni się wygląd przedmiotu
CHANGE_TOOLTIP_LINE4	znajdującego się po lewej stronie i zostaną odjęte Yang.
CHANGE_TOOLTIP_LINE5	Jeśli użyjesz tego przedmiotu,
CHANGE_TOOLTIP_LINE6	możesz transmutować swoje przedmioty, bez użycia Yang.
CHANGE_TOOLTIP_TITLE	Transmutacja
CHANNEL	Kanał
CHANNELING_CANNOT_LOGOUT	Nie możesz wrócić do okna logowania.
CHANNEL_EMPTY_SERVER	Brak Serwera
CHANNEL_NORMAL	Kanał {}
CHANNEL_NOTIFY_FULL	Ten Kanał jest pełny! Proszę wybrać inny.
CHANNEL_NOT_FIND_INFO	Brak informacji o tym kanale.
CHANNEL_PVP	Wolny pojedynek
CHANNEL_SELECT_CHANNEL	Wybierz Kanał
CHANNEL_SELECT_REGION	Wybierz region.
CHANNEL_SELECT_SERVER	Wybierz serwer
CHANNEL_STATUS_BUSY	Często odwiedzany
CHANNEL_STATUS_FULL	Pełny
CHANNEL_STATUS_OFFLINE	Nieznany
CHANNEL_STATUS_RECOMMENDED	Zalecane
CHANNEL_STATUS_VACANT	Niska
CHANNEL_TEST_SERVER	Test server
CHANNEL_TEST_SERVER_ADDR	Test {}:{}
CHARACTER_CREATE_MODE	Utwórz postać
CHARACTER_NAME	Nazwa
CHARACTER_SELECT_MODE	Wybierz postać
CHARGE_BEAD_QUESTION	Wymagane Animosfery: {}. Chcesz kontynuować?
CHAT_ALL	Wszystko
CHAT_BLOCK	Blok
CHAT_DICE_INFO	Rzut
CHAT_GUILD	Gildia
CHAT_INFORMATION	Info
CHAT_INSULT_STRING	To zdanie zawiera niepoprawne słowa.
CHAT_LOG	Pokaż stare wiadomości [L]
CHAT_LOG_TITLE	Protokół wiadomości
CHAT_NORMAL	Normalne
CHAT_NOTICE	Serwer
CHAT_PARTY	Grupa
CHAT_SEND_CHAT	Wyślij wiadomość
CHAT_SEND_MEMO	Wyślij szept [Shift+Enter]
CHAT_SHOUT	Wołaj
CHAT_SHOUT_LIMIT	Możesz wołać tylko co 8 sekund.
CHAT_WHISPER	Szeptanie
CHEQUE_SYSTEM_DO_NOT_DROP_MONEY	Nie możesz upuścić pieniędzy.
CHEQUE_SYSTEM_PICK_WON	Otrzymałeś {} Won.
CHEQUE_SYSTEM_SELL_PRICE	[Cena sprzedaży]
CHEQUE_SYSTEM_UNIT_WON	Won
CHEQUE_SYSTEM_UNIT_YANG	Yang
CHEQUE_SYSTEM_WON	{} Won
CHEQUE_SYSTEM_YANG	{} Yang
CLEAR_FLOOR	Poziom
CLEAR_TIME	Czas
ClosePetChangeWndButton	Zamknij
COMB_ACCE_IS_CONTINUE_PROCESS	Chcesz kontynuować?
COMB_ACCE_WARNING_MESSAGE	Oryginał zostanie zniszczony przy sukcesie lub częściowym sukcesie. Transfer może się nie udać. Stopień absorpcji zostanie zmniejszony przy porażce lub częściowym sukcesie.
COMB_ACCE_WARNING_MESSAGE1	Oryginał zostanie zniszczony przy sukcesie lub częściowym sukcesie.
COMB_ACCE_WARNING_MESSAGE2	Transfer może się nie udać.
COMB_ACCE_WARNING_MESSAGE3	Stopień absorpcji zostanie zmniejszony przy porażce lub częściowym sukcesie.
COMB_ACCE_WILL_REMOVE_MATERIAL	Oryginał zostanie zniszczony przy sukcesie lub częściowym sukcesie.
COMB_ALREADY_APPEND	Przedmiot ten został już wybrany.
COMB_CANT_APPEND_ITEM	Nie można użyć tego przedmiotu.
COMB_CANT_APPEND_SEALED_ITEM	Nie możesz używać przedmiotu przywiązanego do duszy.
COMB_CANT_BASE_ITEM	Szarfa, która posiada już bonus, nie może być odbiorcą.
COMB_CANT_MATCH_DRAINRATE	Stopień absorpcji obydwu przedmiotów musi być identyczny, aby transferować bonus.
COMB_CANT_MATCH_GRADE	Poziom obydwu przedmiotów musi być identyczny, aby transferować bonus.
COMB_CANT_MATERIAL_ITEM	Oryginał musi posiadać bonus.
COMB_COST	Cena: {}
COMB_IS_CONTINUE_PROCESS	Chcesz kontynuować?
COMB_NOTICE	Nie możesz otworzyć prywatnego sklepu podczas wymiany ksiąg.
COMB_NOTICE_NOT_OPEN	Nie możesz wymienić ksiąg, gdy masz otwarty prywatny sklep.
COMB_NOT_ALL_SLOT_APPEND_ITEM	Aby transferować bonusy, potrzebujesz oryginału, odbiorcy oraz przedmiot transferu.
COMB_NOT_FULL_BOOK	Nie, tak to nie ubijemy interesu. Już ci przecież wytłumaczyłem, że chcę 10 ksiąg, aby dokonać wymiany.
COMB_NOT_ITEM_IN_INVENTORY	Nie możesz używać założonych przedmiotów.
COMB_NOT_MEDIUM_ITEM	Nie można użyć tego przedmiotu.
COMB_WILL_REMOVE_MATERIAL	Oryginał zostanie zniszczony w przypadku sukcesu.
CREATE_ERROR_GM_NAME	Nie jesteś upoważniony do użycia ,GM‘ w swojej nazwie postaci.
CREATE_ERROR_INSULT_NAME	Ta nazwa jest niepoprawna.
CREATE_ERROR_LIMIT_LEVEL	Twoja postać musi znajdować się przynajmniej na poziomie 80.
CREATE_ERROR_TIME_LIMIT	Możesz tworzyć nową postać tylko co 30 sek.
CREATE_ERROR_WRONG_STRING	Ta nazwa postaci jest niedozwolona.
CREATE_EXIST_SAME_NAME	Inna postać już ma tą nazwę.
CREATE_FAILURE	Nie możesz stworzyć postaci
CREATE_FULL	Nie możesz tworzyć więcej postaci.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Wybierz nazwę.
CREATE_PLUS_STAT	Nadal pozostały punkty statusu.
CZ_REWARD_QUESTION_COMPLETE	Chcesz zrealizować to pole?
CZ_REWARD_TOOLTIP_10GAN	Insygnia Zodiaku
CZ_REWARD_TOOLTIP_10GAN_COUNT	Liczba w ekwipunku
CZ_REWARD_TOOLTIP_10GAN_NEED_COUNT	Wymagana liczba
CZ_REWARD_TOOLTIP_12ZI	Insygnia Strażnika
CZ_REWARD_TOOLTIP_12ZI_COUNT	Liczba w ekwipunku
CZ_REWARD_TOOLTIP_12ZI_NEED_COUNT	Wymagana liczba
CZ_REWARD_TOOLTIP_ALL_BOX	Gwiezdny Skarb
CZ_REWARD_TOOLTIP_CAN_GET_ALL_BOX	Kliknij tutaj, aby w ramach nagrody odebrać swój Gwiezdny Skarb.
CZ_REWARD_TOOLTIP_CAN_GET_GREEN_BOX	Kliknij tutaj, aby w ramach nagrody odebrać swój Skarb Aventurin.
CZ_REWARD_TOOLTIP_CAN_GET_YELLOW_BOX	Kliknij tutaj, aby w ramach nagrody odebrać swój Skarb Aureolin.
CZ_REWARD_TOOLTIP_COMPLETABLE	Zrealizuj
CZ_REWARD_TOOLTIP_GREEN_BOX	Skarb Aventurin
CZ_REWARD_TOOLTIP_GREEN_BOX_COMP_CNT	Zrealizowane Skarby Aventurin: {}
CZ_REWARD_TOOLTIP_WEEKLY	Dzień
CZ_REWARD_TOOLTIP_WEEKLY_FRI	Piątek
CZ_REWARD_TOOLTIP_WEEKLY_MON	Poniedziałek
CZ_REWARD_TOOLTIP_WEEKLY_SAT	Sobota
CZ_REWARD_TOOLTIP_WEEKLY_SAT_SUN	Sobota/Niedziela
CZ_REWARD_TOOLTIP_WEEKLY_THU	Czwartek
CZ_REWARD_TOOLTIP_WEEKLY_TUE	Wtorek
CZ_REWARD_TOOLTIP_WEEKLY_WED	Środa
CZ_REWARD_TOOLTIP_YELLOW_BOX	Skarb Aureolin
CZ_REWARD_TOOLTIP_YELLOW_BOX_COMP_CNT	Zrealizowane Skarby Aureolin: {}
DAY	Dni
DETAILS_1	Siła vs Ludziom
DETAILS_10	Siła vs Pot. Pustyni
DETAILS_11	Siła vs Insektom
DETAILS_12	Siła Ataku
DETAILS_13	Siła Obrony
DETAILS_14	Przeciętne Obrażenia
DETAILS_15	Odp. na Przecię.Obr.
DETAILS_16	Obraż. umiejętności
DETAILS_17	Odporność na obraż. umiej.
DETAILS_18	Mag./Krótkodyst. Atak
DETAILS_19	Magiczny Atak
DETAILS_2	Siła vs Ludziom
DETAILS_20	Szansa na Cios Kryt.
DETAILS_21	Przeszyw. Cios
DETAILS_22	Odp. na Przesz. Cios
DETAILS_23	Odp. na Przesz. Cios
DETAILS_24	Odp. na Błyskawice
DETAILS_25	Odp. na Lód
DETAILS_26	Odp. na Mrok
DETAILS_27	Odp. na Ogień
DETAILS_28	Odp. na Wiatr
DETAILS_29	Odp. na Ziemię
DETAILS_3	Siła vs Fatalis
DETAILS_30	Moc Błyskawic
DETAILS_31	Moc Lodu
DETAILS_32	Moc Mroku
DETAILS_33	Moc Ognia
DETAILS_34	Moc Wiatru
DETAILS_35	Moc Ziemi
DETAILS_36	Siła vs Wojownikom
DETAILS_37	Siła vs Ninja
DETAILS_38	Siła vs Sura
DETAILS_39	Siła vs Szamanom
DETAILS_4	Siła vs Nieumarłym
DETAILS_40	Siła vs Likanom
DETAILS_41	Obrona vs Wojownikom
DETAILS_42	Obrona vs Ninja
DETAILS_43	Obrona vs Sura
DETAILS_44	Obrona vs Szamanom
DETAILS_45	Obrona vs Likanom
DETAILS_46	Odporność na Miecz
DETAILS_47	Odp. na Br. Dwuręczną
DETAILS_48	Odporność na Sztylet
DETAILS_49	Odporność na Szpon
DETAILS_5	Siła vs Potworom
DETAILS_50	Odporność na Dzwon/Wachlarz
DETAILS_51	/
DETAILS_52	Odporność na Strzał
DETAILS_53	Szansa na Omdlenie
DETAILS_54	Szansa na Spowolnie.
DETAILS_55	Szansa na Zatrucie
DETAILS_56	Odp. na Truciznę
DETAILS_57	Atak Krwawienia
DETAILS_58	Odp. Atak Krw.
DETAILS_59	Kradzież Życia
DETAILS_6	Siła vs Potw. Zodiaku
DETAILS_60	Kradzież PE
DETAILS_61	Regeneracja PŻ
DETAILS_62	Regeneracja PE
DETAILS_63	Blok Ataku
DETAILS_64	Unik Strzały
DETAILS_65	Odbicie Walki. Wręcz
DETAILS_66	Reg. PŻ przy Zabiciu
DETAILS_67	Reg. PE przy Zabiciu
DETAILS_68	2x PD
DETAILS_69	2x Yang
DETAILS_7	Siła vs Rathalos
DETAILS_70	Szansa Dropu
DETAILS_71	Siła Ataku
DETAILS_72	Obrona
DETAILS_73	PD
DETAILS_74	Szansa Dropu
DETAILS_75	2x Yang
DETAILS_76	Odp. na Magię
DETAILS_77	Antymagia
DETAILS_8	Siła vs Gods
DETAILS_9	Siła vs Diabłom
DETAILS_ATTBONUS_BELL	Złamanie Dzwonu
DETAILS_ATTBONUS_BOW	Złamanie Strzały
DETAILS_ATTBONUS_CLAW	Złamanie Szponów
DETAILS_ATTBONUS_DAGGER	Złamanie Sztyletu
DETAILS_ATTBONUS_FAN	Złamanie Wachlarza
DETAILS_ATTBONUS_SWORD	Złamanie Miecza
DETAILS_ATTBONUS_TWOHAND	Złamanie Broni oburęcznej
DETAILS_CATE_1	Obrażenia/Obrona
DETAILS_CATE_2	Bonusy żywiołowe
DETAILS_CATE_3	Bonusy klasowe
DETAILS_CATE_4	Bonus broni
DETAILS_CATE_5	Inne bonusy
DETAILS_CATE_6	Bonusy specjalne
DETAILS_RESIST_MOUNT_FALL	Odporność na Upadek
DETAILS_TITLE	Szczegóły
DETAILS_TOOLTIP_1	Siła w walce z Ludźmi: zadaje więcej obrażeń Ludziom.
DETAILS_TOOLTIP_10	Siła w walce z potworami pustyni: zadaje większe obrażenia potworom pustyni.
DETAILS_TOOLTIP_11	Siła w walce z insektami: zadaje większe obrażenia insektom.
DETAILS_TOOLTIP_12	Zwiększa twoją siłę ataku.
DETAILS_TOOLTIP_13	Zwiększa twoją siłę obrony.
DETAILS_TOOLTIP_14	Zwiększa przeciętne obrażenia, które zadajesz przeciwnikom podczas ataku
DETAILS_TOOLTIP_15	Odporność na przeciętne obrażenia: zmniejsza obrażenia, które odnosisz podczas ataku.
DETAILS_TOOLTIP_16	Zwiększa obrażenia zadawane przez umiejętność.
DETAILS_TOOLTIP_17	Odporność na obrażenia umiejętności: zmniejsza obrażenia, które odnosisz wskutek umiejętności.
DETAILS_TOOLTIP_18	Zwiększa zarówno fizyczną jak i magiczną siłę ataku.
DETAILS_TOOLTIP_19	Zwiększa obrażenia, które zadajesz przeciwnikom za pomocą magicznych ataków.
DETAILS_TOOLTIP_2	Odporność na Ludzi: zmniejsza obrażenia zadawane przez Ludzi.
DETAILS_TOOLTIP_20	Zwiększa szansę na zadanie ciosu krytycznego.
DETAILS_TOOLTIP_21	Szansa na przeszywający cios: zwiększa szansę na zadanie przeszywającego ciosu.
DETAILS_TOOLTIP_22	Odporność na cios krytyczny: zmniejsza obrażenia odnoszone wskutek ciosu krytycznego.
DETAILS_TOOLTIP_23	Odporność na przeszywający cios: zmniejsza obrażenia odnoszone wskutek przeszywającego ciosu.
DETAILS_TOOLTIP_24	Zmniejsza obrażenia zadawane przez określone potwory.
DETAILS_TOOLTIP_25	Zmniejsza obrażenia zadawane przez określone potwory.
DETAILS_TOOLTIP_26	Odporność na mrok: zmniejsza obrażenia zadawane przez określone potwory.
DETAILS_TOOLTIP_27	Zmniejsza obrażenia zadawane przez określone potwory.
DETAILS_TOOLTIP_28	Zmniejsza obrażenia zadawane przez określone potwory.
DETAILS_TOOLTIP_29	Zmniejsza obrażenia zadawane przez określone potwory.
DETAILS_TOOLTIP_3	Siła w walce z Fatalis: zadaje większe obrażenia Fatalis.
DETAILS_TOOLTIP_30	Zwiększa obrażenia, które zadajesz za pomocą błyskawic.
DETAILS_TOOLTIP_31	Zwiększa obrażenia, które zadajesz za pomocą lodu.
DETAILS_TOOLTIP_32	Zwiększa obrażenia, które zadajesz za pomocą mroku.
DETAILS_TOOLTIP_33	Zwiększa obrażenia, które zadajesz za pomocą ognia.
DETAILS_TOOLTIP_34	Zwiększa obrażenia, które zadajesz za pomocą wiatru.
DETAILS_TOOLTIP_35	Zwiększa obrażenia, które zadajesz za pomocą ziemi.
DETAILS_TOOLTIP_36	Siła w walce z wojownikami: zadaje większe obrażenia wojownikom.
DETAILS_TOOLTIP_37	Siła w walce z ninja: zadaje większe obrażenia ninja.
DETAILS_TOOLTIP_38	Siła w walce z sura: zadaje większe obrażenia sura.
DETAILS_TOOLTIP_39	Siła w walce z szamanami: zadaje większe obrażenia szamanom.
DETAILS_TOOLTIP_4	Siła w walce z nieumarłymi: zadaje większe obrażenia nieumarłym.
DETAILS_TOOLTIP_40	Siła w walce z likanami: zadaje większe obrażenia likanom.
DETAILS_TOOLTIP_41	Odporność na Wojowników: zmniejsza obrażenia, które odnosisz z ręki Wojowników.
DETAILS_TOOLTIP_42	Odporność na Ninja: zmniejsza obrażenia, które odnosisz z ręki Ninja.
DETAILS_TOOLTIP_43	Odporność na Sura: zmniejsza obrażenia, które odnosisz z ręki Sura.
DETAILS_TOOLTIP_44	Odporność na Szamanów: zmniejsza obrażenia, które odnosisz z ręki Szamanów.
DETAILS_TOOLTIP_45	Odporność na Likanów: zmniejsza obrażenia, które odnosisz z ręki Likanów.
DETAILS_TOOLTIP_46	Zmniejsza obrażenia zadawane mieczem.
DETAILS_TOOLTIP_47	Zmniejsza obrażenia zadawane bronią dwuręczną.
DETAILS_TOOLTIP_48	Zmniejsza obrażenia zadawane sztyletem.
DETAILS_TOOLTIP_49	Zmniejsza obrażenia zadawane szponem.
DETAILS_TOOLTIP_5	Siła w walce z potworami: zadaje większe obrażenia potworom.
DETAILS_TOOLTIP_50	Zmniejsza obrażenia zadawane dzwonem/wachlarzem.
DETAILS_TOOLTIP_51	Zmniejsza obrażenia zadawane wachlarzem.
DETAILS_TOOLTIP_52	Zmniejsza obrażenia zadawane łukiem i strzałami.
DETAILS_TOOLTIP_53	Zwiększa szansę wywołania u przeciwnika efektu omdlenia.
DETAILS_TOOLTIP_54	Zwiększa szansę na spowolnienie przeciwnika.
DETAILS_TOOLTIP_55	Zwiększa szansę na zatrucie przeciwnika.
DETAILS_TOOLTIP_56	Zmniejsza obrażenia zadawane trucizną.
DETAILS_TOOLTIP_57	Zwiększa szansę na wykonanie ataku krwawienia.
DETAILS_TOOLTIP_58	Odporność na atak krwawienia: zmniejsza obrażenia zadawane atakiem krwawienia.
DETAILS_TOOLTIP_59	Przy trafieniu absorbuje PŻ przeciwnika.
DETAILS_TOOLTIP_6	Siła w walce z potworami Zodiaku: zadaje większe obrażenia potworom Zodiaku.
DETAILS_TOOLTIP_60	Przy trafieniu absorbuje PE przeciwnika.
DETAILS_TOOLTIP_61	Przyspiesza regenerację twoich punktów życia.
DETAILS_TOOLTIP_62	Przyspiesza regenerację twoich punktów energii.
DETAILS_TOOLTIP_63	Szansa na blok ciosów: zwiększa szansę na uniknięcie ataku z krótkiego dystansu.
