%d 권을 더 읽어야 수련을 완료 할 수 있습니다.	Per migliorare questa abilità devi leggere ancora %d Libri dell'Abilità. 
%d 냥을 투자하셨습니다.	Hai investito %d Yang. 
%d 냥을 획득하셨습니다.	Hai vinto %d Yang. 
%d 레벨이 되어야 다시 염색하실 수 있습니다.	Devi raggiungere il livello %d per poter ricolorare i tuoi capelli. 
%d 분 %d 초 동안 채팅금지 상태입니다	La tua chat resterà bloccata ancora per %d minuti %d secondi 
%d 시간 %d 분 %d 초 동안 채팅금지 상태입니다	La tua chat resterà bloccata ancora per %d ore %d minuti %d secondi 
%d 시간 %d 초 동안 채팅금지 상태입니다	La tua chat resterà bloccata ancora per %d ore %d secondi 
%d 종류 %d 마리 낚음	Ne hai catturati %d di %d. 
%d 초 동안 채팅금지 상태입니다	Il tuo blocco chat durerà ancora %d secondi 
%d 초 후에 군주의 축복을 사용할 수 있습니다	La Benedizione dell'Imperatore può essere utilizzata dopo %d sec. 
%d 초간 쿨타임이 적용중입니다.	Tempo d'attesa circa %d sec. 
%d 초후 목적지로 이동됩니다.	%d secondi dopo averlo usato arrivi nel luogo desiderato. 
%d%% 확률로 관통 공격	Attacco perforante con una probabilità di %d%%. 
%d%% 확률로 적퇴치시 경험치 추가 상승	Aumento dell'esperienza %d%% in caso di vittoria sull'avversario. 
%d%% 확률로 적퇴치시 돈 2배 드롭	Aumento degli Yang saccheggiati di %d%% in caso di vittoria sull'avversario. 
%d%% 확률로 적퇴치시 생명력 회복	%d%% di possibilità di rigenerare i tuoi HP dopo un vittoria sull'avversario. 
%d%% 확률로 적퇴치시 아이템 2배 드롭	Aumento degli oggetti saccheggiati di %d%% in caso di vittoria sull'avversario. 
%d%% 확률로 적퇴치시 정신력 회복	Aumento della mana di %d%% in caso di vittoria sull'avversario. 
%d%% 확률로 치명타 공격	Attacco critico con una probabilità di %d%%. 
%d%% 확률로 타격시 상대 전신력 소모	Con una probabilità di %d%% la mana dell'avversario sarà presa. 
%d%% 확률로 피해시 정신력 회복	Probabilità di assorbimento di %d%% Mana. 
%d분의 결제시간이 추가 되었습니다. (결제번호 %d)	%d Tempo di gioco viene aggiunto al tuo account. (Nr. di pagamento %d) 
%d의 경험치를 획득했습니다.	Hai ricevuto %d esperienza. 
%d초 남았습니다.	%d secondi al logout. 
%d초 만큼 충전되었습니다.	%d secondi sono stati caricati. 
%d초 후 게임이 셧다운 됩니다.	Tra %d secondi il gioco sarà concluso. 
%s : %d 마리	%s: %d 
%s SP소모: %d	%s Consumo SP: %d. 
%s killcount %d mobkillcount %d bosskillcount %d 성지 진입수 %d	%s killcount %d mobkillcount %d bosskillcount %d Numero della Terra Santa %d. 
%s 군주 후보에서 삭제하였습니다	%s è cancellato come candidato alla carica di imperatore. 
%s 군주로 입명 했습니다.	%s è nominato Imperatore. 
%s 군주르 제거 하였습니다..	L'Imperatore %s è stato destituito. 
%s 군주를 제거 할수 없습니다.	L'Imperatore %s non può essere destituito. 
%s 길드가 %s 길드에 선전포고를 하였습니다!	La Gilda %s ha dichiarato guerra alla Gilda %s! 
%s 길드가 %s 길드와의 전쟁에서 승리 했습니다.	%s ha vinto la guerra tra Gilde contro %s. 
%s 길드가 %s 길드의 깃발을 빼앗았습니다!	%s ha conquistato la bandiera della %s! 
%s 길드와 %s 길드 사이의 전쟁이 무승부로 끝났습니다.	La guerra tra Gilde di %s e %s è finita in parità. 
%s 길드와 %s 길드 사이의 전쟁이 취소되었습니다.	La guerra tra Gilde di %s e %s è stata interrotta. 
%s 길드와 %s 길드가 잠시 후 전쟁을 시작합니다!	La guerra tra Gilde di %s e %s comincerà tra pochi minuti! 
%s 길드와 %s 길드가 전쟁을 시작하였습니다!	La guerra tra Gilde di %s e %s è cominciata! 
%s 길드의 %s이 %d%% 증가했습니다!	%s della Gilda %s è salito di %d%%! 
%s 길드의 %s이 정상으로 돌아왔습니다.	%s della Gilda %s si è normalizzato. 
%s 길드의 깃발을 %s 님이 획득하였습니다.	La bandiera della Gilda %s è stata rubata dal giocatore %s. 
%s 는 군주 후보가 아닙니다.	%s non è un candidato alla carica di Imperatore. 
%s 는 군주로 입명할수 없습니다 .	%s Non può essere nominato Imperatore. 
%s 님과의 교환이 성사 되었습니다.	Il commercio con %s è riuscito. 
%s 님에게 파티가입 신청을 했습니다.	Desideri entrare nel gruppo di %s. 
%s 님으로 부터 친구 등록을 거부 당했습니다.	%s ha rifiutato l'invito. 
%s 님은 %d 채널에 접속 중 입니다. (현재 채널: %d)	Il giocatore %s è nel canale %d. (Il tuo canale è %d) 
%s 님은 접속되 있지 않습니다.	%s non è online. 
%s 님은 정상적으로 출마를 하였습니다.	%s Il giocatore è già nella votazione. 
%s 님을 소환하였습니다.	Hai reclutato il giocatore %s. 
%s 님이 대련에서 승리하였습니다.	%s ha vinto il duello. 
%s 님이 승리하였습니다.	%s ha vinto. 
%s 블럭! (%d%%)	%s blocca! (%d%%). 
%s 아이템 을 획득하셨습니다	Hai vinto %s oggetto. 
%s 아이템이 필요합니다	Ti serve %s. 
%s 에게로 이동합니다	Teleportare dal giocatore %s. 
%s 회피! (%d%%)	%s eludi! (%d%%) 
%s: 존재하지 않는 길드 입니다.	%s: questa Gilda non esiste. 
%s[%d]가 공격 위치: %d %d	Posizione d'attacco di %s[%d]: %d %d 
%s님과의 대결 시작!	La lotta con %s è iniziata! 
%s님이 대결신청을 했습니다. 승낙하려면 대결동의를 하세요.	%s ti ha sfidato alla lotta! 
%s님이 주사위를 굴려 %d가 나왔습니다. (%d-%d)	%s ha lanciato i dadi. Lui/lei ha ottenuto %d (%d-%d). 
%s를 구웠습니다.	Arrostisci %s sul fuoco. 
%s에 박혀있던 보석이 사라집니다.	Una pietra preziosa di %s è sparita. 
%s에 전쟁의 시작을 알리는 봉화가 나타났습니다.	Un fuoco di vedetta è stato acceso a %s per avvertire di una battaglia. 
%s에게 대결신청을 했습니다.	Hai sfidato alla lotta %s. 
%s에서 봉화를 둘러싸고 전투가 진행중입니다.	A %s c'è una guerra per accendere i fuochi di vedetta. 
%s에서 소켓 빠질때까지 남은 시간 %d	Alla rimozione della montatura di %s rimangono: %d 
%s의 %s이 %d%% 증가했습니다!	%s: %s è salito di %d%%! 
%s의 %s이 정상으로 돌아왔습니다.	%s di %s si è normalizzato. 
%s의 군주가 %s 님으로 교체되었습니다.	L'imperatore di %s è stato modificato in %s. 
%s이 모든 봉화를 파괴하였습니다.	%s ha distrutto tutti i fuochi di vedetta. 
%s이 봉화를 파괴했습니다.	%s ha distrutto il fuoco di vedetta. 
%s이 수성에 성공했습니다.	A %s è riuscita la difesa. 
%s이 수성에 실패하여 전쟁에 패배하였습니다..	%s ha perso la guerra perchè non sono riusciti a difendere il castello. 
%s이 필요합니다.	Per fare questo ti serve: %s 
<길드> 상대방이 초대 신청을 받을 수 없는 상태입니다.	<Gilda> Il personaggio che hai di fronte non può ricevere l'invito. 
<길드> 용신력 회복에 실패하였습니다.	<Gilda> Lo Spirito del Drago non è stato rigenerato. 
<길드> 용신력이 부족합니다. (%d, %d)	<Gilda> Non hai abbastanza Spirito del Drago. (%d, %d). 
<길드> 이미 같은 이름의 길드가 있습니다.	<Gilda> Questo nome esite già. 
<길드> 이미 다른 전쟁에 참전 중 입니다.	<Gilda> La tua Gilda sta già partecipando ad un altra guerra. 
<길드> 이미 전쟁 중인 길드입니다.	<Gilda> La Gilda è già in guerra. 
<길드> 이미 전쟁이 예약된 길드 입니다.	<Gilda> La Gilda è già prenotata per un altra guerra. 
<길드> 잘못된 금액입니다.	<Gilda> La cifra di Yang non è corretta. 
<길드> 잠시후에 이용해주십시오	<Gilda> Sei pregato di riprovare più tardi. 
<길드> 잠시후에 이용해주십시오.	<Gilda> Sei pregato di riprovare più tardi 
<길드> 장군을 지정할 권한이 없습니다.	<Gilda> Non sei autorizzato a scegliere un capo Gilda. 
<길드> 적합하지 않은 직위 이름 입니다.	<Gilda> Il nome del rango non è valido. 
<길드> 전비가 부족하여 길드전을 할 수 없습니다.	<Gilda> Non hai abbastanza Yang per partecipare ad una guerra tra Gilde. 
<길드> 제공하고자 하는 경험치가 남은 경험치보다 많습니다.	<Gilda> L'esperienza offerta è maggiore dell'esperienza rimasta. 
<길드> 직위 권한을 변경할 권한이 없습니다.	<Gilda> Non sei autorizzato a cambiare il tuo potere. 
<길드> 직위 이름을 변경할 권한이 없습니다.	<Gilda> Non sei autorizzato a cambiare il nome del rango. 
<길드> 직위를 변경할 권한이 없습니다.	<Gilda> Non sei autorizzato a modificare il grado. 
<길드> 최대 길드원 수를 초과했습니다.	<Gilda> La capacità massima della Gilda è superata. 
<길드> 쿨타임이 끝나지 않아 길드 스킬을 사용할 수 없습니다.	<Gilda> Non puoi ancora utilizzare l'abilità della Gilda. 
<길드> 탈퇴한 후 %d일 이내에는 길드를 만들 수 없습니다.	<Gilda> Prima di %d giorni dall'abbandono della Gilda non puoi farne un altra. 
<길드> 탈퇴한 후 %d일이 지나지 않은 사람은 길드에 초대할 수 없습니다.	<Gilda> Puoi reinvitare questo giocatore tra %d giorni. 
<길드> 해산한 후 %d일 이내에는 길드를 만들 수 없습니다.	<Gilda> Prima di %d giorni dalla cancellazione della Gilda non puoi farne un altra. 
<길드> 현재 길드가 전쟁 중 입니다.	<Gilda> Al momento questa gilda sta partecipando ad una battaglia. 
<메신져> %s 님을 메신저에서 삭제하였습니다.	<Amici> hai cancellato %s dalla lista. 
<메신져> %s 님을 친구로 추가하였습니다.	<Amici> Hai aggiunto %s come amico. 
<메신져> 운영자는 메신져에 추가할 수 없습니다.	<Messenger> Non puoi aggiungere un GM alla tua lista di amici. 
<창고> 거리가 멀어서 창고를 열 수 없습니다.	<Magazzino> La distanza tra te e il magazzino è troppo grande per poterlo aprire. 
<창고> 기존 비밀번호가 틀렸습니다.	<Magazzino> Hai inserito una password errata. 
<창고> 옮길 수 없는 위치입니다.	<Magazzino> Non è possibile nessun movimento. 
<창고> 이 아이템은 넣을 수 없습니다.	<Magazzino> L'oggetto non può essere immagazzinato. 
<창고> 잘못된 암호를 입력하셨습니다.	<Magazzino> Hai inserito la password sbagliata. 
<창고> 창고 비밀번호가 변경되었습니다.	<Magazzino> La password del magazzino è stata cambiata. 
<창고> 창고가 이미 열려있습니다.	<Magazzino> Il magazzino è già aperto. 
<창고> 창고로 옮길 수 없는 아이템 입니다.	<Magazzino> Non puoi spostare questo item nel tuo magazzino. 
<창고> 창고를 닫은지 10초 안에는 열 수 없습니다.	<Magazzino> Devi aspettare 10 secondi per riaprire il magazzino. 
<퀘스트> 이전에 같은 보상을 받은 적이 있어 다시 받지 않습니다.	<Missione> Hai già avuto una ricompensa. 
<파티> %s 님이 파티 거부 상태입니다.	<Gruppo> %s rifiuta l'invito. 
<파티> %s님의 파티에 참가하셨습니다.	<Gruppo> %s è entrato nel tuo gruppo. 
<파티> %s님이 파티 초대를 거절하셨습니다.	<Gruppo> %s  ha rifiutato il tuo invito. 
<파티> %s님이 파티에 참가하셨습니다.	<Gruppo> %s è entrato nel tuo gruppo. 
<파티> -30 ~ +30 레벨 이내의 상대방만 초대할 수 있습니다.	<Gruppo> Possono essre invitati solo giocatori con una differenza di livello da -30 a +30. 
<파티> 관전 모드에선 파티 초대를 할 수 없습니다.	<Gruppo> In modalità spettatore non puoi fare inviti. 
<파티> 다른 제국과 파티를 이룰 수 없습니다.	<Gruppo> Non puoi formare un gruppo con giocatori di altri regni. 
<파티> 다른 파티원을 탈퇴시킬 수 없습니다.	<Gruppo> Non puoi cacciare i membri del gruppo. 
<파티> 대상을 소환할 수 없습니다.	<Gruppo> Non puoi chiamare l'obbiettivo. 
<파티> 더 이상 파티원을 초대할 수 없습니다.	<Gruppo> Non puoi invitare altri giocatori nel tuo gruppo. 
<파티> 던전 안에서는 파티 초대를 할 수 없습니다.	<Gruppo> Nel sotterraneo non puoi fare inviti. 
<파티> 던전 안에서는 파티 초대에 응할 수 없습니다.	<Gruppo> Nel sotterraneo non puoi accettare inviti. 
<파티> 던전 안에서는 파티에서 나갈 수 없습니다.	<Gruppo> non puoi abbandonare il gruppo nei sotterranei. 
<파티> 던전 안에서는 파티에서 추방할 수 없습니다.	<Gruppo> Non puoi escludere i giocatori nel sotterraneo. 
<파티> 던젼내에서는 파티를 나갈 수 없습니다.	<Gruppo> Nei sotterramei non puoi abbandonare il gruppo. 
<파티> 던젼내에서는 파티원을 추방할 수 없습니다.	<Gruppo> Non puoi escludere i giocatori nel sotterraneo. 
<파티> 리더만 변경할 수 있습니다.	<Gruppo> Solo il capogruppo può modificarlo. 
<파티> 상태를 변경하려는 사람이 파티원이 아닙니다.	<Gruppo> L'obbiettivo non è membro del gruppo. 
<파티> 서버 문제로 파티 관련 처리를 할 수 없습니다.	<Gruppo> Il server non può elaborare il compito del gruppo. 
<파티> 소환하려는 대상을 찾을 수 없습니다.	<Gruppo> L'obbiettivo non è stato trovato. 
<파티> 이미 %s님은 파티에 속해 있습니다.	<Gruppo> %s è già nel gruppo. 
<파티> 파티 기술은 파티장만 사용할 수 있습니다.	<Gruppo> Le abilità del gruppo sono a disposizione solo del capogruppo. 
<파티> 파티 초대에 응할 수 없습니다.	<Gruppo> Non sei in grado di accettare l'invito. 
<파티> 파티가 해산 되었습니다.	<Gruppo> Il gruppo si è sciolto. 
<파티> 파티내 최고 레벨 보다 30레벨이 낮아 초대할 수 없습니다.	<Gruppo> Non puoi invitare il giocatore perchè il suo livello è troppo basso. 
<파티> 파티내 최저 레벨 보다 30레벨이 높아 초대할 수 없습니다.	<Gruppo> Non puoi invitare il giocatore perchè il suo livello è troppo alto. 
<파티> 파티에서 나가셨습니다.	<Gruppo> Sei uscito dal gruppo. 
<파티> 파티에서 추방당하셨습니다.	<Gruppo> Sei stato cacciato dal gruppo. 
<파티> 파티요청을 한 캐릭터를 찾을수 없습니다.	<Gruppo> Il giocatore che ha fatto l'invito non è online. 
<파티> 파티원을 초대할 수 있는 권한이 없습니다.	<Gruppo> Non hai il permesso di invitare. 
<파티> 파티원을 현재 위치로 소환할 수 없습니다.	<Gruppo> Non puoi chiamare i membri del tuo gruppo con tua attuale posizione. 
