ACCEPT	OK
DRAGONSOUL_REFINE_WINDOW_TITLE	Finestra del raffinamento
DRAGONSOUL_TAP_TITLE_1	Diamante del drago
DRAGONSOUL_TAP_TITLE_2	Rubino del drago
DRAGONSOUL_TAP_TITLE_3	Giada del drago
DRAGONSOUL_TAP_TITLE_4	Zaffiro del drago
DRAGONSOUL_TAP_TITLE_5	Granato del drago
DRAGONSOUL_TAP_TITLE_6	Onice del drago
DRAGONSOUL_TITLE	Alchimia delle Pietre del drago
EMPIRE_EXIT	Fine
EMPIRE_NEXT	Avanti
EMPIRE_PREV	Indietro
EMPIRE_SELECT	Scegli
ENTER_BATTLE_FIELD	Entra
EXCHANGE_ACCEPT	Accetta
EXCHANGE_TITLE	Commercio
EXIT_BATTLE_FIELD	Vuoi davvero uscire dalla zona di combattimento?
EXIT_BATTLE_FIELD_ON_DEAD	Vuoi lasciare la Zona di Combattimento con %d punto/i?
GAMEOPTION_TITLE	Opzioni di gioco
GAME_EXIT_OBSERVER	Termina modalità spettatore
GAME_GUILD_WAR_JOIN	Partecipa alla guerra tra gilde
GAME_HELP	Aiuto
GAME_QUEST	Rinuncia
GAME_SKILL_UP	Aumenta abilità.
GAME_STAT_UP	Aumenta status
GEMSHOP_LEFTTIME	Tempo rimanente
GEMSHOP_TITLA	NEGOZIO DI GAYA
GRADE	Classe
GRADE_SELECT	Classe
GRAPHICONOFF_DROP_ITEM_APPLY	Usa
GRAPHICONOFF_DROP_ITEM_LEVEL	Drop di item
GRAPHICONOFF_DROP_ITEM_LEVEL1	1
GRAPHICONOFF_DROP_ITEM_LEVEL1_TOOLTIP	Mostra effetto e nome
GRAPHICONOFF_DROP_ITEM_LEVEL2	2
GRAPHICONOFF_DROP_ITEM_LEVEL2_TOOLTIP	Nascondi effetto
GRAPHICONOFF_DROP_ITEM_LEVEL3	3
GRAPHICONOFF_DROP_ITEM_LEVEL3_TOOLTIP	Nascondi effetto e nome
GRAPHICONOFF_DROP_ITEM_LEVEL4	4
GRAPHICONOFF_DROP_ITEM_LEVEL4_TOOLTIP	Nascondi item, nome al passaggio del mouse
GRAPHICONOFF_DROP_ITEM_LEVEL5	5
GRAPHICONOFF_DROP_ITEM_LEVEL5_TOOLTIP	Non mostrare item e nome
GRAPHICONOFF_EFFECT_APPLY	Usa
GRAPHICONOFF_EFFECT_LEVEL	Effetti
GRAPHICONOFF_EFFECT_LEVEL1	1
GRAPHICONOFF_EFFECT_LEVEL1_TOOLTIP	Mostra tutto
GRAPHICONOFF_EFFECT_LEVEL2	2
GRAPHICONOFF_EFFECT_LEVEL2_TOOLTIP	Solo effetti propri e dei mostri
GRAPHICONOFF_EFFECT_LEVEL3	3
GRAPHICONOFF_EFFECT_LEVEL3_TOOLTIP	Solo effetti propri e degli altri giocatori
GRAPHICONOFF_EFFECT_LEVEL4	4
GRAPHICONOFF_EFFECT_LEVEL4_TOOLTIP	Solo i propri
GRAPHICONOFF_EFFECT_LEVEL5	5
GRAPHICONOFF_EFFECT_LEVEL5_TOOLTIP	Non mostrare nulla
GRAPHICONOFF_NPC_NAME_STATUS	Nomi NPC
GRAPHICONOFF_NPC_NAME_STATUS_OFF	Off
GRAPHICONOFF_NPC_NAME_STATUS_OFF_TOOLTIP	Nascondi nomi NPC
GRAPHICONOFF_NPC_NAME_STATUS_ON	On
GRAPHICONOFF_NPC_NAME_STATUS_ON_TOOLTIP	Mostra nomi NPC
GRAPHICONOFF_PET_STATUS	Pet
GRAPHICONOFF_PET_STATUS_OFF	Off
GRAPHICONOFF_PET_STATUS_OFF_TOOLTIP	Nascondi pet
GRAPHICONOFF_PET_STATUS_ON	On
GRAPHICONOFF_PET_STATUS_ON_TOOLTIP	Mostra pet
GRAPHICONOFF_PRIVATE_SHOP_APPLY	Usa
GRAPHICONOFF_PRIVATE_SHOP_LEVEL	Negozi privati
GRAPHICONOFF_PRIVATE_SHOP_LEVEL1	1
GRAPHICONOFF_PRIVATE_SHOP_LEVEL1_TOOLTIP	Mostra tutto
GRAPHICONOFF_PRIVATE_SHOP_LEVEL2	2
GRAPHICONOFF_PRIVATE_SHOP_LEVEL2_TOOLTIP	Mostra tutti (visuale ampia)
GRAPHICONOFF_PRIVATE_SHOP_LEVEL3	3
GRAPHICONOFF_PRIVATE_SHOP_LEVEL3_TOOLTIP	Mostra tutti (visuale media)
GRAPHICONOFF_PRIVATE_SHOP_LEVEL4	4
GRAPHICONOFF_PRIVATE_SHOP_LEVEL4_TOOLTIP	Mostra tutti (visuale ristretta)
GRAPHICONOFF_PRIVATE_SHOP_LEVEL5	5
GRAPHICONOFF_PRIVATE_SHOP_LEVEL5_TOOLTIP	Mostra tutti (immediate vicinanze)
GUILDWINDOW_BASE_BUFF	Bonus gilda
GUILD_BANKINFO_CLOSE	Chiudi
GUILD_BANKINFO_NAME	Membro
GUILD_BANKINFO_TITLE	Log Magazzino della Gilda
GUILD_BANKINFO_TYPE	Oggetto/Valuta
GUILD_BANKINFO_USETYPE	Offerta
GUILD_BANK_CLOSE	Chiudi
GUILD_BANK_INFO	Sez. magaz.:
GUILD_BANK_NUMBER	Numero banca
GUILD_BASEINFO_BANK	Magazzino Gilda
GUILD_BASEINFO_BANKLASTOUT	Riscos. ult. item
GUILD_BASEINFO_BUILDING	Edificio Gilda
GUILD_BASEINFO_DEAL	Vendi terreno della gilda
GUILD_BASEINFO_FACTORY	Armaiolo
GUILD_BASEINFO_GOLDMANAGE	Transazione
GUILD_BASEINFO_GUILDLAND	Terreno della gilda
GUILD_BASEINFO_LANDABANDON	Rescindi il contratto del terreno della gilda.
GUILD_BASEINFO_LANDSCAPE	Varie
GUILD_BASEINFO_LOCALE	Posizione
GUILD_BASEINFO_MONEY	Saldo
GUILD_BASEINFO_MONEYBANKINFO	Informazioni banca gilda
GUILD_BASEINFO_MONEYIN	Versamento
GUILD_BASEINFO_MONEYLASTOUT	Ultimo prelievo
GUILD_BASEINFO_MONEYOUT	Prelievo
GUILD_BASEINFO_POWER	Altare della Forza
GUILD_BASEINFO_SMEITER	Alchimista della gilda
GUILD_BASEINFO_TITLE	Informazioni terreno
GUILD_BASEINFO_VOTE	Sondaggio
GUILD_BASENAME	Nome base
GUILD_BOARD_ID	Nome
GUILD_BOARD_REFRESH	Aggiorna
GUILD_BOARD_TEXT	Messaggio
GUILD_BUILDING_CATEGORY_TITLE	Unità di costruzione
GUILD_BUILDING_CHANGE	Cambia
GUILD_BUILDING_CHANGE_DELETE	Cancella
GUILD_BUILDING_CHANGE_FIX	Modifiche gilda
GUILD_BUILDING_CHANGE_LIST	Lista oggetti gilda
GUILD_BUILDING_DIRECTION	Orientamento
GUILD_BUILDING_FIX	Modifica
GUILD_BUILDING_GRADE	Posizione
GUILD_BUILDING_INFO	Info edifici e costi
GUILD_BUILDING_LIST_TITLE	Lista edifici
GUILD_BUILDING_LOG	Tronco
GUILD_BUILDING_NAME	Nome edificio
GUILD_BUILDING_OPERATE	Uso
GUILD_BUILDING_PLY	Compensato
GUILD_BUILDING_POSITION	Posizione
GUILD_BUILDING_PREVIEW	Anteprima
GUILD_BUILDING_PRICE	Prezzo
GUILD_BUILDING_REFRESH	Aggiorna
GUILD_BUILDING_STONE	Pietra fond.
GUILD_BUILDING_TITLE	Edificio della Gilda
GUILD_CRYSTAL	Cristallo
GUILD_DEPOSIT	Numeri
GUILD_DRAGONLAIR_RANKING	Classifica
GUILD_DRAGONLAIR_RANKING_COUNT	Posto
GUILD_DRAGONLAIR_RANKING_MEMBER	Membri
GUILD_DRAGONLAIR_RANKING_NAME	Gilda
GUILD_DRAGONLAIR_RANKING_TIME	Tempo
GUILD_DROP_RESOURCE1	qui
GUILD_DROP_RESOURCE2	Far cadere risorse
GUILD_GEM	Pietre preziose
GUILD_GRADE_CHANGE_GRADE_NAME	Nuovo nome di Rango
GUILD_GRADE_NUM	Nr.
GUILD_GRADE_PERMISSION_BANK	Si possono usare la banca della gilda e il Magazzino della Gilda
GUILD_GRADE_PERMISSION_DELETE	Espelli dalla gilda
GUILD_GRADE_PERMISSION_JOIN	Si possono ammettere dei giocatori nella gilda
GUILD_GRADE_PERMISSION_NOTICE	Appendi appunti della gilda
GUILD_GRADE_PERMISSION_SKILL	Abilità della gilda
GUILD_GRADE_PERMISSION_WAR	Si possono scegliere i membri che partecipano in veste di guerrieri
GUILD_GRADE_RANK	Rango
GUILD_GRADE_WRITE	Scrivi
GUILD_INFO	Informazioni della Gilda
GUILD_INFO_CUR_EXP	Esperienza
GUILD_INFO_DECALRE_WAR	Dichiara guerra
GUILD_INFO_ENEMY_GUILD	Gilda nemica
GUILD_INFO_ENEMY_GUILD_EMPTY	Nessuno
GUILD_INFO_LEVEL	Livello Gilde
GUILD_INFO_MARK	Simbolo delle Gilde
GUILD_INFO_MASTER	Capo
GUILD_INFO_MASTER_VALUE	Capo
GUILD_INFO_MEMBER_AVG_LEVEL	Livello medio
GUILD_INFO_MEMBER_NUM	Numero di membri
GUILD_INFO_NAME	Nome
GUILD_INFO_NAME_VALUE	Questo è il nome di una Gilda
GUILD_INFO_OFFER_EXP	Invest.
GUILD_INFO_REST_EXP	Esperienza necessaria
GUILD_INFO_UPLOAD_MARK	Carica Stemma
GUILD_INFO_UPLOAD_SYMBOL	Carica bandiera
GUILD_LANDDEAL_VOTE	Vendi terreno della gilda
GUILD_LANDDEAL_VOTE_DEALGOLD	Prezzo in Yang:
GUILD_LANDDEAL_VOTE_DEALGUILDNAME	Nome gilda:
GUILD_MARK	Stemma della gilda
GUILD_MASTER_CHANGE_TITLEBAR	Rinuncia alla conduzione della gilda
GUILD_MEMBER_JOB	Classe
GUILD_MEMBER_KNIGHT	Guerriero
GUILD_MEMBER_LEVEL	Livello
GUILD_MEMBER_NAME	Nome
GUILD_MEMBER_OUT_TITLEBAR	Espelli membro
GUILD_MEMBER_RANK	Posizione
GUILD_MEMBER_SPECIFIC_GRAVITY	Invest.
GUILD_MEMBER_VOTE_CHECK	Controlla sondaggio
GUILD_METIN_STONE	Pietra spirituale
GUILD_MINENAL	Minerale
GUILD_MONEY	Yang
GUILD_NAME	Gilda
GUILD_RESOURCE_INFO	Informazioni delle risorse
GUILD_SKILLPAGE_LADDER	Punti Karma
GUILD_SKILLPAGE_RANK	Rango
GUILD_SKILL_ACTIVE	Attivo
GUILD_SKIlL_HEAL_GSP	Ricaricare
GUILD_SKILL_PASSIVE	Passivo
GUILD_SKILL_POWER	Energia
GUILD_SKILL_STATE	Abilità della Gilda
GUILD_SYMBOL	Stemma della Gilda
GUILD_WAR_ACCEPT	Accettare dichiarazione di guerra
GUILD_WAR_ALLSCORE	Tutte le battaglie
GUILD_WAR_BATTLE_TYPE	Tipo di lotta
GUILD_WAR_CTF	Bandiera
GUILD_WAR_DECLARE	Dichiarare guerra
GUILD_WAR_ENEMY	Avversario
GUILD_WAR_GAINSCORE	Punti
GUILD_WAR_GAINSCORE_FIFTY	50
GUILD_WAR_GAINSCORE_HUNDRED	100
GUILD_WAR_GAINSCORE_THIRTY	30
GUILD_WAR_GAMETIME	Durata battaglia
GUILD_WAR_GAMETIME_SIXTY	60 min.
GUILD_WAR_GAMETIME_TEN	10 min.
GUILD_WAR_GAMETIME_THIRTY	30 min.
GUILD_WAR_JOINMEMBER	Membri
GUILD_WAR_JOINMEMBER_COUNT	Membri
GUILD_WAR_JOINMEMBER_FIFTEEN	15
GUILD_WAR_JOINMEMBER_FIVE	5
GUILD_WAR_JOINMEMBER_TEN	10
GUILD_WAR_NORMAL	Campo
GUILD_WAR_REPORT	Riepilogo guerra
GUILD_WAR_REPORTLIST	Tabella (Combattimenti: C; Vittorie: V; Sconfitte: S; Parità: P)
GUILD_WAR_SCORE	Riepilogo guerra
GUILD_WAR_SKILL	Abilità della gilda
GUILD_WAR_TYPE_DEFENSE	Battaglia difensiva
GUILD_WAR_TYPE_DIE	Battaglia arena
GUILD_WAR_TYPE_FLAG	Battaglia per la bandiera
GUILD_WAR_TYPE_NORMAL	Battaglia campale
GUILD_WAR_TYPE_TIGER	Battaglia di annientamento
GUILD_WAR_TYPE_TIME	Attacco a tempo
GUILD_WAR_WARP	Arena
GUILD_WAR_WIN	Round
GUILD_WAR_WIN_FIVE	5
GUILD_WAR_WIN_ONE	1
GUILD_WAR_WIN_THREE	3
GUILD_WATER	Acqua
GUILD_WATER_STONE	Pietra acquatica
GUILD_WITHDRAW	Prendi
HELP_ATTACK	Attiva l'attacco unico cliccando con il mouse.
HELP_ATTACK_KEY	Attacco: tasto sinistro del mouse o barra spaziatrice
HELP_AUTO_ATTACK	Attiva l'attacco automatico cliccando con il mouse.
HELP_CAMERA	Videocamere
HELP_CHANGE_PK_MODE	Cambiare il tipo di attacco: modifica impostazioni del tasto sinistro del mouse
HELP_CHARACTER_BUTTON1	(Finestra del personaggio, finestra dell'inventario,
HELP_CHARACTER_BUTTON2	lista degli amici e opzioni)
HELP_CHAT	Per chattare con i rispettivi gruppi, scrivi !(audiochat), #(chat di gruppo) oppure %(chat della gilda) prima del tuo testo.
HELP_CLICK_OTHER_PLAYER	Cliccando con il tasto destro su un altro giocatore, puoi negoziare, fondare gruppi e sfidarlo a duello.
HELP_CONTROL_CAMERA_BY_MIDDLEBUTTON	Modalità videocamera: tasto centrale del mouse
HELP_CONTROL_CAMERA_BY_RIGHTBUTTON	Modalità videocamera: tasto destro o sinistro del mouse
HELP_EMOTINO	Con le combinazioni di tasti <Ctrl> + <1~9> puoi visualizzare le emozioni.
HELP_EXP	Esperienza
HELP_FURY	Item Shop Ingame
HELP_GUILD_WINDOW	Aprire la finestra della Gilda: Alt + G
HELP_HELP	Mostra aiuto: H
HELP_HELP_KEY	L'Aiuto mostra le impostazioni standard.
HELP_HP	Punti vita (HP)
HELP_KEYSETTING	Nelle opzioni di gioco puoi impostare le tue combinazioni di tasti.
HELP_MESSENGER_WINDOW	Aprire la lista degli amici: Alt + M
HELP_MINIMAP	Visualizza la Mini-mappa.
HELP_MINIMAP_QUEST	Sulla Mini-mappa e sulla Mappa grande, le missioni vengono indicate con un segnale luminoso.
HELP_MOUSE_LEFT	Funzione del tasto sinistro del mouse
HELP_MOUSE_RIGHT	Funzione del tasto destro del mouse
HELP_MOVE_KEY	Movimento personaggio: W, S, A, D o tasti freccia
HELP_OFF_QUESTSCROLL	Con <Ctrl> + Q puoi visualizzare e nascondere i Papiri della Quest.
HELP_OPEN_CHARACTER	Finestra del personaggio: C
HELP_OPEN_CHAT	Aprire la finestra di chat: invio
HELP_OPEN_INVENTORY	Aprire la finestra dell'inventario: I
HELP_OPEN_LOG	Aprire il protocollo chat (log): L
HELP_OPEN_MINIMAP	Aprire la mini-mappa: MAIUSC + M
HELP_OPEN_QUEST	Aprire la finestra delle missioni: N
HELP_OPEN_SKILL	Aprire la finestra delle abilità: V
HELP_OPEN_WHISPER	Aprire la chat privata: MAIUSC + INVIO
HELP_OPEN_ZONEMAP	Aprire la mappa grande: M
HELP_PICK_ITEM	Raccogliere oggetti: \ o Z o il tasto sinistro del mouse
HELP_QUICKSLOT	Campi di accesso rapido
HELP_SCREEN_CAPTURE	Fare uno screenshot: Stamp o Print (l'immagine sarà salvata nella cartella "Metin2\screenshot")
HELP_SERVER	Visualizza server e canale.
HELP_SHOW_ALL_NAME	Visualizza nome: Alt
HELP_SKILL	Clicca con il tasto destro del mouse per usare un'abilità.
HELP_SP	Punti Mana (MP)
HELP_SYSTEM_BUTTON	Tasti di sistema
INVENTORY_PAGE_BUTTON_TOOLTIP_1	1° Inventario
INVENTORY_PAGE_BUTTON_TOOLTIP_1_1	Generale
INVENTORY_PAGE_BUTTON_TOOLTIP_1_2	Item Up
INVENTORY_PAGE_BUTTON_TOOLTIP_1_3	Costume
INVENTORY_PAGE_BUTTON_TOOLTIP_2	2° Inventario
INVENTORY_PAGE_BUTTON_TOOLTIP_3	3° Inventario
INVENTORY_PAGE_BUTTON_TOOLTIP_4	4° Inventario
INVENTORY_TITLE	Inventario
ITEM_MALL	Item Shop
KEYCHANGE_ACTION_WINDOW	Offerte
KEYCHANGE_ATTACK	Attacca
KEYCHANGE_AUTORUN	Automovimento
KEYCHANGE_AUTO_WINDOW	Autocaccia
KEYCHANGE_BASEACTION	Impostazioni base
KEYCHANGE_CAM_DOWN1	Videocamera (in basso)
KEYCHANGE_CAM_DOWN2	Videocamera (in basso)
KEYCHANGE_CAM_LEFT1	Videocamera (a sinistra)
KEYCHANGE_CAM_LEFT2	Videocamera (a sinistra)
KEYCHANGE_CAM_RIGHT1	Videocamera (a destra)
KEYCHANGE_CAM_RIGHT2	Videocamera (a destra)
KEYCHANGE_CAM_UP1	Videocamera (in alto)
KEYCHANGE_CAM_UP2	Videocamera (in alto)
KEYCHANGE_CAM_ZOOM_IN1	Videocamera (zoom +)
KEYCHANGE_CAM_ZOOM_IN2	Videocamera (zoom +)
KEYCHANGE_CAM_ZOOM_OUT1	Videocamera (zoom -)
KEYCHANGE_CAM_ZOOM_OUT2	Videocamera (zoom -)
KEYCHANGE_CANCLE	Esci
KEYCHANGE_CHAT_WINDOW	Protocollo della chat
KEYCHANGE_CLEAR	Standard
KEYCHANGE_DDS_WINDOW	DSS
KEYCHANGE_DOWN1	Indietro
KEYCHANGE_DOWN2	Indietro
KEYCHANGE_DSS1	PD [Cielo]
KEYCHANGE_DSS2	PD [Terra]
KEYCHANGE_EMOTION1	Emozione (triste)
KEYCHANGE_EMOTION2	Emozione (Yang)
KEYCHANGE_EMOTION3	Emozione (musica)
KEYCHANGE_EMOTION4	Emozione (cuore)
KEYCHANGE_EMOTION5	Emozione (cuoricino)
KEYCHANGE_EMOTION6	Emozione (bomba)
KEYCHANGE_EMOTION7	Emozione (idea)
KEYCHANGE_EMOTION8	Emozione (tempesta)
KEYCHANGE_EMOTION9	Emozione (sorry)
KEYCHANGE_GUILD_WINDOW	Gilda
KEYCHANGE_HELP_WINDOW	Aiuto
KEYCHANGE_IMPOSSIBLE_CHANGE	Qui non si possono utilizzare [Ctrl], [Alt] e [Shift]!
KEYCHANGE_INTERFACE	Finestra
KEYCHANGE_INVENTORY_WINDOW	Inventario
KEYCHANGE_KEY_SETTING	Impostazioni tastiera
KEYCHANGE_LEFT1	A sinistra
KEYCHANGE_LEFT2	A sinistra
KEYCHANGE_MESSENGER_WINDOW	Amici
KEYCHANGE_MINIMAP_MINER	Mini-mappa (-)
KEYCHANGE_MINIMAP_PLUS	Mini-mappa (+)
KEYCHANGE_MINIMAP_WINDOW	Mappa grande
KEYCHANGE_MONSTER_CARD_WINDOW	Carta mostro
KEYCHANGE_NEXT_TARGET	Prossimo obiettivo
KEYCHANGE_PARTY_MATCH_WINDOW	Ricerca gruppi
KEYCHANGE_PET_WINDOW	Pet
KEYCHANGE_QUEST_SCROLL_ONOFF	Visualizzazione missione
KEYCHANGE_QUEST_WINDOW	Missioni
KEYCHANGE_QUICKSLOT1	Livello 1
KEYCHANGE_QUICKSLOT2	Livello 2
KEYCHANGE_QUICKSLOT3	Livello 3
KEYCHANGE_QUICKSLOT4	Livello 4
KEYCHANGE_RIDE	Cavalca
KEYCHANGE_RIDE_BYE	Manda via il cavallo
KEYCHANGE_RIDE_HORSE	Cavalca
KEYCHANGE_RIDE_PEED	Nutri il cavallo
KEYCHANGE_RIGHT1	A destra
KEYCHANGE_RIGHT2	A destra
KEYCHANGE_ROOT1	Annulla
KEYCHANGE_ROOT2	Annulla
KEYCHANGE_SAVE	Salva
KEYCHANGE_SCREENSHOT	Fotografia istantanea
KEYCHANGE_SHOW_NAME	Visualizza nomi
KEYCHANGE_SKILL_WINDOW	Abilità
KEYCHANGE_SLOT1	Slot 1
KEYCHANGE_SLOT2	Slot 2
KEYCHANGE_SLOT3	Slot 3
KEYCHANGE_SLOT4	Slot 4
KEYCHANGE_SLOT5	Slot 5
KEYCHANGE_SLOT6	Slot 6
KEYCHANGE_SLOT7	Slot 7
KEYCHANGE_SLOT8	Slot 8
KEYCHANGE_SLOT_KET	Accesso rapido
KEYCHANGE_STATUS_WINDOW	Personaggio
KEYCHANGE_UP1	Avanti
KEYCHANGE_UP2	Avanti
LANGUAGE_AE	Arabo
LANGUAGE_CZ	Ceco
LANGUAGE_DE	Tedesco
LANGUAGE_DK	Danese
LANGUAGE_EN	Inglese
LANGUAGE_ES	Spagnolo
LANGUAGE_FR	Francese
LANGUAGE_GR	Greco
LANGUAGE_HU	Ungherese
LANGUAGE_IT	Italiano
LANGUAGE_NL	Olandese
LANGUAGE_PL	Polacco
LANGUAGE_PT	Portoghese
LANGUAGE_RO	Romeno
LANGUAGE_RU	Russo
LANGUAGE_TR	Turco
LOAD_ERROR	Il file dati è rovinato. Reinstalla il Client. Clicca ora il tasto ESC.
LOGIN_CONNECT	Collegare
LOGIN_CONNECTING	Stai per essere collegato al server.
LOGIN_DEFAULT_SERVERADDR	Nome del server, Canale 1
LOGIN_EXIT	Termina
LOGIN_ID	Nome utente
LOGIN_PASSWORD	Password
LOGIN_REGION_TITLE	Luogo dove deve essere spedito il conto
LOGIN_SELECT_BUTTON	Scegli
LOGIN_SELECT_EXIT	Termina
LOGIN_SELECT_OK	Ok
LOGIN_SELECT_TITLE	Scegli server
MAILBOX_POST_ALL_DELETE_BUTTON	Elimina tutti
MAILBOX_POST_ALL_RECEIVE	Accetta tutti
MAILBOX_POST_READ_BLOCK	Blocca
MAILBOX_POST_READ_DELETE	Elimina
MAILBOX_POST_READ_FROM	Da
MAILBOX_POST_READ_MAIN_TITLE	Messaggio
MAILBOX_POST_READ_RECV	Accetta
MAILBOX_POST_READ_TITLE	Oggetto
MAILBOX_POST_SEND_TITLE	Messaggio
MAILBOX_POST_WRITE_BUTTON_TEXT	Invia
MAILBOX_POST_WRITE_CLOSE_TEXT	Chiudi
MAILBOX_POST_WRITE_CONFIRM_TEXT	Verifica destinatario
MAILBOX_POST_WRITE_SEND_TEXT	Invia
MAILBOX_POST_WRITE_TITLE	Oggetto
MAILBOX_POST_WRITE_TO	A
MAILBOX_TITLE	Posta in arrivo
MALL_PASSWORD_TITLE	Password
MALL_TITLE	Magazzino dell'Item Shop
MARKET_TITLE	Negozio
MARKLIST_REFRESH	Attualizza
MARKLIST_TITLE	Registra il logo della Gilda
MC_EXCHANGE_BUTTON	Scambia
MC_MISSION_INIT_BUTTON	Ripristina livello missione
MC_MOTION_BUTTON	Movimento
MC_POLY_BUTTON	Trasformazione
MC_PROMOTION_BUTTON	Migliora
MC_REQUEST_MISSION_BUTTON	Acquisisci missione
MC_REWARD_CARD_BUTTON	Ottieni carta mostro
MC_SHUFFLE_BUTTON	Riordina carte mostro
MC_SUMMON_BUTTON	Evoca
MC_TAB_BUTTON_CARD_MISSION	Missione carte
MC_TAB_BUTTON_PARTY	Raccolta nel dungeon
MC_TAB_BUTTON_SOLO	Raccolta sul campo
MC_WARP_BUTTON	Teletrasporto
MESSAGE	Questo è un messaggio
MESSENGER_ADD_FRIEND	Aggiungi amico
MESSENGER_BLOCK_FRIEND	Blocca
MESSENGER_DELETE_FRIEND	Cancella
MESSENGER_MOBILE	Invia SMS
MESSENGER_OPEN_GUILD	Apri la finestra della Gilda
MESSENGER_TITLE	Amici
MESSENGER_USE_GUILD_MOVE_SKILL	Utilizza l'abitlità di movimento della Gilda
MESSENGER_WHISPER	Chat privata
MINIGAME_FISH_EVENT_USE_COUNT	Quantità
MINIMIZE	Minimizza
MINI_GAME_CATCHKING_CHALLENGE	Missione
MINI_GAME_CATCHKING_HELP_TEXT	Regolamento
MINI_GAME_CATCHKING_HIGH_SCORE	Classifica
MINI_GAME_CATCHKING_MYNUMBER	La mia carta
MINI_GAME_CATCHKING_POPUP_CONFIRM	Pop up on/off
MINI_GAME_CATCHKING_RETRY	Gioca di nuovo
MINI_GAME_CATCHKING_REWARD	La tua vincita:
MINI_GAME_CATCHKING_SCORE	Punti
MINI_GAME_CATCHKING_SELECTION_NUMBER	Carta scoperta
MINI_GAME_CATCHKING_START_TEXT	Inizia
