ACCE_ABSORB_COST	Abszorpció ára: {}
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Ezt a készséget nem hasznosíthatom ezzel a fegyverrel.
CANNOT_SKILL_NOT_YET_LEARN	Nem tanultam ki ezt a készséget.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Csak csoporttagokra hat.
CANNOT_SKILL_ONLY_FOR_CORPSE	Csak halottakra hat.
CANNOT_SKILL_RED	Nem használhatod a Bíborfarkas-lelket, ha az Indigófarkas-lélek aktív.
CANNOT_SKILL_REMOVE_FISHING_ROD	Ezt a készséget nem tudom horgászbottal használni.
CANNOT_SKILL_SELF_IN_SAFE	Innen nem támadhatok.
CANNOT_SKILL_USE_SELF	Saját magamon nem használhatom.
CANNOT_SKILL_WAIT_COOLTIME	Ezt a készséget még nem tudom bevetni.
CANNOT_SKILL_BLOCKED	Ez a képesség itt nem használható.
CANNOT_USE	Nem használhatod.
CANNOT_WHISPER_DEST_REFUSE	{} letiltotta a súgást.
CANNOT_WHISPER_NOT_LOGON	{} nem online.
CANNOT_WHISPER_SELF_REFUSE	Nem tudsz senkinek súgni, ha a súgás teljesen le van tiltva.
CATEGORY_ARMOR_ARMOR_BODY	Vértek
CATEGORY_ARMOR_ARMOR_HEAD	Sisakok
CATEGORY_ARMOR_ARMOR_SHIELD	Pajzsok
CATEGORY_COSTUMES	Öltözékek
CATEGORY_COSTUMES_COSTUME_BODY	Öltözékek
CATEGORY_COSTUMES_COSTUME_HAIR	Frizurák
CATEGORY_COSTUMES_COSTUME_WEAPON	Fegyver-kinézetek
CATEGORY_COSTUMES_ETC	Egyéb
CATEGORY_COSTUMES_SASH	Vállpántok
CATEGORY_DRAGON_STONE	Sárkánykő-alkímia
CATEGORY_DRAGON_STONE_DRAGON_DIAMOND	Gyémánt
CATEGORY_DRAGON_STONE_DRAGON_GARNET	Gránit
CATEGORY_DRAGON_STONE_DRAGON_JADE	Jáde
CATEGORY_DRAGON_STONE_DRAGON_ONYX	Ónix
CATEGORY_DRAGON_STONE_DRAGON_RUBY	Rubin
CATEGORY_DRAGON_STONE_DRAGON_SAPPHIRE	Zafír
CATEGORY_DRAGON_STONE_ETC	Egyéb
CATEGORY_EQUIPMENT_ARMOR	Felszerelés
CATEGORY_EQUIPMENT_JEWELRY	Ékszer
CATEGORY_EQUIPMENT_WEAPON	Fegyverek
CATEGORY_ETC	Egyéb
CATEGORY_ETC_ETC	Egyéb
CATEGORY_ETC_EVENT	Eseménytárgyak
CATEGORY_ETC_GIFTBOX	Ládák | Dobozok
CATEGORY_ETC_MATRIMORY	Házasság
CATEGORY_ETC_PARTI	Harcművészeti könyvek
CATEGORY_ETC_POLYMORPH	Átváltoztató gömbök
CATEGORY_ETC_RECIPE	Bájital-készítés
CATEGORY_ETC_SEAL	Lélekhez kötés
CATEGORY_FISHING_PICK	Horgászat | Bányászat
CATEGORY_FISHING_PICK_EQUIPMENT_PICK	Csákányok
CATEGORY_FISHING_PICK_ETC	Egyéb
CATEGORY_FISHING_PICK_FISHING_POLE	Horgászbotok
CATEGORY_FISHING_PICK_FOOD	Hal
CATEGORY_FISHING_PICK_PICK_BOOK	Bányászati könyvek
CATEGORY_FISHING_PICK_STONE	Ércek
CATEGORY_JEWELRY_ARMOR_EAR	Fülbevalók
CATEGORY_JEWELRY_ARMOR_FOOTS	Cipők
CATEGORY_JEWELRY_ARMOR_NECK	Nyakláncok
CATEGORY_JEWELRY_ARMOR_PENDANT	Talizmán
CATEGORY_JEWELRY_ARMOR_WRIST	Karkötők
CATEGORY_JEWELRY_ITEM_BELT	Övek
CATEGORY_MOUNT_PET	Hátasok | Házikedvencek
CATEGORY_MOUNT_PET_CHARGED_PET	Házikedvencek
CATEGORY_MOUNT_PET_EGG	Házikedvenc tojások
CATEGORY_MOUNT_PET_FREE_PET	Nevelhető házikedvencek
CATEGORY_MOUNT_PET_MOUNT	Hátasok
CATEGORY_POTION	Italok
CATEGORY_POTION_ABILITY	Kellékek
CATEGORY_POTION_ETC	Egyéb
CATEGORY_POTION_HAIRDYE	Hajfestékek
CATEGORY_SKILL	Készségek
CATEGORY_SKILL_BOOK_OF_OBLIVION	Feledés könyvek
CATEGORY_SKILL_ETC	Egyéb
CATEGORY_SKILL_PAHAE	Csökkentő | Fokozó
CATEGORY_SKILL_SKILL_BOOK	Készségkönyvek
CATEGORY_TUNING	Fejlesztések
CATEGORY_TUNING_ETC	Egyéb
CATEGORY_TUNING_RESOURCE	Anyagok
CATEGORY_TUNING_STONE	Szellemkövek
CATEGORY_UNIQUE	Különleges tárgyak
CATEGORY_UNIQUE_ABILITY	Kellékek
CATEGORY_UNIQUE_ETC	Egyéb
CATEGORY_WEAPON_WEAPON_ARROW	Nyilak
CATEGORY_WEAPON_WEAPON_BELL	Harangok
CATEGORY_WEAPON_WEAPON_BOW	Íjak
CATEGORY_WEAPON_WEAPON_CLAW	Karmok
CATEGORY_WEAPON_WEAPON_DAGGER	Tőrök
CATEGORY_WEAPON_WEAPON_FAN	Legyezők
CATEGORY_WEAPON_WEAPON_MOUNT_SPEAR	Lándzsák
CATEGORY_WEAPON_WEAPON_QUIVER	Tegezek
CATEGORY_WEAPON_WEAPON_SWORD	Egykezes fegyverek
CATEGORY_WEAPON_WEAPON_TWO_HANDED	Kétkezes fegyverek
CHANGE_ALREADY_REGISTER	[Átalakítás] Ez a tárgy már be lett helyezve.
CHANGE_LOOK_CHANGE_ITEM	Szeretnéd átalakítani ezt a tárgyat?
CHANGE_LOOK_CHECK_OUT_REGISTER_ITEM	[Átalakítás] Előbb távolítsd el a tárgyat, amit át akarsz alakítani!
CHANGE_LOOK_COST	Az: {} Yang
CHANGE_LOOK_DEL_ITEM	Az abszorbeált tárgy törlődni fog.
CHANGE_LOOK_DO_NOT_CHANGE_LOOK_ITEM	[Átalakítás] Ez a tárgy nem alakítható át.
CHANGE_LOOK_DO_NOT_EQUIP_ITEM	[Átalakítás] Felszerelt tárgyat nem tudsz átalakítani.
CHANGE_LOOK_DO_NOT_REGISTER_ITEM	[Átalakítás] Nem helyezheted be ezt a tárgyat.
CHANGE_LOOK_DO_NOT_SEAL_ITEM	[Átalakítás] A tárgy lélekhez kötött.
CHANGE_LOOK_INSERT_CHANGE_LOOK_ITEM	[Átalakítás] Helyezd be a tárgyat, amit át akarsz alakítani!
CHANGE_LOOK_INSERT_ITEM	[Átalakítás] Először be kell helyezned a tárgyat.
CHANGE_LOOK_OPEN_OTHER_WINDOW	[Átalakítás] Ez a tevékenység nem lehetséges, amíg az Átalakítás ablak nyitva van.
CHANGE_LOOK_TITLE	Átalakítás
CHANGE_PET_PLEASE_APPEND_FIRST	Előbb ki kell választanod a házikedvenced.
CHANGE_TOOLTIP_LINE1	Helyezd balra a tárgyat, amit át akarsz alakítani!
CHANGE_TOOLTIP_LINE2	Helyezd a másik tárgyat jobbra!
CHANGE_TOOLTIP_LINE3	A bal oldali tárgy kinézete meg fog változni,
CHANGE_TOOLTIP_LINE4	amint jóváhagyod az átalakítást (V) és kifizeted a Yangot.
CHANGE_TOOLTIP_LINE5	A tárgy használata lehetővé teszi
CHANGE_TOOLTIP_LINE6	a tárgyad átalakítását Yang használata nélkül.
CHANGE_TOOLTIP_TITLE	Átalakítás
CHANNEL	Csatorna
CHANNELING_CANNOT_LOGOUT	Nem léphetsz vissza a bejelentkező képernyőre.
CHANNEL_EMPTY_SERVER	Nem szerver
CHANNEL_NORMAL	Csatorna {}
CHANNEL_NOTIFY_FULL	Ez a csatorna telítve van! Válassz másikat.
CHANNEL_NOT_FIND_INFO	Nem találhatók információk a csatornán.
CHANNEL_PVP	Szabad párbaj
CHANNEL_SELECT_CHANNEL	Válassz csatornát
CHANNEL_SELECT_REGION	Számlakiállítás helyének választása
CHANNEL_SELECT_SERVER	Szerver választás
CHANNEL_STATUS_BUSY	Sok játékos
CHANNEL_STATUS_FULL	Betelt
CHANNEL_STATUS_OFFLINE	Ismeretlen
CHANNEL_STATUS_RECOMMENDED	Ajánlott
CHANNEL_STATUS_VACANT	Kevés játékos
CHANNEL_TEST_SERVER	Szerver teszt
CHANNEL_TEST_SERVER_ADDR	Teszt {}:{}
CHARACTER_CREATE_MODE	Karakter létrehozás
CHARACTER_NAME	Név
CHARACTER_SELECT_MODE	Karakterválasztás
CHARGE_BEAD_QUESTION	Szükséges Anima-gömb: {}. Szeretnéd folytatni?
CHAT_ALL	Minden
CHAT_BLOCK	Letilt
CHAT_DICE_INFO	Dobás
CHAT_GUILD	Céh
CHAT_INFORMATION	Infó
CHAT_INSULT_STRING	A mondat nem megengedett szavakat tartalmaz.
CHAT_LOG	Régi hírek mutatása [L]
CHAT_LOG_TITLE	Cset-log
CHAT_NORMAL	Normális
CHAT_NOTICE	Szerver
CHAT_PARTY	Csoport
CHAT_SEND_CHAT	Cset küldés
CHAT_SEND_MEMO	Súgás küldés [Shift+Enter]
CHAT_SHOUT	Hívás
CHAT_SHOUT_LIMIT	Csak 8 másodpercenként hívhatsz
CHAT_WHISPER	Súgni
CHEQUE_SYSTEM_DO_NOT_DROP_MONEY	Nem tudsz eldobni pénzt.
CHEQUE_SYSTEM_PICK_WON	{} Wont kaptál.
CHEQUE_SYSTEM_SELL_PRICE	[Eladási ár]
CHEQUE_SYSTEM_UNIT_WON	Won
CHEQUE_SYSTEM_UNIT_YANG	Yang
CHEQUE_SYSTEM_WON	{} Won
CHEQUE_SYSTEM_YANG	{} Yang
CLEAR_FLOOR	Szint
CLEAR_TIME	Idő
ClosePetChangeWndButton	Bezár
COMB_ACCE_IS_CONTINUE_PROCESS	Biztosan folytatod?
COMB_ACCE_WARNING_MESSAGE	A kiindulási tárgy meg fog semmisülni teljes vagy részleges siker esetén. Az átvitel sikertelen is lehet. A cél tárgy abszorpciós mértéke csökkenni fog részleges siker vagy sikertelenség esetén.
COMB_ACCE_WARNING_MESSAGE1	A kiindulási tárgy meg fog semmisülni teljes vagy részleges siker esetén.
COMB_ACCE_WARNING_MESSAGE2	Az átvitel sikertelen is lehet.
COMB_ACCE_WARNING_MESSAGE3	A cél tárgy abszorpciós mértéke csökkenni fog részleges siker vagy sikertelenség esetén.
COMB_ACCE_WILL_REMOVE_MATERIAL	A kiindulási tárgy meg fog semmisülni teljes vagy részleges siker esetén.
COMB_ALREADY_APPEND	Ez a tárgy már ki lett választva.
COMB_CANT_APPEND_ITEM	Ez a tárgy nem használható.
COMB_CANT_APPEND_SEALED_ITEM	Nem használhatsz lélekhez kötött tárgyakat.
COMB_CANT_BASE_ITEM	Nem használható célként egy olyan pánt, aminek már van bónusza.
COMB_CANT_MATCH_DRAINRATE	Mindkét tárgy abszorpciós mértékének meg kell egyeznie a bónusz átviteléhez.
COMB_CANT_MATCH_GRADE	Mindkét tárgy minőségének meg kell egyeznie a bónusz átviteléhez.
COMB_CANT_MATERIAL_ITEM	A kiindulási tárgynak bónusszal kell rendelkeznie.
COMB_COST	Ár: {}
COMB_IS_CONTINUE_PROCESS	Szeretnéd folytatni?
COMB_NOTICE	Nem nyithatsz magánboltot, amíg könyvekkel üzletelsz.
COMB_NOTICE_NOT_OPEN	Nem üzletelhetsz könyvekkel, amíg magánboltod van nyitva.
COMB_NOT_ALL_SLOT_APPEND_ITEM	Szükséged van egy kiindulási- és egy cél tárgyra, plusz az átvivő tárgyra a bónuszok átviteléhez.
COMB_NOT_FULL_BOOK	Nem, ez az üzlet nem így működik. Megmondtam már, csak akkor üzletelek veled, ha 10 könyvet ajánlasz érte cserébe.
COMB_NOT_ITEM_IN_INVENTORY	Nem használhatsz felszerelt tárgyakat.
COMB_NOT_MEDIUM_ITEM	Ez a tárgy nem használható.
COMB_WILL_REMOVE_MATERIAL	A kiindulási tárgy meg fog semmisülni siker esetén.
CREATE_ERROR_GM_NAME	A karakter nevében nem használhatsz 'GM'-et.
CREATE_ERROR_INSULT_NAME	Ez a név nem megengedett.
CREATE_ERROR_LIMIT_LEVEL	Karakterednek legalább 80-as szintűnek kell lennie.
CREATE_ERROR_TIME_LIMIT	Csak egy karaktert tudsz létrehozni 30 másodpercenként.
CREATE_ERROR_WRONG_STRING	Ez a karakternév nem megengedett.
CREATE_EXIST_SAME_NAME	Egy másik karakter viseli már ezt a nevet.
CREATE_FAILURE	Nem hozhatod létre a karaktert.
CREATE_FULL	Nem hozhatsz létre több karaktert.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Add meg a nevet.
CREATE_PLUS_STAT	Még vannak szabad státusz pontok.
CZ_REWARD_QUESTION_COMPLETE	Szeretnéd beváltani ezt a mezőt?
CZ_REWARD_TOOLTIP_10GAN	Zodiákus jelvény
CZ_REWARD_TOOLTIP_10GAN_COUNT	Számuk a leltárban
CZ_REWARD_TOOLTIP_10GAN_NEED_COUNT	Szükséges mennyiség
CZ_REWARD_TOOLTIP_12ZI	Őrző jelvény
CZ_REWARD_TOOLTIP_12ZI_COUNT	Számuk a leltárban
CZ_REWARD_TOOLTIP_12ZI_NEED_COUNT	Szükséges mennyiség
CZ_REWARD_TOOLTIP_ALL_BOX	Asztrális kincs
CZ_REWARD_TOOLTIP_CAN_GET_ALL_BOX	Kattints ide, hogy begyűjtsd az Asztrális kincset jutalomként.
CZ_REWARD_TOOLTIP_CAN_GET_GREEN_BOX	Kattints ide, hogy begyűjtsd az Aventurin kincset jutalomként.
CZ_REWARD_TOOLTIP_CAN_GET_YELLOW_BOX	Kattints ide, hogy begyűjtsd az Aureolin kincset jutalomként.
CZ_REWARD_TOOLTIP_COMPLETABLE	Beváltás
CZ_REWARD_TOOLTIP_GREEN_BOX	Aventurin kincs
CZ_REWARD_TOOLTIP_GREEN_BOX_COMP_CNT	Beváltott Aventurin kincsek: {}
CZ_REWARD_TOOLTIP_WEEKLY	Nap
CZ_REWARD_TOOLTIP_WEEKLY_FRI	Péntek
CZ_REWARD_TOOLTIP_WEEKLY_MON	Hétfő
CZ_REWARD_TOOLTIP_WEEKLY_SAT	Szombat
CZ_REWARD_TOOLTIP_WEEKLY_SAT_SUN	Szombat/Vasárnap
CZ_REWARD_TOOLTIP_WEEKLY_THU	Csütörtök
CZ_REWARD_TOOLTIP_WEEKLY_TUE	Kedd
CZ_REWARD_TOOLTIP_WEEKLY_WED	Szerda
CZ_REWARD_TOOLTIP_YELLOW_BOX	Aureolin kincs
CZ_REWARD_TOOLTIP_YELLOW_BOX_COMP_CNT	Beváltott Aureolin kincsek: {}
DAY	T
DETAILS_1	Félemberek ell. erő
DETAILS_10	Siv. szörnyek e. erő
DETAILS_11	Rovarok elleni erő
DETAILS_12	Támadóérték
DETAILS_13	Védelmi érték
DETAILS_14	Átlagos kár
DETAILS_15	Átlagos kár ell.
DETAILS_16	Készség kár
DETAILS_17	Készség kár ellenállás
DETAILS_18	Mág./közelharci tám.
DETAILS_19	Mágikus támadás
DETAILS_2	Félemberek ell. véd.
DETAILS_20	Krit. találat esélye
DETAILS_21	Átható találat
DETAILS_22	Krit. találat ell.
DETAILS_23	Átható találat ell.
DETAILS_24	Villám ellenállás
DETAILS_25	Jég ellenállás
DETAILS_26	Sötétség ellenállás
DETAILS_27	Tűz ellenállás
DETAILS_28	Szél ellenállás
DETAILS_29	Föld ellenállás
DETAILS_3	Fatalis elleni erő
DETAILS_30	Villám ereje
DETAILS_31	Jég ereje
DETAILS_32	Sötétség ereje
DETAILS_33	Tűz ereje
DETAILS_34	Szél ereje
DETAILS_35	Föld ereje
DETAILS_36	Harcosok elleni erő
DETAILS_37	Nindzsák elleni erő
DETAILS_38	Surák elleni erő
DETAILS_39	Sámánok elleni erő
DETAILS_4	Élőholtak elleni erő
DETAILS_40	Vérfarkasok ell. erő
DETAILS_41	Harcos védelem
DETAILS_42	Nindzsa védelem
DETAILS_43	Sura védelem
DETAILS_44	Sámán védelem
DETAILS_45	Vérfarkas védelem
DETAILS_46	Kard védelem
DETAILS_47	Kétkezes védelem
DETAILS_48	Tőr védelem
DETAILS_49	Karom védelem
DETAILS_5	Szörnyek elleni erő
DETAILS_50	Harang/Legyező védelem
DETAILS_51	/
DETAILS_52	Nyíl védelem
DETAILS_53	Ájulási esély
DETAILS_54	Lassítás esélye
DETAILS_55	Mérgezés esélye
DETAILS_56	Méreg ellenállás
DETAILS_57	Vérző támadás
DETAILS_58	Vérző t. ellenállás
DETAILS_59	TP lopás
DETAILS_6	Zod. szörnyek e. erő
DETAILS_60	MP lopás
DETAILS_61	TP helyreállítás
DETAILS_62	MP helyreállítás
DETAILS_63	Támadás kivédése
DETAILS_64	Nyilak elkerülése
DETAILS_65	Fiz. tám. visszav.
DETAILS_66	TP helyreá. öléskor
DETAILS_67	MP helyreá. öléskor
DETAILS_68	Dupla EXP
DETAILS_69	Dupla Yang
DETAILS_7	Rathalos elleni erő
DETAILS_70	Dobási esély
DETAILS_71	Támadóérték
DETAILS_72	Védelmi érték
DETAILS_73	EXP
DETAILS_74	Dobási esély
DETAILS_75	Dupla Yang
DETAILS_76	Mágia ellenállás
DETAILS_77	Ellenmágia
DETAILS_8	Gods. elleni erő
DETAILS_9	Ördögök elleni erő
DETAILS_ATTBONUS_BELL	Harang v. áttörés
DETAILS_ATTBONUS_BOW	Nyíl v. áttörés
DETAILS_ATTBONUS_CLAW	Karom v. áttörés
DETAILS_ATTBONUS_DAGGER	Tőr v. áttörés
DETAILS_ATTBONUS_FAN	Legyező v. áttörés
DETAILS_ATTBONUS_SWORD	Kard v. áttörés
DETAILS_ATTBONUS_TWOHAND	Kétkezes v. áttörés
DETAILS_CATE_1	Sebzés/Védelem
DETAILS_CATE_2	Elementáris bónusz
DETAILS_CATE_3	Karakterosztály bónusz
DETAILS_CATE_4	Fegyver bónusz
DETAILS_CATE_5	Egyéb bónusz
DETAILS_CATE_6	Különleges bónusz
DETAILS_RESIST_MOUNT_FALL	Esés ellenállás
DETAILS_TITLE	Részletek
DETAILS_TOOLTIP_1	Nagyobb sebzést okozol a félember típusú ellenfeleknek.
DETAILS_TOOLTIP_10	Sivatagi szörnyek elleni erő: Nagyobb sebzést okozol a sivatagi szörnyeknek.
DETAILS_TOOLTIP_11	Rovarok elleni erő: Nagyobb sebzést okozol a rovaroknak.
DETAILS_TOOLTIP_12	Megnöveli támadóértéked.
DETAILS_TOOLTIP_13	Megnöveli védelmi értéked.
DETAILS_TOOLTIP_14	Növeli az átlagos károkat, amit az ellenségeidnek okozol támadáskor.
DETAILS_TOOLTIP_15	Csökkenti a támadásban elszenvedett sebzéseidet.
DETAILS_TOOLTIP_16	Megnöveli a készségek által okozott sebzést.
DETAILS_TOOLTIP_17	Csökkenti a készségek által elszenvedett sebzéseidet.
DETAILS_TOOLTIP_18	Növeli a fizikai és mágikus támadó értékedet is.
DETAILS_TOOLTIP_19	Növeli a mágikus támadásokkal okozott sebzésed.
DETAILS_TOOLTIP_2	Félemberek elleni védelem: Csökkenti a félember típusú ellenfelek által okozott sebzést.
DETAILS_TOOLTIP_20	Növeli a kritikus találat bevitelének esélyét.
DETAILS_TOOLTIP_21	Növeli az átható találat bevitelének esélyét.
DETAILS_TOOLTIP_22	Kritikus találat ellenállás: Csökkenti a kritikus találatokból származó sebzést.
DETAILS_TOOLTIP_23	Átható találat ellenállás: Csökkenti az átható találatokból származó sebzést.
DETAILS_TOOLTIP_24	Csökkenti bizonyos szörnyek által okozott sebzést.
DETAILS_TOOLTIP_25	Csökkenti bizonyos szörnyek által okozott sebzést.
DETAILS_TOOLTIP_26	Csökkenti bizonyos szörnyek által okozott sebzést.
DETAILS_TOOLTIP_27	Csökkenti bizonyos szörnyek által okozott sebzést.
DETAILS_TOOLTIP_28	Csökkenti bizonyos szörnyek által okozott sebzést.
DETAILS_TOOLTIP_29	Csökkenti bizonyos szörnyek által okozott sebzést.
DETAILS_TOOLTIP_3	Fatalis elleni erő: Nagyobb sebzést okozol az Fatalis.
DETAILS_TOOLTIP_30	Növeli a sebzést, amit a villám erejével okozol.
DETAILS_TOOLTIP_31	Növeli a sebzést, amit a jég erejével okozol.
DETAILS_TOOLTIP_32	Növeli a sebzést, amit a sötétség erejével okozol.
DETAILS_TOOLTIP_33	Növeli a sebzést, amit a tűz erejével okozol.
DETAILS_TOOLTIP_34	Növeli a sebzést, amit a szél erejével okozol.
DETAILS_TOOLTIP_35	Növeli a sebzést, amit a föld erejével okozol.
DETAILS_TOOLTIP_36	Harcosok elleni erő: Nagyobb sebzést okozol a harcosoknak.
DETAILS_TOOLTIP_37	Nindzsák elleni erő: Nagyobb sebzést okozol a nindzsáknak.
DETAILS_TOOLTIP_38	Surák elleni erő: Nagyobb sebzést okozol a suráknak.
DETAILS_TOOLTIP_39	Sámánok elleni erő: Nagyobb sebzést okozol a sámánoknak.
DETAILS_TOOLTIP_4	Élőholtak elleni erő: Nagyobb sebzést okozol az élőholtaknak.
DETAILS_TOOLTIP_40	Vérfarkasok elleni erő: Nagyobb sebzést okozol a vérfarkasoknak.
DETAILS_TOOLTIP_41	Védekezési esély harcos támadás ellen: Csökkenti a harcosok által neked okozott sebzést.
DETAILS_TOOLTIP_42	Védekezési esély nindzsa támadás ellen: Csökkenti a nindzsák által neked okozott sebzést.
DETAILS_TOOLTIP_43	Védekezési esély sura támadás ellen: Csökkenti a surák által neked okozott sebzést.
DETAILS_TOOLTIP_44	Védekezési esély sámán támadás ellen: Csökkenti a sámánok által neked okozott sebzést.
DETAILS_TOOLTIP_45	Védekezési esély vérfarkas támadás ellen: Csökkenti a vérfarkasok által neked okozott sebzést.
DETAILS_TOOLTIP_46	Csökkenti a kardok által okozott sérüléseket.
DETAILS_TOOLTIP_47	Csökkenti a kétkezes fegyverek által okozott sérüléseket.
DETAILS_TOOLTIP_48	Csökkenti a tőrök által okozott sérüléseket.
DETAILS_TOOLTIP_49	Csökkenti a karmok által okozott sérüléseket.
DETAILS_TOOLTIP_5	Nagyobb sebzést okozol a szörnyeknek.
DETAILS_TOOLTIP_50	Csökkenti a harangok/legyezők által okozott sérüléseket.
DETAILS_TOOLTIP_51	Csökkenti a legyezők által okozott sérüléseket.
DETAILS_TOOLTIP_52	Csökkenti az íjak és nyilak által okozott sérüléseket.
DETAILS_TOOLTIP_53	Növeli az esélyt az ellenfelek kiütésére.
DETAILS_TOOLTIP_54	Növeli az esélyt az ellenfél lelassítására.
DETAILS_TOOLTIP_55	Növeli az esélyt az ellenfél megmérgezésére.
DETAILS_TOOLTIP_56	Csökkenti a méreg által okozott sebzést.
DETAILS_TOOLTIP_57	Növeli az esélyt vérző támadás bevitelére.
DETAILS_TOOLTIP_58	Vérző támadás ellenállás: Csökkenti a vérző támadás által okozott sebzést.
DETAILS_TOOLTIP_59	Elszívja az ellenfeled TP-jét, amikor eltalálod.
DETAILS_TOOLTIP_6	Zodiákus szörnyek elleni erő: Nagyobb sebzést okozol a Zodiákus szörnyeknek.
DETAILS_TOOLTIP_60	Elszívja az ellenfeled MP-jét, amikor eltalálod.
DETAILS_TOOLTIP_61	Növeli az életerő pontjaid helyreállítását.
DETAILS_TOOLTIP_62	Növeli a mana pontjaid helyreállítását.
DETAILS_TOOLTIP_63	Esély közelharci támadás kivédésre: Növeli az esélyt közelharci támadás kivédésére.
DETAILS_TOOLTIP_64	Növeli az esélyt nyilak és szörnyek általi távolsági támadások elkerülésére.
DETAILS_TOOLTIP_65	Esély közelharci találatok visszaverésére: Az ellenfél közelharci támadásainak egy része visszaverődik rá.
DETAILS_TOOLTIP_66	Az életerő pontjaid növekednek, amikor megölsz egy ellenséget.
DETAILS_TOOLTIP_67	A mana pontjaid növekednek, amikor megölsz egy ellenséget.
