SWITCHBOT_CHECKBOX1	6/7 einblenden
CATEGORY_COSTUMES_COSTUME_HAIR	Frisuren
CATEGORY_COSTUMES_COSTUME_WEAPON	Waffenskins
CATEGORY_COSTUMES_ETC	Sonstiges
CATEGORY_COSTUMES_SASH	Schulterbänder
CATEGORY_DRAGON_STONE	Drachensteinalchemie
CATEGORY_DRAGON_STONE_DRAGON_DIAMOND	Diamant
CATEGORY_DRAGON_STONE_DRAGON_GARNET	Granat
CATEGORY_DRAGON_STONE_DRAGON_JADE	Jade
CATEGORY_DRAGON_STONE_DRAGON_ONYX	Onyx
CATEGORY_DRAGON_STONE_DRAGON_RUBY	Rubin
CATEGORY_DRAGON_STONE_DRAGON_SAPPHIRE	Saphir
CATEGORY_DRAGON_STONE_ETC	Sonstiges
CATEGORY_EQUIPMENT_ARMOR	Ausrüstungen
CATEGORY_EQUIPMENT_JEWELRY	Schmuck
CATEGORY_EQUIPMENT_WEAPON	Waffen
CATEGORY_ETC	Sonstiges
CATEGORY_ETC_ETC	Sonstiges
CATEGORY_ETC_EVENT	Eventitems
CATEGORY_ETC_GIFTBOX	Truhen | Boxen
CATEGORY_ETC_MATRIMORY	Hochzeit
CATEGORY_ETC_PARTI	Kriegskunstbücher
CATEGORY_ETC_POLYMORPH	Verwandlungskugeln
CATEGORY_ETC_RECIPE	Trankherstellung
CATEGORY_ETC_SEAL	Seelenbindung
CATEGORY_FISHING_PICK	Angeln | Bergbau
CATEGORY_FISHING_PICK_EQUIPMENT_PICK	Spitzhacken
CATEGORY_FISHING_PICK_ETC	Sonstiges
CATEGORY_FISHING_PICK_FISHING_POLE	Angelruten
CATEGORY_FISHING_PICK_FOOD	Fische
CATEGORY_FISHING_PICK_PICK_BOOK	Bergbaubücher
CATEGORY_FISHING_PICK_STONE	Erze
CATEGORY_JEWELRY_ARMOR_EAR	Ohrringe
CATEGORY_JEWELRY_ARMOR_FOOTS	Schuhe
CATEGORY_JEWELRY_ARMOR_NECK	Halsketten
CATEGORY_JEWELRY_ARMOR_WRIST	Armbänder
CATEGORY_JEWELRY_ITEM_BELT	Gürtel
CATEGORY_MOUNT_PET	Mounts | Pets
CATEGORY_MOUNT_PET_CHARGED_PET	Pets
CATEGORY_MOUNT_PET_EGG	Pet-Eier
CATEGORY_MOUNT_PET_FREE_PET	Levelbare Pets
CATEGORY_MOUNT_PET_MOUNT	Mounts
CATEGORY_POTION	Tränke
CATEGORY_POTION_ABILITY	Verbrauchsgüter
CATEGORY_POTION_ETC	Sonstiges
CATEGORY_POTION_HAIRDYE	Haarfarben
CATEGORY_SKILL	Fertigkeiten
CATEGORY_SKILL_BOOK_OF_OBLIVION	Bücher des Vergessens
CATEGORY_SKILL_ETC	Sonstiges
CATEGORY_SKILL_PAHAE	Konter | Boost
CATEGORY_SKILL_SKILL_BOOK	Fertigkeitsbücher
CATEGORY_TUNING	Verbesserungen
CATEGORY_TUNING_ETC	Sonstiges
CATEGORY_TUNING_RESOURCE	Materialien
CATEGORY_TUNING_STONE	Geiststeine
CATEGORY_UNIQUE	Sonderitems
CATEGORY_UNIQUE_ABILITY	Konsumgüter
CATEGORY_UNIQUE_ETC	Sonstiges
CATEGORY_WEAPON_WEAPON_ARROW	Pfeile
CATEGORY_WEAPON_WEAPON_BELL	Glocken
CATEGORY_WEAPON_WEAPON_BOW	Bögen
CATEGORY_WEAPON_WEAPON_CLAW	Klauen
CATEGORY_WEAPON_WEAPON_DAGGER	Dolche
CATEGORY_WEAPON_WEAPON_FAN	Fächer
CATEGORY_WEAPON_WEAPON_MOUNT_SPEAR	Speere
CATEGORY_WEAPON_WEAPON_QUIVER	Köcher
CATEGORY_WEAPON_WEAPON_SWORD	Einhandwaffen
CATEGORY_WEAPON_WEAPON_TWO_HANDED	Zweihandwaffen
BEAD	Marble of Life
BEAD_TIME_REMAINING_TO_GET	Marble of Life(Time remaining to get: {} min)
CZ_REWARD_QUESTION_COMPLETE	Would you like to complete?
CZ_REWARD_TOOLTIP_10GAN	10 Celestial stem
CZ_REWARD_TOOLTIP_10GAN_COUNT	The number of my 10 Celestial stem
CZ_REWARD_TOOLTIP_10GAN_NEED_COUNT	The number of required 10 Celestial stem
CZ_REWARD_TOOLTIP_12ZI	Zodiac talisman
CZ_REWARD_TOOLTIP_12ZI_COUNT	The number of my Zodiac talismans
CZ_REWARD_TOOLTIP_12ZI_NEED_COUNT	Erfoderliche Anzahl
CZ_REWARD_TOOLTIP_ALL_BOX	Gold Case
CZ_REWARD_TOOLTIP_CAN_GET_ALL_BOX	Can get Gold Case
CZ_REWARD_TOOLTIP_CAN_GET_GREEN_BOX	Can get Green Case
CZ_REWARD_TOOLTIP_CAN_GET_YELLOW_BOX	Can get Yellow Case
CZ_REWARD_TOOLTIP_COMPLETABLE	Completable
CZ_REWARD_TOOLTIP_GREEN_BOX	Green Case
CZ_REWARD_TOOLTIP_GREEN_BOX_COMP_CNT	Completed Green Case {} times
CZ_REWARD_TOOLTIP_WEEKLY	Day
CZ_REWARD_TOOLTIP_WEEKLY_FRI	Friday
CZ_REWARD_TOOLTIP_WEEKLY_MON	Monday
CZ_REWARD_TOOLTIP_WEEKLY_SAT	Saturday
CZ_REWARD_TOOLTIP_WEEKLY_SAT_SUN	Saturday, Sunday
CZ_REWARD_TOOLTIP_WEEKLY_THU	Thursday
CZ_REWARD_TOOLTIP_WEEKLY_TUE	Tuesday
CZ_REWARD_TOOLTIP_WEEKLY_WED	Wednesday
CZ_REWARD_TOOLTIP_YELLOW_BOX	Yellow Case
CZ_REWARD_TOOLTIP_YELLOW_BOX_COMP_CNT	Completed Yellow Case {} times
CHANGE_ALREADY_REGISTER	[Projektion] Dieser Gegenstand wurde bereits registriert.
CHANGE_LOOK_CHANGE_ITEM	Möchtest du den Gegenstand projizieren?
CHANGE_LOOK_CHECK_OUT_REGISTER_ITEM	[Projektion] Bitte entferne zuerst den Gegenstand, auf den die Projektion angewendet werden soll.
CHANGE_LOOK_COST	Preis: {} Yang
CHANGE_LOOK_DEL_ITEM	Der aufgenommene Gegenstand wird gelöscht.
CHANGE_LOOK_DO_NOT_CHANGE_LOOK_ITEM	[Projektion] Dieser Gegenstand kann nicht projiziert werden.
CHANGE_LOOK_DO_NOT_EQUIP_ITEM	[Projektion] Du kannst den Gegenstand nicht projizieren, während er ausgerüstet ist.
CHANGE_LOOK_DO_NOT_REGISTER_ITEM	[Projektion] Dieser Gegenstand kann nicht registriert werden.
CHANGE_LOOK_DO_NOT_SEAL_ITEM	[Projektion] Der Gegenstand ist seelengebunden.
CHANGE_LOOK_INSERT_CHANGE_LOOK_ITEM	[Projektion] Bitte registriere den Gegenstand, den du projizieren möchtest.
CHANGE_LOOK_INSERT_ITEM	[Projektion] Du musst den Gegenstand zuerst registrieren.
CHANGE_LOOK_OPEN_OTHER_WINDOW	[Projektion] Die Aktion ist nicht möglich, wenn das Fenster "Projektion" geöffnet ist.
CHANGE_LOOK_TITLE	Projektion
CHANGE_TOOLTIP_LINE1	Lege den Gegenstand, auf den projiziert werden soll, links ab.
CHANGE_TOOLTIP_LINE2	Lege den anderen Gegenstand rechts ab.
CHANGE_TOOLTIP_LINE3	Das Aussehen des Gegenstands links ändert sich, wenn du
CHANGE_TOOLTIP_LINE4	die Projektion bestätigst (V) und dir Yang abgezogen wurde.
CHANGE_TOOLTIP_LINE5	Wenn du diesen Gegenstand benutzt,
CHANGE_TOOLTIP_LINE6	kannst du dein Item projizieren, ohne Yang einzusetzen.
CHANGE_TOOLTIP_TITLE	Projektion
CHANNEL	Channel
CHANNELING_CANNOT_LOGOUT	Du kannst nicht zurück zum Anmeldebildschirm.
CHANNEL_EMPTY_SERVER	Kein Server
CHANNEL_NORMAL	Channel {}
CHANNEL_NOTIFY_FULL	Dieser Channel ist voll! Wähle bitte einen anderen aus.
CHANNEL_NOT_FIND_INFO	Keine Informationen über den Channel gefunden.
CHANNEL_PVP	Freies Duell
CHANNEL_SELECT_CHANNEL	Wähle den Channel
CHANNEL_SELECT_REGION	Ort für die Rechnungsstellung wählen
CHANNEL_SELECT_SERVER	Server wählen
CHANNEL_TEST_SERVER	Server testen
CHANNEL_TEST_SERVER_ADDR	Test {}:{}
CHARACTER_CREATE_APPEARANCE1	Aussehen 1
CHARACTER_CREATE_APPEARANCE2	Aussehen 2
CHARACTER_CREATE_FEMALE	Weiblich
CHARACTER_CREATE_MALE	Männlich
CHARACTER_CREATE_MODE	Charakter erstellen
CHARACTER_SELECT_MODE	Charakter auswählen
CHAT_ALL	Alle
CHAT_BLOCK	Abblocken
CHAT_DICE_INFO	Wurf
CHAT_GUILD	Gilde
CHAT_INFORMATION	Info
CHAT_INSULT_STRING	Der Satz enthält unzulässige Wörter.
CHAT_LOG	Alte Nachrichten anzeigen [L]
CHAT_LOG_TITLE	Chat-Protokoll
CHAT_NORMAL	Normal
CHAT_NOTICE	Ankündigung
CHAT_PARTY	Gruppe
CHAT_SEND_CHAT	Chat senden
CHAT_SEND_MEMO	Flüstern senden [Umschalt+Eingabe]
CHAT_SHOUT	Rufen
CHAT_SHOUT_LIMIT	Du kannst nur alle 8 Sekunden rufen.
CHAT_WHISPER	Flüstern
CHAT_OPEN_EMOJI	Emoji
CHEQUE_SYSTEM_DO_NOT_DROP_MONEY	Du kannst kein Geld fallen lassen.
CHEQUE_SYSTEM_PICK_WON	Du hast {} Won erhalten.
CHEQUE_SYSTEM_SELL_PRICE	[Verkaufspreis]
CHEQUE_SYSTEM_UNIT_WON	Won
CHEQUE_SYSTEM_UNIT_YANG	Yang
CHEQUE_SYSTEM_WON	{} Won
CHEQUE_SYSTEM_YANG	{} Yang
COMB_ALREADY_APPEND	
COMB_CANT_APPEND_ITEM	Dieser Gegenstand kann nicht verwendet werden.
COMB_CANT_APPEND_SEALED_ITEM	Du kannst keinen seelengebundenen Gegenstand verwenden.
COMB_COST	Preis: {}
COMB_IS_CONTINUE_PROCESS	Möchtest du fortfahren?
COMB_NOTICE	Du kannst keinen privaten Laden öffnen, während du Bücher tauschen möchtest.
COMB_NOTICE_NOT_OPEN	Du kannst keine Bücher tauschen, wenn du einen privaten Laden geöffnet hast.
COMB_NOT_ALL_SLOT_APPEND_ITEM	Du benötigst ein 2. Kostüm, um Boni übertragen zu können.
COMB_NOT_FULL_BOOK	Nein, so werden wir nicht ins Geschäft kommen. Wie ich dir bereits erklärt habe, tausche ich nur, wenn du mir 10 Bücher dafür gibst.
COMB_NOT_ITEM_IN_INVENTORY	Du kannst keine ausgerüsteten Gegenstände verwenden.
COMB_NOT_MEDIUM_ITEM	Dieser Gegenstand kann nicht verwendet werden.
COMB_WILL_REMOVE_MATERIAL	Kostüm 2 wird zerstört.
CREATE_ERROR_GM_NAME	Du darfst im Charakternamen nicht ,GM‘ verwenden.
CREATE_ERROR_INSULT_NAME	Dieser Name ist nicht zulässig.
CREATE_ERROR_LIMIT_LEVEL	Dein Charakter muss mindestens Level 80 besitzen.
CREATE_ERROR_LYCAN_DISABLED	Du kannst keinen Lykaner erstellen.
CREATE_ERROR_TIME_LIMIT	Du kannst nur alle 30 Sek. einen Charakter erstellen.
CREATE_ERROR_WRONG_STRING	Dein Charaktername darf keine Sonderzeichen beinhalten.
CREATE_EXIST_SAME_NAME	Ein anderer Charakter trägt bereits diesen Namen.
CREATE_FAILURE	Du kannst den Charakter nicht erstellen.
CREATE_FULL	Du kannst keinen weiteren Charakter mehr erstellen.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Gib den Namen ein.
CREATE_PLUS_STAT	Es sind noch Statuspunkte verfügbar.
CUBE_CONFIRM	Möchtest du diesen Gegenstand herstellen? Die Erfolgschance beträgt {}%.
DAY	T
DETAILS_1	St. gg. Halbmenschen
DETAILS_10	St. gg. Wüstenmonster
DETAILS_11	Stark gg. Insekten
DETAILS_12	Angriffswert
DETAILS_13	Verteidigungswert
DETAILS_16	Durchschnittsschaden
DETAILS_15	Wid. Durchschnittssch.
DETAILS_14	Fähigkeitsschaden
DETAILS_17	Wid. Fähigkeitssch.
DETAILS_18	Magie-/Nahkampfangriff
DETAILS_19	Magischer Angriff
DETAILS_2	Wid. gg. Halbmenschen
DETAILS_20	Krit. Trefferchance
DETAILS_21	Durchb. Treffer
DETAILS_22	Wid. krit. Treffer
DETAILS_23	Wid. durchb. Treffer
DETAILS_24	Blitzwiderstand
DETAILS_25	Eiswiderstand
DETAILS_26	Wid. gg. Dunkelheit
DETAILS_27	Feuerwiderstand
DETAILS_28	Windwiderstand
DETAILS_29	Erdwiderstand
DETAILS_3	Stark gg. Fatalis
DETAILS_30	Kraft der Blitze
DETAILS_31	Kraft des Eises
DETAILS_32	Kraft der Dunkelheit
DETAILS_33	Kraft des Feuers
DETAILS_34	Kraft des Windes
DETAILS_35	Kraft der Erde
DETAILS_36	Stark gg. Krieger
DETAILS_37	Stark gg. Ninja
DETAILS_38	Stark gg. Sura
DETAILS_39	Stark gg. Schamanen
DETAILS_4	Stark gg. Untote
DETAILS_40	Stark gg. Lykaner
DETAILS_41	Abwehr gg. Krieger
DETAILS_42	Abwehr gg. Ninja
DETAILS_43	Abwehr gg. Sura
DETAILS_44	Abw. gg. Schamanen
DETAILS_45	Abwehr gg. Lykaner
DETAILS_46	Schwertverteidigung
DETAILS_47	Zweihandverteidigung
DETAILS_48	Dolchverteidigung
DETAILS_49	Krallenverteidigung
DETAILS_5	Stark gg. Monster
DETAILS_50	Glockenverteidigung
DETAILS_51	Fächerverteidigung
DETAILS_52	Pfeilverteidigung
DETAILS_53	Ohnmachtschance
DETAILS_54	Verlangsamungschance
DETAILS_55	Vergiftungschance
DETAILS_56	Giftwiderstand
DETAILS_57	Blutungsangriff
DETAILS_58	Wid. Blutungsangriff
DETAILS_59	Lebensraub
DETAILS_6	St. gg. Zodiak-Monster
DETAILS_60	MP-Raub
DETAILS_61	TP-Wiederherstellung
DETAILS_62	MP-Wiederherstellung
DETAILS_63	Angriff blocken
DETAILS_64	Pfeilangriff ausweichen
DETAILS_65	Nahkampftr. reflekt.
DETAILS_66	TP-Wdsg. beim Töten
DETAILS_67	MP-Wdsg. beim Töten
DETAILS_68	2-fach EXP
DETAILS_69	2-fach Yang
DETAILS_7	Stark gg. Rathalos
DETAILS_70	Dropchance
DETAILS_71	Angriffswert
DETAILS_72	Verteidigung
DETAILS_73	EXP
DETAILS_74	Dropchance
DETAILS_75	2-fach Yang
DETAILS_76	Magiewiderstand
DETAILS_77	Magiebruch
DETAILS_78	Stark gg. Kreaturen
DETAILS_79	Stark gg. Bosse
DETAILS_80	Stark gg. Metinsteine
DETAILS_8	Stark gg. Götter
DETAILS_9	Stark gg. Teufel
DETAILS_ATTBONUS_BELL	Bruch von Glocke
DETAILS_ATTBONUS_BOW	Bruch von Pfeil
DETAILS_ATTBONUS_CLAW	Bruch von Kralle
DETAILS_ATTBONUS_DAGGER	Bruch von Dolch
DETAILS_ATTBONUS_FAN	Bruch von Fächer
DETAILS_ATTBONUS_SWORD	Bruch von Schwert
DETAILS_ATTBONUS_TWOHAND	Bruch von Zweihand
DETAILS_CATE_1	Schaden/Verteidigung
DETAILS_CATE_2	Elementarboni
DETAILS_CATE_3	Klassenboni
DETAILS_CATE_4	Waffenboni
DETAILS_CATE_5	Sonstige Boni
DETAILS_CATE_6	Spezialboni
DETAILS_RESIST_MOUNT_FALL	Widerstand g. Sturz
DETAILS_TITLE	Details
DETAILS_TOOLTIP_1	Stark gegen Halbmenschen: Fügt Halbmenschen größeren Schaden zu.
DETAILS_TOOLTIP_10	Stark gegen Wüstenmonster: Fügt Wüstenmonstern größeren Schaden zu.
DETAILS_TOOLTIP_11	Stark gegen Insekten: Fügt Insekten größeren Schaden zu.
DETAILS_TOOLTIP_12	Erhöht deinen Angriffswert.
DETAILS_TOOLTIP_13	Erhöht deinen Verteidigungswert.
DETAILS_TOOLTIP_16	Vergrößert den Durchschnittsschaden, den du Gegnern bei einem Angriff zufügst.
DETAILS_TOOLTIP_15	Widerstand gegen Durchschnittsschaden: Verringert den Schaden, den du bei einem Angriff erleidest.
DETAILS_TOOLTIP_14	Erhöht den Schaden, den eine Fertigkeit verursacht.
DETAILS_TOOLTIP_17	Widerstand gegen Fertigkeitsschaden: Verringert den Schaden, der dir durch eine Fertigkeit zugefügt wird.
DETAILS_TOOLTIP_18	Sowohl der körperliche als auch der magische Angriffswert wird erhöht.
DETAILS_TOOLTIP_19	Erhöht den Schaden, den du Gegnern durch einen magischen Angriff zufügst.
DETAILS_TOOLTIP_2	Widerstand gegen Halbmenschen: Verringert den Schaden, den man von Halbmenschen erleidet.
DETAILS_TOOLTIP_20	Steigert die Chance, einen kritischen Treffer zu erwirken.
DETAILS_TOOLTIP_21	Chance auf einen durchbohrenden Treffer: Steigert die Chance, einen durchbohrenden Treffer zu landen.
DETAILS_TOOLTIP_22	Widerstand gegen kritischen Treffer: Verringert den Schaden, der durch einen kritischen Treffer verusacht wird.
DETAILS_TOOLTIP_23	Widerstand gegen durchbohrenden Treffer: Verringert den Schaden, der durch einen durchbohrenden Treffer verusacht wird.
DETAILS_TOOLTIP_24	Verringert den Schaden, den man durch bestimmte Monster erleidet.
DETAILS_TOOLTIP_25	Verringert den Schaden, den man durch bestimmte Monster erleidet.
DETAILS_TOOLTIP_26	Widerstand gegen Dunkelheit: Verringert den Schaden, den man durch bestimmte Monster erleidet.
DETAILS_TOOLTIP_27	Verringert den Schaden, den man durch bestimmte Monster erleidet.
DETAILS_TOOLTIP_28	Verringert den Schaden, den man durch bestimmte Monster erleidet.
DETAILS_TOOLTIP_29	Verringert den Schaden, den man durch bestimmte Monster erleidet.
DETAILS_TOOLTIP_3	Stärke gegen Fatalis: Fügt Fatalis größeren Schaden zu.
DETAILS_TOOLTIP_30	Erhöht den Schaden, den du verursachst, durch die Kraft der Blitze.
DETAILS_TOOLTIP_31	Erhöht den Schaden, den du verursachst, durch die Kraft des Eises.
DETAILS_TOOLTIP_32	Erhöht den Schaden, den du verursachst, durch die Kraft der Dunkelheit.
DETAILS_TOOLTIP_33	Erhöht den Schaden, den du verursachst, durch die Kraft des Feuers.
DETAILS_TOOLTIP_34	Erhöht den Schaden, den du verursachst, durch die Kraft des Windes.
DETAILS_TOOLTIP_35	Erhöht den Schaden, den du verursachst, durch die Kraft der Erde.
DETAILS_TOOLTIP_36	Stark gegen Krieger: Fügt Kriegern größeren Schaden zu.
DETAILS_TOOLTIP_37	Stark gegen Ninja: Fügt Ninja größeren Schaden zu.
DETAILS_TOOLTIP_38	Stark gegen Sura: Fügt Sura größeren Schaden zu.
DETAILS_TOOLTIP_39	Stark gegen Schamanen: Fügt Schamanen größeren Schaden zu.
DETAILS_TOOLTIP_4	Stark gegen Untote: Fügt Untoten größeren Schaden zu.
DETAILS_TOOLTIP_40	Stark gegen Lykaner: Fügt Lykanern größeren Schaden zu.
DETAILS_TOOLTIP_41	Abwehrchance gegen Kriegerangriffe: Verringert den Schaden, den man durch Krieger erleidet.
DETAILS_TOOLTIP_42	Abwehrchance gegen Ninjaangriffe: Verringert den Schaden, den man durch Ninja erleidet.
