%d 권을 더 읽어야 수련을 완료 할 수 있습니다.	Trebuie sa citesti inca %d pentru a avea succes. 
%d 냥을 투자하셨습니다.	Ai investit %d Yang. 
%d 냥을 획득하셨습니다.	Ai cвєtigat %d Yang. 
%d 레벨이 되어야 다시 염색하실 수 있습니다.	Trebuie sг atingi nivelul %d pentru a-юi putea vopsi pгrul iar. 
%d 분 %d 초 동안 채팅금지 상태입니다	%d min %d sec ramase pana la expirarea MUTE-ului 
%d 시간 %d 분 %d 초 동안 채팅금지 상태입니다	%d ore %d min %d sec ramase pana la expirarea MUTE-ului. 
%d 시간 %d 초 동안 채팅금지 상태입니다	%d ore %d sec ramase pana la expirarea MUTE-ului. 
%d 종류 %d 마리 낚음	Ai prins %d de %d. 
%d 초 동안 채팅금지 상태입니다	%d secunde ramase pana la deblocarea chatului 
%d 초 후에 군주의 축복을 사용할 수 있습니다	Binecuvвntarea оmpгratului poate fi folositг dupг %d sec. 
%d 초간 쿨타임이 적용중입니다.	Timp de cooldown de aproximativ %d secunde 
%d 초후 목적지로 이동됩니다.	%d secunde de la executare ajungi la locul cu pricina. 
%d%% 확률로 관통 공격	Atac pгtrunzгtor cu єansa %d%% 
%d%% 확률로 적퇴치시 경험치 추가 상승	Creєterea experienюei cu %d%% оn cazul оnfrвngerii inamicului. 
%d%% 확률로 적퇴치시 돈 2배 드롭	Creєterea Yang-ului capturat cu %d%% оn cazul оnfrвngerii inamicului. 
%d%% 확률로 적퇴치시 생명력 회복	%d%% єansг de a-юi umple PV dupг o victorie. 
%d%% 확률로 적퇴치시 아이템 2배 드롭	Creєterea obiectelor capturate cu %d%% оn cazul оnfrвngerii inamicului. 
%d%% 확률로 적퇴치시 정신력 회복	Creєtere mana cu %d%% оn cazul оnfrвngerii inamicului. 
%d%% 확률로 치명타 공격	Atac critic cu єansa %d%% 
%d%% 확률로 타격시 상대 전신력 소모	Mana este luatг de la inamic cu o probabilitate de %d%%. 
%d%% 확률로 피해시 정신력 회복	Probabilitate de absorbire mana %d%%. 
%d분의 결제시간이 추가 되었습니다. (결제번호 %d)	Contului tгu оi este adгugat %d timp de joc. (Nr. platг %d) 
%d의 경험치를 획득했습니다.	Ai primit %d experienюг. 
%d초 남았습니다.	%d secunde pвnг la final. 
%d초 만큼 충전되었습니다.	%d de secunde au fost adaugate. 
%d초 후 게임이 셧다운 됩니다.	Jocul se sfвrєeєte оn %d secunde. 
%s : %d 마리	%s: %d 
%s SP소모: %d	%s Consum de FP: %d 
%s killcount %d mobkillcount %d bosskillcount %d 성지 진입수 %d	%s killcount %d mobkillcount %d bosskillcount %d Numгr Pгmвnt Sfвnt %d 
%s 군주 후보에서 삭제하였습니다	%s a fost єters ca єi candidat ca оmpгrat. 
%s 군주로 입명 했습니다.	%s este numit оmpгrat. 
%s 군주르 제거 하였습니다..	Оmpгratul %s este оnlгturat. 
%s 군주를 제거 할수 없습니다.	Оmpгratul %s nu paote fi оnlгturat. 
%s 길드가 %s 길드에 선전포고를 하였습니다!	Breasla %s a declarat rгzboi breslei %s! 
%s 길드가 %s 길드와의 전쟁에서 승리 했습니다.	Breasla %s a cвєtigat rгzboiul оmpotriva breslei %s. 
%s 길드가 %s 길드의 깃발을 빼앗았습니다!	%s a cucerit steagul %s! 
%s 길드와 %s 길드 사이의 전쟁이 무승부로 끝났습니다.	Rгzboiul dintre breslele %s єi %s s-a terminat la egalitate. 
%s 길드와 %s 길드 사이의 전쟁이 취소되었습니다.	Rгzboiul оntrebreslele  %s єi %s a fost оntrerupt. 
%s 길드와 %s 길드가 잠시 후 전쟁을 시작합니다!	Rгzboiul оntre %s єi %s оncepe оn cвteva minute. 
%s 길드와 %s 길드가 전쟁을 시작하였습니다!	Rгzboiul оntre breslele %s єi %s a оnceput! 
%s 길드의 %s이 %d%% 증가했습니다!	%s al breslei %s a crescut cu %d%%! 
%s 길드의 %s이 정상으로 돌아왔습니다.	%s al breslei %s s-a normalizat. 
%s 길드의 깃발을 %s 님이 획득하였습니다.	Steagul breslei %s a fost furat de %s. 
%s 는 군주 후보가 아닙니다.	%s nu este candidat ca оmpгrat. 
%s 는 군주로 입명할수 없습니다 .	%s nu poate fi numit оmpгrat. 
%s 님과의 교환이 성사 되었습니다.	Negoюul cu %s a reuєit. 
%s 님에게 파티가입 신청을 했습니다.	Doreєti sг te alгturi grupei lui %s. 
%s 님으로 부터 친구 등록을 거부 당했습니다.	%s a refuzat invitaюia. 
%s 님은 %d 채널에 접속 중 입니다. (현재 채널: %d)	Jucгtorul %s se aflг оn canalul %d. (Canalul tгu: %d) 
%s 님은 접속되 있지 않습니다.	%s nu este online. 
%s 님은 정상적으로 출마를 하였습니다.	Jucгtorul %s este deja оn alegere. 
%s 님을 소환하였습니다.	Ai recrutat %s jucгtori. 
%s 님이 대련에서 승리하였습니다.	%s a cвєtigat duelul. 
%s 님이 승리하였습니다.	%s a cвєtigat. 
%s 블럭! (%d%%)	Blocheazг %s! (%d%%) 
%s 아이템 을 획득하셨습니다	Ai cгєtigat obiectul %s. 
%s 아이템이 필요합니다	Ai nevoie de %s. 
%s 에게로 이동합니다	Tragere la jucгtorul %s. 
%s 회피! (%d%%)	Eschiveazг %s! (%d%%) 
%s: 존재하지 않는 길드 입니다.	%s: Aceastг breaslг nu existг. 
%s[%d]가 공격 위치: %d %d	%s[%d] Pozitie de atac: %d %d 
%s님과의 대결 시작!	Lupta cu %s a оnceput! 
%s님이 대결신청을 했습니다. 승낙하려면 대결동의를 하세요.	%s te-a provocat la luptг! 
%s님이 주사위를 굴려 %d가 나왔습니다. (%d-%d)	%s zaruri aruncate. El/ea a primit %d (%d-%d). 
%s를 구웠습니다.	Prгjeєti %s deasupra focului. 
%s에 박혀있던 보석이 사라집니다.	Pietrele preюioase din %s au dispгrut. 
%s에 전쟁의 시작을 알리는 봉화가 나타났습니다.	La %s s-a aprins un foc de iluminare pentru a avertiza оn legгturг cu o luptг. 
%s에게 대결신청을 했습니다.	L-ai provocat pe %s la luptг. 
%s에서 봉화를 둘러싸고 전투가 진행중입니다.	Оn %s este rгzboi pentru a aprinde focurile de iluminare. 
%s에서 소켓 빠질때까지 남은 시간 %d	Timp ramas pana la inlaturarea soket-ului din %s: %d 
%s의 %s이 %d%% 증가했습니다!	%s: %s a crescut cu %d%%! 
%s의 %s이 정상으로 돌아왔습니다.	%s al lui %s s-a normalizat. 
%s의 군주가 %s 님으로 교체되었습니다.	Оmpгratul lui %s a fost schimbat оn %s. 
%s이 모든 봉화를 파괴하였습니다.	%s a distrus toate focurile de iluminare. 
%s이 봉화를 파괴했습니다.	%s a distrus focul de iluminare. 
%s이 수성에 성공했습니다.	Lui %s i-a reuєit apгrarea. 
%s이 수성에 실패하여 전쟁에 패배하였습니다..	%s a pierdut rгzboiul pentru ca nu au putut sг apere castelul. 
%s이 필요합니다.	Pentru aceasta actiune ai nevoie de: %s 
<길드> 직위 권한을 변경할 권한이 없습니다.	<Breasla> Nu ai dreptul sг оюi schimbi poziюia de putere. 
<길드> 직위 이름을 변경할 권한이 없습니다.	<Breasla> Nu ai dreptul sг оюi schimbi numele gradului. 
<길드> 직위를 변경할 권한이 없습니다.	<Breasla> Nu ai dreptul sa iti schimbi pozitia. 
<길드> 최대 길드원 수를 초과했습니다.	<Breasla> S-a atins capacitatea maximг a breslei. 
<길드> 쿨타임이 끝나지 않아 길드 스킬을 사용할 수 없습니다.	<Breasla> Nu poюi folosi оncг competenюa breslei. 
<길드> 탈퇴한 후 %d일 이내에는 길드를 만들 수 없습니다.	<Breasla> Nu poюi forma o breaslг nouг timp de %d zile de la pгrгsirea unei bresle. 
<길드> 탈퇴한 후 %d일이 지나지 않은 사람은 길드에 초대할 수 없습니다.	<Breasla> Mai poюi invita acest jucгtor abia peste %d zile. 
<길드> 해산한 후 %d일 이내에는 길드를 만들 수 없습니다.	<Breasla> Nu poюi forma o breaslг nouг timp de %d zile de la desfiinюarea unei bresle. 
<길드> 현재 길드가 전쟁 중 입니다.	<Guild> Aceastг breaslг se aflг оn momentul de fata оntr-o bгtгlie. 
<메신져> %s 님을 메신저에서 삭제하였습니다.	<Prieteni> L-ai єters pe %s din listг. 
<메신져> %s 님을 친구로 추가하였습니다.	<Prieteni> L-ai adгugat pe %s ca prieten. 
<메신져> 운영자는 메신져에 추가할 수 없습니다.	<Prieteni> Nu poюi adгuga un GM оn lista ta. 
<창고> 거리가 멀어서 창고를 열 수 없습니다.	<Magazie> Eєti prea departe pentru a deschide Magazia. 
<창고> 기존 비밀번호가 틀렸습니다.	<Lagгr> Ai introdus parola greєitг. 
<창고> 옮길 수 없는 위치입니다.	<Lagгr> Nici o miєcare posibilг. 
<창고> 이 아이템은 넣을 수 없습니다.	<Lagгr> Obiectul nu poate fi depozitat. 
<창고> 잘못된 암호를 입력하셨습니다.	<Lagгr> Ai introdus o parolг greєitг. 
<창고> 창고 비밀번호가 변경되었습니다.	<Magazie> Parola magaziei a fost modificatг. 
<창고> 창고가 이미 열려있습니다.	<Lagгr> Lagгrul este deschis deja. 
<창고> 창고로 옮길 수 없는 아이템 입니다.	<Magazie> Nu poюi muta aceste obiecte оn magazia ta. 
<창고> 창고를 닫은지 10초 안에는 열 수 없습니다.	<Lagгr> Trebuie sг aєtepюi 10 secunde pentru a deschide lagгrul. 
<퀘스트> 이전에 같은 보상을 받은 적이 있어 다시 받지 않습니다.	<Quest> Юi-ai primit deja recompensa. 
<파티> %s 님이 파티 거부 상태입니다.	<Grupг> %s refuzг invitaюia. 
<파티> %s님의 파티에 참가하셨습니다.	<Grupг> %s s-a alгturat grupei tale. 
<파티> %s님이 파티 초대를 거절하셨습니다.	<Grup> %s a refuzat invitatia. 
<파티> %s님이 파티에 참가하셨습니다.	<Grupг> %s s-a alгturat grupei tale. 
<파티> -30 ~ +30 레벨 이내의 상대방만 초대할 수 있습니다.	<Grupг> Pot fi invitaюi doar jucгtori cu diferenюa de nivel -30-30 
<파티> 관전 모드에선 파티 초대를 할 수 없습니다.	<Grupг> Nu poюi face o invitaюie оn modul spectator. 
<파티> 다른 제국과 파티를 이룰 수 없습니다.	<Grupг> Nu poюi forma o grupг cu jucгtori ai altui regat. 
<파티> 다른 파티원을 탈퇴시킬 수 없습니다.	<Grupг> Nu poюi exclude membrii grupei. 
<파티> 대상을 소환할 수 없습니다.	<Grupг> Nu poюi striga юinta. 
<파티> 더 이상 파티원을 초대할 수 없습니다.	<Grupг> Nu mai poюi invita alюi jucгtori оn grupг. 
<파티> 던전 안에서는 파티 초대를 할 수 없습니다.	<Grupг> Nu poюi face o invitaюie оntr-o temniюг. 
<파티> 던전 안에서는 파티 초대에 응할 수 없습니다.	<Grupг> Nu poюi accepta o invitaюie оntr-o temniюг. 
<파티> 던전 안에서는 파티에서 나갈 수 없습니다.	<Grupa> Nu poюi pгrгsi grupa оntr-o temniюг. 
<파티> 던전 안에서는 파티에서 추방할 수 없습니다.	<Grupг> Оn temniюг nu poюi exclude niciun jucгtor. 
<파티> 던젼내에서는 파티를 나갈 수 없습니다.	<Grupг> Nu poюi pгrгsi o grupг оn temniюг. 
<파티> 던젼내에서는 파티원을 추방할 수 없습니다.	<Grupг> Оn temniюг nu poюi exclude niciun jucгtor. 
<파티> 리더만 변경할 수 있습니다.	<Grupг> Doar conducгtorul grupei poate schimba asta. 
<파티> 상태를 변경하려는 사람이 파티원이 아닙니다.	<Grupг> Юinta nu este membru al grupei tale. 
<파티> 서버 문제로 파티 관련 처리를 할 수 없습니다.	<Grupa> Serverul nu poate prelucra sarcina grupei. 
<파티> 소환하려는 대상을 찾을 수 없습니다.	<Grupг> Юinta nu a fost gгsitг. 
<파티> 이미 %s님은 파티에 속해 있습니다.	<Grupг> %s este deja оn grupг. 
<파티> 파티 기술은 파티장만 사용할 수 있습니다.	<Grupг> Competenюele grupei stau doar conducгtorului ei la dispoziюie. 
<파티> 파티 초대에 응할 수 없습니다.	<Grupг> Nu eєti оn mгsurг sг accepюi invitaюia. 
<파티> 파티가 해산 되었습니다.	<Grupг> Grupa s-a desfiinюat. 
<파티> 파티내 최고 레벨 보다 30레벨이 낮아 초대할 수 없습니다.	<Grupг> Nu poюi invita jucгtorul, deoarece nivelul sгu este prea scгzut. 
<파티> 파티내 최저 레벨 보다 30레벨이 높아 초대할 수 없습니다.	<Grupг> Nu poюi invita jucгtorul, deoarece nivelul sгu este prea оnalt. 
<파티> 파티에서 나가셨습니다.	<Grupa> Ai pгrгsit grupa. 
<파티> 파티에서 추방당하셨습니다.	<Grupг> Ai fost exclus din grupг. 
<파티> 파티요청을 한 캐릭터를 찾을수 없습니다.	<Grupг> Jucгtorul care a rostit invitaюia nu este online. 
<파티> 파티원을 초대할 수 있는 권한이 없습니다.	<Grupг> Nu ai dreptul sг faci o invitaюie. 
<파티> 파티원을 현재 위치로 소환할 수 없습니다.	<Grupг> Nu poюi striga membrii grupei la poziюia ta actualг. 
<파티> 파티의 인원제한이 초과하여 파티에 참가할 수 없습니다.	<Grupг> Nu te poюi alгtura grupei deoarece este plinг. 
O 입니다	Da (O) 
OX 문제 스크립트 로딩 성공	OX Quiz Script a fost оncгrcat. 
OX 문제 스크립트 로딩 실패	OX Quiz Script nu a putut fi оncгrcat. 
OX 상품을 지급하였습니다. ID: %d 수량: %d	OX Premiul a fost оnmвnat. ID: %d Quantity: %d 
OX 이벤트가 시작되었습니다.	OX Event a оnceput. 
OX 이벤트가 이미 진행중입니다(flag: %d)	Evenimentul are deja loc (Dlag: %d) 
OX 이벤트를 마치겟습니다.	OX Evenimentul va lua sfвrєit. 
OX이벤트 맵을 먼저 닫아 주세요.(Flag: %d)	Оntвi оnchide harta evenimentului OX.(Flag: %d) 
OX이벤트가 닫히지 않았거나, 퀴즈 출제중입니다.(flag: %d)	OX Evenimentul оncг nu s-a sfвrєit. A apгrut p eroare.(flag: %d) 
OX이벤트가 열려 있지 않거나 문제 출제중입니다.(Flag: %d)	Evenimentul OX a luat sfвrєit. Nu au apгrut erori.(Flag: %d) 
OX이벤트를 강제 종료 시킵니다.	OX Evenimentul va fi sfвrєit. 
OX이벤트의 나머지 인원 기록을 실패했습니다.	OX Ceilalюi participanюi la eveniment nu au fost notaюi. 
OX이벤트의 나머지 인원을 기록하였습니다.	OX Ceilalюi participanюi la eveniment sunt notaюi. 
TEST : 현재 국고 : %d	TEST: Оn seiful regatului tгu se aflг: %d 
TEST : 황금두꺼비가 국고로 환원되었습니다.	TEST: Lingoul de aur a fost returnat seif-ului regatului tгu. 
TEST : 황금두꺼비를 국고로 환원할 수 없습니다.	TEST: Nu poюi returna lingoul de aur seiful-ui regatului tгu. 
X 입니다	Nu (X) 
[%s군주] : %s	[%sMonarh] : %s 
[%s군주] : %s  보유금액 %lld	[%sMonarh] : %s Avere Yang %lld 
[TEST_ONLY]현재 국고 : %d	[TEST_ONLY]Impozit: %d 
가만히 있을 때만 착용할 수 있습니다.	Trebuie sг stai pe loc pentru a echipa obiectul. 
각제국 진행 정보	Informaюii de succes ale regatelor. 
감지기를 작용하였으나 감지되는 영석이 없습니다.	Momentan nu este nicio Piatra Metin pe aceasta harta. 
갑옷을 벗어야 개인 상점을 열 수 있습니다.	Poюi deschide magazinul dacг dezbraci armura. 
값을 잘못 입력하였습니다.	Ai introdus o valoare greєitг. 
강화에 성공했습니다.	Intarirea a fost facuta cu succes. 
강화에 실패했습니다.	Intarirea a esuat. 
강화에 필요한 재료가 아닙니다.	Nu ai materialele necesare pentru intarirea Pietrei Dragon. 
강화창을 연 상태에서는 아이템을 옮길 수 없습니다.	Nu poti muta obiectul in cadrul ferestrei de rafinament. 
강화할 수 없는 용혼석입니다.	Aceasta Piatra Dragon nu poate fi folosita pentru intarire. 
같은 개량서를 합칠 수는 없습니다.	Nu poюi uni pergamente ale оmbunгtгюirii identice. 
같은 종류의 메틴석은 여러개 부착할 수 없습니다.	Nu poюi atasa mai multe pietre de acelasi fel. 
같은 종류의 유니크 아이템 두 개를 동시에 장착할 수 없습니다.	Nu poюi echipa acest obiect de douг ori. 
같이 지을 수 없는 종류의 건물이 지어져 있습니다.	Acest tip de clгdire poate fi construit doar o datг. 
개량된 후 아이템의 레벨 제한보다 레벨이 낮습니다.	Nivelul tгu este prea scгzut pentru a folosi acest obiect. 
개량을 하기 위한 돈이 부족합니다.	Nu ai suficient Yang. 
개량을 하기 위한 재료가 부족합니다.	Nu ai materialul potrivit pentru a produce asta. 
개인상점 사용후 %d초 이내에는 귀환부,귀환기억부를 사용할 수 없습니다.	Dupг deschiderea lagгrului nu poюi folosi pergamentul 'Оnapoi' timp de %d secunde. 
거래 후 %d초 이내에 창고를 열수 없습니다.	Dupг un tвrg, trebuie sг aєtepюi %d secunde оnainte de a deschide un magazin. 
거래 후 %d초 이내에는 귀환부,귀환기억부등을 사용할 수 없습니다.	Dupг negoю nu poюi folosi pergamentul 'Оnapoi' pentru %d secunde. 
거래 후 %d초 이내에는 다른지역으로 이동 할 수 없습니다.	Timp de %d secunde de la negoю nu poюi pleca altundeva. 
거래창,창고 등을 연 상태에서는 귀환부,귀환기억부 를 사용할수 없습니다.	Nu poюi folosi pergamentele Оnapoi atвta timp cвt este deschisг altг fereastrг. 
거래창,창고 등을 연 상태에서는 다른곳으로 이동,종료 할수 없습니다	Dupг negoю nu poюi pleca altundeva pentru un anumit timp. 
거래창,창고 등을 연 상태에서는 보따리,비단보따리를 사용할수 없습니다.	Nu poюi deschide un lagгr atвta timp cвt este deschisг altг fereastrг. 
거짓	FALSE 
건물 비용 정보 이상으로 건설 작업에 실패했습니다.	Construcюia eєuatг datoritг unui preю de construcюie greєit. 
건물을 지을 수 없는 위치입니다.	Aici nu poюi construi. 
건설 비용이 부족합니다.	Nu ai destul Yang pentru a construi clгdirea. 
건설에 필요한 건물이 지어져 있지 않습니다.	Clгdirea principalг trebuie construitг оntвi. 
게임을 종료 합니다. 잠시만 기다리세요.	Vei fi deconectat de la server. Aєteaptг. 
결재기간이 %d분 후 만료 됩니다.	Timpul de joc оюi expirг оn %d minute. 
결혼 상태가 아니면 결혼반지를 사용할 수 없습니다.	Nu poюi purta un inel de cununie dacг nu eєti cгsгtorit. 
결혼식이 종료됩니다.	Nunta ia оn curвnd sfвrєit. 
결혼하지 않은 상태에서 예물을 착용할 수 없습니다.	Nu poюi folosi acest obiect dacг nu eєti cгsгtorit. 
경험치 %d%%	Experienюг %d%% 
경험치 %d%% 추가 획득 이벤트 중입니다.	Bonusul de experienta este in momentul de fata de %d%% 
경험치 배율	Procentaj pentru punctele de experienюг 
경험치가 부족하여 책을 읽을 수 없습니다.	Nu o poюi citi datoritг lipsei de experienюг. 
고기가 미끼만 빼먹고 잽싸게 도망칩니다.	Ai pierdut momeala. 
고기가 잡혔습니다! (%s)	Ai prins un peєte! (%s) 
고기가 흔적도 없이 사라집니다.	Peєtele a dispгrut оn adвncurile apei. 
곡괭이 수련도가 최대(%d)가 되었습니다.	Punctele de exploatare au ajuns la maxim. (%d) 
곡괭이가 최대 수련도에 도달하였습니다.	Punctele de exploatare au ajuns la un nivel maxim. 
곡괭이를 들고 있지 않아서 캘 수 없습니다.	Nu poюi exploata nimic fгrг tвrnгcop. 
곡괭이를 장착하세요.	Ai nevoie de tоrnгcop pentru a extrage minereu! 
곡괭이의 수련도가 증가하였습니다! (%d/%d)	Punctele tale de exploatare au crescut! (%d%d) 
골드 드롭률 %d%% 추가 이벤트 중입니다.	Nivelul de drop Yang este оn momentul de faюг plus %d%% 
공격력 +%d	Putere de atac + %d 
공격력 +%d%%	Atac + %d%% 
공격속도 +%d	Vitezг de atac +%d 
공부하기 싫어지네.	Nu vreau sг оnvгю mai departe. 
관전 모드로 길드전에 참가하셨습니다.	Poюi participa la luptг оn modul spectator. 
관전 상태에서는 교환을 할 수 없습니다.	Nu poюi negocia la observare. 
관통 추가 데미지 %d	Pagubг arme albe plus %d 
국고에 돈이 부족하거나 돈을 가져올수 없는 상황입니다	Nu ai destul Yang. 
국고에 돈이 부족합니다. 현재 : %u 필요금액 : %u	Lipsг de impozite. Capital actual: %u capital lipsг: %u 
국고에 자금이 모자랍니다 국고 : %d	Оncasгri din impozite insuficiente: %d 
군주 정보	Inormaюiile оmpгratului 
군주가 내린 축복으로 모든 에너지가 가득 채워집니다	Datoritг binecuvвntгrii оmpгratului, energia va fi aruncatг оnapoi. 
군주만이 사용 가능한 기능입니다	Aceastг funcюie poate fi folositг doar de оmpгrat. 
군주만이 사용가능 한 기능입니다	Doar оmpгratul poate folosi asta. 
군주만이 사용할수 있는 기능입니다	Doar un оmpгrat poate folosi asta. 
군주의 금강권 영향으로 이지역 %s 유저는 3분간 10 %% 의 방어력이  증가됩니다	Prin domnitorul Geum-Gang-Gwon, jucгtorului %s оi este crescutг armura оn acest юinut cu 10 %% timp de 3 minute. 
군주의 사자후 영향으로 이지역 %s 유저는 3분간 10 %% 의 공격력이  증가됩니다	Prin domnitorul Sa-Za-Hu, jucгtorului %s оi este crescutг puterea de atac оn acest юinut cu 10 %% timp de 3 minute. 
군주의 자격을 가지고 있지 않습니다	Nu ai calificarea unui оmpгrat. 
군주의 축복으로 이지역 %s 유저는 HP,SP가 모두 채워집니다.	La folosirea binecuvвntгrii monarhului %s sunt refгcute PV єi PM. 
군주의 축복을 사용하였습니다.	Binecuvвntarea оmpгratului este activг. 
군직이 맞지않아 이 아이템을 사용할 수 없습니다.	Nu оndeplineєti condiюiile pentru a folosi acest item. 
귀환에 실패하였습니다.	Teleportare eєuatг. 
그것으로 수련은 끝난 거야!	Antrenamentul s-a terminat. 
그래, 이 느낌이야. 체내에 기가 아주 충만해.	Se simte bine. Corpul meu e plin de Chi. 
그래, 천천히. 좀더 천천히, 그러나 막힘 없이 빠르게!	Cam оncet... dar continuu... fгrг oprire! 
그랜드 마스터 수련을 할 수 없는 스킬입니다.	Nu poюi antrena aceastг competenюг pвnг la Mare Maestru. 
그런 명령어는 없습니다	Aceastг comandг nu existг. 
그런 사람이 없습니다.	Aceastг persoanг nu existг. 
그런 이름 또는 번호의 길드가 없습니다.	O breaslг nu acest nume sau numгr nu existг. 
근력 +%d	Putere +%d 
근력이 낮아 착용할 수 없습니다.	Nu eєti destul de puternic pentru a echipa acest obiect. 
금액이 부족합니다.	Yang insuficient. 
기억된 위치가 타제국에 속해 있어서 귀환할 수 없습니다.	Nu te poюi teleporta оntr-un punct sigur оntr-un regat strгin. 
기억해 둘 수 없는 위치 입니다.	Nu poюi stoca aceastг locaюie. 
기절하지 않음 %d%%	Fгrг zгpгcealг %d%% 
길드에 가입하지 않았습니다.	Nu te-ai alгturat breslei. 
길드원	Member 
길드장	Leader 
길드전에 참가한 상대방 길드원이 아무도 없습니다.	Nu existг inamici. 
길드전이 일찍 종료되어 무승부로 판정 되었습니다. (5분이 지나지 않음)	Deoarece rгzboiul s-a terminat mai devreme, s-a terminat cu o remizг. 
꿈속에서 어떻게요?	Оn visele mele? Cum? 
나무꾼를 통해 다음 레벨의 곡괭이로 업그레이드 할 수 있습니다.	Poюi merge la tгietorul de lemne Deokbae pentru a-юi upgrada Toporul. 
나무에서 부터 신비한 빛이 나옵니다.	O luminг misticг apare din copac. 
나보다 너무 높은 레벨의 몬스터로는 변신 할 수 없습니다.	Nu te poюi transforma оntr-un monstru cu un nivel mai mare ca al tгu. 
나의 군주 정보	Informaюiile оmpгratului ale mele. 
나의 삼거리 진행정보	Informaюii despre lupta regatelor. 
낚시 중에 미끼를 갈아끼울 수 없습니다.	Nu poюi schimba momeala оn timpul pescuitului. 
낚시대가 아닌 물건으로 낚시를 할 수 없습니다!	Nu poюi pescui fгrг undiюг! 
낚시대가 최대 수련도에 도달하였습니다.	Ai atins numгrul maxim de puncte de pescuit. 
낚시대를 장착 하세요.	Alege o undiюг. 
낚시대에 %s를 미끼로 끼웁니다.	Ai agгюat %s оn cвrlig ca momealг. 
낚시대의 수련도가 증가하였습니다! (%d/%d)	Punctele tale de pescuit au crescut! (%d/%d) 
낚시를 할 수 있는 곳이 아닙니다	Nu poюi pescui aici. 
낚시이벤트월척붕어	Eveniment pescгresc 'Cel mai bun pescar' 
낚시이벤트잉어	Eveniment pescгresc 'Puterea liniєtii' 
남은 생명력 양이 모자라 사용할 수 없습니다.	Nu ai destule PV. 
남은 스탯 포인트가 없습니다.	Nu au mai rгmas puncte de status. 
남은 스탯 포인트가 적습니다.	Au mai rгmas prea puюine puncte de status. 
남은 정신력 양이 모자라 사용할 수 없습니다.	Nu ai destulг mana pentru a folosi asta. 
너무 가까이 있습니다.	Eєti prea aproape. 
너무 멀리 있습니다	Eєti prea departe. 
넘어지지 않음 %d%%	Fгrг cгzгturг %d%% 
녀석들은 이곳 성지에 있을 자격을 잃었다. 모두 성지에서 물러나거라~~[ENTER][ENTER] 10초 후에 모두 마을로 이동하게 됩니다.	Nu ai dreptul sг fii aici. Dispari! Dupг 10 secunde vei fi trimis оn satul tгu. 
느려지지 않음 %d%%	Fгrг оncetinire %d%% 
님의 말	Cal 
다 읽었다! 이제 비급에 적혀있는 대로 전신에 기를 돌리기만 하면,	Am citit-o! Acum trebuie sг se оmprгєtie Chi-ul оn corpul meu. 
다른 거래중(창고,교환,상점)에는 개인상점을 사용할 수 없습니다.	Nu poюi folosi acum niciun magazin privat 
다른 거래중(창고,교환,상점)에는 사용할 수 없습니다.	Nu poюi crea dacг mai este deschisг o fereastrг de negoю-lagгr. 
다른 거래중일경우 개인상점을 열수가 없습니다.	Nu poюi deschide un magazin atвta timp cвt negociezi. 
다른 거래창이 열려있을경우 거래를 할수 없습니다.	Nu poюi negocia cгnd sunt deschise ferestrele de negoю. 
다른 거래창이 열린상태에서는 상점거래를 할수 가 없습니다.	Nu poюi negocia оn magazin atвta timp cвt este deschisг o fereastrг de negoю. 
다른 제국 유저는 소환할 수 없습니다.	Nu poюi recruta jucгtori din alte regate. 
다른 컴퓨터에서 로그인 하여 접속을 종료 합니다.	Cineva a intrat cu contul tгu. Vei fi deconectat. 
다른거래창이 열린상태에서는 창고를 열수가 없습니다.	Nu poюi deschide niciun lagгr atвta timp cвt este deschisг o fereastrг de negoю. 
다음 문제 준비해주세요.	Pregгtit pentru urmгtoarea оntrebare? 
다이아몬드로 소켓을 추가해야합니다.	Trebuie sг adaugi un suport dacг vrei sг foloseєti un diamant. 
단계 개량에 성공했습니다.	Imbunatatirea nivelului de claritate efectuat cu succes. 
단계 개량에 실패했습니다.	Imbunatatirea nivelului de claritate efectuat a esuat. 
단계 개량에 필요한 재료가 아닙니다.	Acest obiect nu este necesar pentru rafinare. 
단계 개량할 수 없는 용혼석입니다.	Piatra Dragonului nu poate fi folosita pentru rafinare. 
닫기	Оnchide 
당신이 주사위를 굴려 %d가 나왔습니다. (%d-%d)	Ai aruncat zarurile. Ai primit %d (%d-%d). 
대련 강제 종료 성공	Deul оntrerupt cu succes. 
대련 강제 종료 실패	Duelul a fost оntrerupt fгrг succes. 
대련 상대가 사라져 대련을 종료합니다.	Duelul a fost оncheiat deoarece inamicul tгu a dispгrut. 
대련 시간 초과로 대련을 중단합니다.	Duelul va fi оncheiat deoarece limita de timp a fost depгєitг. 
대련 시작에 문제가 있습니다.	Existг o problemг pentru a оncepe duelul. 
대련 중에는 이용할 수 없는 물품입니다.	Nu poюi folosi acest obiect оn duel. 
대련이 성공적으로 시작 되었습니다.	Оnceput de duel reuєit. 
대련이 시작되었습니다.	Duelul a оnceput. 
대련자 문제로 인하여 대련을 종료합니다.	Duelul a luat sfвrєit deoarece a apгrut o problemг cu participantul la duel. 
대련자 문제로 인하여 대련을 중단합니다.	Duelul va fi oprit deoarece a apгrut o problema cu arena de duel. 
대련자가 없습니다.	Nu existг participanюi la duel. 
대련장 문제로 인하여 대련을 종료합니다.	Duelul va fi оncheiat deoarece a apгrut o problema cu arena de duel. 
