%d 권을 더 읽어야 수련을 완료 할 수 있습니다.	Sucesso! Já só preciso de mais %d Livros para o próximo nível. 
%d 냥을 투자하셨습니다.	Investiste %d Yang. 
%d 냥을 획득하셨습니다.	Ganhaste %d Yang. 
%d 레벨이 되어야 다시 염색하실 수 있습니다.	Tens de atingir o Nível %d para poderes pintar o teu cabelo novamente. 
%d 분 %d 초 동안 채팅금지 상태입니다	Faltam %d minutos e %d segundos para o teu bloqueio de chat passar. 
%d 시간 %d 분 %d 초 동안 채팅금지 상태입니다	Faltam %d horas, %d minutos e %d segundos para o bloqueio de chat passar. 
%d 시간 %d 초 동안 채팅금지 상태입니다	Faltam %d horas e %d segundos para o teu bloqueio de chat passar. 
%d 종류 %d 마리 낚음	Apanhaste %d de %d . 
%d 초 동안 채팅금지 상태입니다	Faltam %d segundos para o bloqueio do chat acabar. 
%d 초 후에 군주의 축복을 사용할 수 있습니다	Daqui a %d segundos poderás usar a Bênção dos Monarcas. 
%d 초간 쿨타임이 적용중입니다.	Tempo de Recuperação de aproximadamente %d segundos. 
%d 초후 목적지로 이동됩니다.	Irás chegar ao teu destino dentro de %d segundos. 
%d%% 확률로 관통 공격	%d%% de probabilidade de Ataque Perfurante. 
%d%% 확률로 적퇴치시 경험치 추가 상승	Se ganhares a tua Experiência será aumentada para %d%%. 
%d%% 확률로 적퇴치시 돈 2배 드롭	Se ganhares o teu Yang será aumentado para %d%%. 
%d%% 확률로 적퇴치시 생명력 회복	%d%% de probabilidade de encheres os Pontos de Vida depois de uma vitória. 
%d%% 확률로 적퇴치시 아이템 2배 드롭	Se ganhares a probabilidade de apanhares Itens será aumentada para %d%%. 
%d%% 확률로 적퇴치시 정신력 회복	Se ganhares a tua Mana (MN) será aumentada para %d%%. 
%d%% 확률로 치명타 공격	%d%% de probabilidade de Ataque Crítico. 
%d%% 확률로 타격시 상대 전신력 소모	Probabilidade de %d%% de Mana (Mana) ser roubada ao inimigo. 
%d%% 확률로 피해시 정신력 회복	%d%% de probabilidade de absorção de Mana (MN). 
%d분의 결제시간이 추가 되었습니다. (결제번호 %d)	%d de Tempo de Jogo acrescentado à tua conta. (número de pagamento %d) 
%d의 경험치를 획득했습니다.	Recebeste %d Pontos de Experiência. 
%d초 남았습니다.	%d segundos para o servidor desligar. 
%d초 만큼 충전되었습니다.	Foram adicionados %d segundos. 
%d초 후 게임이 셧다운 됩니다.	O jogo será fechado dentro de %d segundos. 
%s : %d 마리	%s: %d 
%s SP소모: %d	%s Utilização de FP: %d 
%s killcount %d mobkillcount %d bosskillcount %d 성지 진입수 %d	%s N.º Mortes %d N.º Mobs Mortos %d N.º Bosses Mortos %d N.º Terra Sagrada %d 
%s 군주 후보에서 삭제하였습니다	%s foi apagado da lista de Candidatos a Monarca. 
%s 군주로 입명 했습니다.	%s foi nomeado Monarca. 
%s 군주르 제거 하였습니다..	O Monarca do Reino %s foi exilado. 
%s 군주를 제거 할수 없습니다.	O Monarca do Reino %s não pode ser exilado. 
%s 길드가 %s 길드에 선전포고를 하였습니다!	A Guild %s declarou Guerra à Guild %s! 
%s 길드가 %s 길드와의 전쟁에서 승리 했습니다.	A Guild %s venceu a Guerra contra a Guild %s . 
%s 길드가 %s 길드의 깃발을 빼앗았습니다!	A Guild %s capturou a bandeira da Guild %s! 
%s 길드와 %s 길드 사이의 전쟁이 무승부로 끝났습니다.	A Guerra entre as Guilds %s e %s terminou com um empate. 
%s 길드와 %s 길드 사이의 전쟁이 취소되었습니다.	A Guerra entre as Guilds %s e %s foi cancelada. 
%s 길드와 %s 길드가 잠시 후 전쟁을 시작합니다!	A Guerra entre as Guilds %s e %s começará dentro de alguns minutos! 
%s 길드와 %s 길드가 전쟁을 시작하였습니다!	A Guerra entre as Guilds %s e %s começou! 
%s 길드의 %s이 %d%% 증가했습니다!	%s da Guild %s aumentou %d%% ! 
%s 길드의 %s이 정상으로 돌아왔습니다.	%s da Guild %s voltou ao normal. 
%s 길드의 깃발을 %s 님이 획득하였습니다.	A bandeira da Guild %s foi capturada pelo jogador %s. 
%s 는 군주 후보가 아닙니다.	%s não é um Candidato a Monarca. 
%s 는 군주로 입명할수 없습니다 .	%s não pode ser nomeado Monarca. 
%s 님과의 교환이 성사 되었습니다.	O negócio com %s foi bem sucedido. 
%s 님에게 파티가입 신청을 했습니다.	Queres juntar-te ao Grupo %s? 
%s 님으로 부터 친구 등록을 거부 당했습니다.	%s rejeitou o convite. 
%s 님은 %d 채널에 접속 중 입니다. (현재 채널: %d)	O jogador %s está neste momento no Canal %d (O teu Canal %d) 
%s 님은 접속되 있지 않습니다.	%s não está no jogo. 
%s 님은 정상적으로 출마를 하였습니다.	O jogador %s já está na votação. 
%s 님을 소환하였습니다.	Recrutaste %s jogadores. 
%s 님이 대련에서 승리하였습니다.	%s ganhou o Duelo. 
%s 님이 승리하였습니다.	%s ganhou. 
%s 블럭! (%d%%)	%s bloqueado! (%d%%) 
%s 아이템 을 획득하셨습니다	Ganhaste %s Itens. 
%s 아이템이 필요합니다	Precisas de %s. 
%s 에게로 이동합니다	Teleportar para %s. 
%s 회피! (%d%%)	%s evitado! (%d%%) 
%s: 존재하지 않는 길드 입니다.	%s: Esta Guild não existe. 
%s[%d]가 공격 위치: %d %d	%s[%d] Posição de Ataque: %d %d 
%s님과의 대결 시작!	A batalha com %s começou! 
%s님이 대결신청을 했습니다. 승낙하려면 대결동의를 하세요.	%s desafiou-te para uma batalha! 
%s님이 주사위를 굴려 %d가 나왔습니다. (%d-%d)	%s jogou os dados. Obteve %d (%d-%d). 
%s를 구웠습니다.	Colocaste %s na Fogueira. 
%s에 박혀있던 보석이 사라집니다.	Os minérios refinados de %s desaparecem. 
%s에 전쟁의 시작을 알리는 봉화가 나타났습니다.	Uma Tocha foi acesa em %s para anunciar uma batalha. 
%s에게 대결신청을 했습니다.	Desafiaste %s para uma batalha. 
%s에서 봉화를 둘러싸고 전투가 진행중입니다.	Estão a decorrer %s Guerras para acender as Tochas. 
%s에서 소켓 빠질때까지 남은 시간 %d	Tempo restante até à remoção do Socket de %s: %d 
%s의 %s이 %d%% 증가했습니다!	Os jogadores do Reino %s têm um aumento de %s em %d%% ! 
%s의 %s이 정상으로 돌아왔습니다.	Os jogadores do Reino %s têm %s normal de novo. 
%s의 군주가 %s 님으로 교체되었습니다.	O Monarca de %s mudou para %s 
%s이 모든 봉화를 파괴하였습니다.	%s destruiu a Tocha. 
%s이 봉화를 파괴했습니다.	%s destruiu a Tocha. 
%s이 수성에 성공했습니다.	%s conseguiu defender com sucesso. 
%s이 수성에 실패하여 전쟁에 패배하였습니다..	%s perderam a Guerra porque não conseguíram defender o Castelo. 
%s이 필요합니다.	Para fazer isto precisas de: %s 
<길드> 잠시후에 이용해주십시오.	<Guild> Por favor tenta de novo mais tarde. 
<길드> 장군을 지정할 권한이 없습니다.	<Guild> Não podes escolher o Líder. 
<길드> 적합하지 않은 직위 이름 입니다.	<Guild> Este nome de estatuto é inválido. 
<길드> 전비가 부족하여 길드전을 할 수 없습니다.	<Guild> Não existe Yang suficiente para participar numa Guerra de Guilds. 
<길드> 제공하고자 하는 경험치가 남은 경험치보다 많습니다.	<Guild> A Experiência doada é mais alta que a Experiência em falta. 
<길드> 직위 권한을 변경할 권한이 없습니다.	<Guild> Não podes alterar o teu estatuto. 
<길드> 직위 이름을 변경할 권한이 없습니다.	<Guild> Não podes alterar o nome do teu estatuto. 
<길드> 직위를 변경할 권한이 없습니다.	<Guild> Não podes alterar estatutos. 
<길드> 최대 길드원 수를 초과했습니다.	<Guild> A Guild atingiu a capacidade máxima de membros. 
<길드> 쿨타임이 끝나지 않아 길드 스킬을 사용할 수 없습니다.	<Guild> Ainda não podes usar as Habilidades de Guild. 
<길드> 탈퇴한 후 %d일 이내에는 길드를 만들 수 없습니다.	<Guild> Depois de sair de uma Guild não poderás criar uma por %d dias. 
<길드> 탈퇴한 후 %d일이 지나지 않은 사람은 길드에 초대할 수 없습니다.	<Guild> O jogador poderá ser convidado de novo daqui a %d dias. 
<길드> 해산한 후 %d일 이내에는 길드를 만들 수 없습니다.	<Guild> Depois de apagar uma Guild não poderás criar uma durante %d dias. 
<길드> 현재 길드가 전쟁 중 입니다.	<Guild> Esta guild já se encontra numa guerra. 
<메신져> %s 님을 메신저에서 삭제하였습니다.	<Amigos> Apagaste o jogador %s da tua Lista de Amigos. 
<메신져> %s 님을 친구로 추가하였습니다.	<Amigos> Adicionaste o jogador %s à tua Lista de Amigos. 
<메신져> 운영자는 메신져에 추가할 수 없습니다.	<Contactos> Não podes adicionar um GM à tua Lista de Amigos. 
<창고> 거리가 멀어서 창고를 열 수 없습니다.	<Armazém> Estás demasiado distante do Armazém para o abrir. 
<창고> 기존 비밀번호가 틀렸습니다.	<Armazém> Inseriste uma palavra-passe incorrecta. 
<창고> 옮길 수 없는 위치입니다.	<Armazém> Não é possível mover. 
<창고> 이 아이템은 넣을 수 없습니다.	<Armazém> O Item não pode ser armazenado. 
<창고> 잘못된 암호를 입력하셨습니다.	<Armazém> Inseriste uma palavra-passe incorrecta. 
<창고> 창고 비밀번호가 변경되었습니다.	<Armazém> Palavra-passe do Armazém foi alterada. 
<창고> 창고가 이미 열려있습니다.	<Armazém> O Armazém já se encontra aberto. 
<창고> 창고로 옮길 수 없는 아이템 입니다.	<Armazém> Não podes mover este Item para o teu Armazém. 
<창고> 창고를 닫은지 10초 안에는 열 수 없습니다.	<Armazém> Tens de esperar 10 segundos para abrir novamente o Armazém. 
<퀘스트> 이전에 같은 보상을 받은 적이 있어 다시 받지 않습니다.	<Missão> Tu já recebeste a tua recompensa. 
<파티> %s 님이 파티 거부 상태입니다.	<Grupo> %s rejeitou o convite para o teu Grupo. 
<파티> %s님의 파티에 참가하셨습니다.	<Grupo> %s juntou-se ao teu Grupo. 
<파티> %s님이 파티 초대를 거절하셨습니다.	<Grupo> %s recusou o teu convite. 
<파티> %s님이 파티에 참가하셨습니다.	<Grupo> %s juntou-se ao teu Grupo. 
<파티> -30 ~ +30 레벨 이내의 상대방만 초대할 수 있습니다.	<Grupo> Apenas poderás convidar jogadores dentro do limite de 30 níveis abaixo ou acima do teu. 
<파티> 관전 모드에선 파티 초대를 할 수 없습니다.	<Grupo> Não podes convidar um jogador enquanto estás Modo de Observação. 
<파티> 다른 제국과 파티를 이룰 수 없습니다.	<Grupo> Não podes fazer Grupo com jogadores de outros Reinos. 
<파티> 다른 파티원을 탈퇴시킬 수 없습니다.	<Grupo> Não podes excluir Membros do Grupo. 
<파티> 대상을 소환할 수 없습니다.	<Grupo> Não podes chamar o alvo. 
<파티> 더 이상 파티원을 초대할 수 없습니다.	<Grupo> Não podes convidar mais jogadores para o teu Grupo. 
<파티> 던전 안에서는 파티 초대를 할 수 없습니다.	<Grupo> Não podes convidar jogadores enquanto estás numa Caverna. 
<파티> 던전 안에서는 파티 초대에 응할 수 없습니다.	<Grupo> Não podes aceitar um convite quando está numa Caverna. 
<파티> 던전 안에서는 파티에서 나갈 수 없습니다.	<Grupo> Não podes abandonar um Grupo enquanto estás numa Caverna. 
<파티> 던전 안에서는 파티에서 추방할 수 없습니다.	<Grupo> Não podes expulsar um jogador enquanto estás numa Caverna. 
<파티> 던젼내에서는 파티를 나갈 수 없습니다.	<Grupo> Não podes abandonar um Grupo quando estás numa Caverna. 
<파티> 던젼내에서는 파티원을 추방할 수 없습니다.	<Grupo> Não podes expulsar um jogador enquanto estás numa Caverna. 
<파티> 리더만 변경할 수 있습니다.	<Grupo> Apenas o Líder do Grupo pode mudar isto. 
<파티> 상태를 변경하려는 사람이 파티원이 아닙니다.	<Grupo> O alvo não é membro do teu Grupo. 
<파티> 서버 문제로 파티 관련 처리를 할 수 없습니다.	<Grupo> O Servidor não pôde executar o pedido de Grupo. 
<파티> 소환하려는 대상을 찾을 수 없습니다.	<Grupo> O alvo não pôde ser encontrado. 
<파티> 이미 %s님은 파티에 속해 있습니다.	<Grupo> %s já está no Grupo. 
<파티> 파티 기술은 파티장만 사용할 수 있습니다.	<Grupo> Apenas o Líder do Grupo poderá usar as Habilidades de Grupo. 
<파티> 파티 초대에 응할 수 없습니다.	<Grupo> Não podes aceitar o convite. 
<파티> 파티가 해산 되었습니다.	<Grupo> O Grupo foi apagado. 
<파티> 파티내 최고 레벨 보다 30레벨이 낮아 초대할 수 없습니다.	<Grupo> Não podes convidar este jogador. O seu nível é demasiado baixo. 
<파티> 파티내 최저 레벨 보다 30레벨이 높아 초대할 수 없습니다.	<Grupo> Não podes convidar este jogador. O seu nível é demasiado alto. 
<파티> 파티에서 나가셨습니다.	<Grupo> Abandonaste o Grupo. 
<파티> 파티에서 추방당하셨습니다.	<Grupo> Foste excluído do grupo. 
<파티> 파티요청을 한 캐릭터를 찾을수 없습니다.	<Grupo> O jogador que enviou o convite não se encontra online. 
<파티> 파티원을 초대할 수 있는 권한이 없습니다.	<Grupo> Não tens permissão para convidar alguém. 
<파티> 파티원을 현재 위치로 소환할 수 없습니다.	<Grupo> Não podes chamar os Membros do Grupo para a tua localização actual. 
<파티> 파티의 인원제한이 초과하여 파티에 참가할 수 없습니다.	<Grupo> Não te podes juntar a este Grupo. O Grupo está cheio. 
O 입니다	Sim (O) 
OX 문제 스크립트 로딩 성공	O Script do Evento OX foi carregado. 
OX 문제 스크립트 로딩 실패	O Script do Evento OX não pôde ser carregado. 
OX 상품을 지급하였습니다. ID: %d 수량: %d	O prémio do Evento OX foi atribuído. ID: %d Quantidade: %d 
OX 이벤트가 시작되었습니다.	O Evento OX começou. 
