%d 권을 더 읽어야 수련을 완료 할 수 있습니다.	You have to read %d more skill books to improve this skill. 
%d 냥을 투자하셨습니다.	You have invested %d Yang. 
%d 냥을 획득하셨습니다.	You have won %d Yang. 
%d 레벨이 되어야 다시 염색하실 수 있습니다.	You need to have reached level %d to be able to dye your hair again. 
%d 분 %d 초 동안 채팅금지 상태입니다	%d minutes %d seconds left on your chat block 
%d 시간 %d 분 %d 초 동안 채팅금지 상태입니다	%d hours %d minutes %d seconds left on your chat block 
%d 시간 %d 초 동안 채팅금지 상태입니다	%d hours %d seconds left on your chat block 
%d 종류 %d 마리 낚음	You have caught %d of %d . 
%d 초 동안 채팅금지 상태입니다	%d seconds left on your chat block 
%d 초 후에 군주의 축복을 사용할 수 있습니다	After %d seconds you can use the Emperors Blessing. 
%d 초간 쿨타임이 적용중입니다.	Cooldown time for approximately %d seconds 
%d 초후 목적지로 이동됩니다.	You'll reach your destination in %d seconds. 
%d%% 확률로 관통 공격	Chance of a Speared Attack of %d%% 
%d%% 확률로 적퇴치시 경험치 추가 상승	Experience increases by %d%% if you win against an opponent. 
%d%% 확률로 적퇴치시 돈 2배 드롭	Increase of Yang up to %d%% if you win. 
%d%% 확률로 적퇴치시 생명력 회복	%d%% Chance of filling up Hit Points after a victory. 
%d%% 확률로 적퇴치시 아이템 2배 드롭	Increase of captured Items up to %d%% if you win. 
%d%% 확률로 적퇴치시 정신력 회복	Spell Points (SP) will be increased by %d%% if you win. 
%d%% 확률로 치명타 공격	Critical Attack with a chance of %d%% 
%d%% 확률로 타격시 상대 전신력 소모	With a chance of %d%% Spell Points (SP) will be taken from the enemy. 
%d%% 확률로 피해시 정신력 회복	Absorbing of Spell Points (SP) with a chance of %d%% 
%d분의 결제시간이 추가 되었습니다. (결제번호 %d)	%d Playtime added to your account. (Payment number %d) 
%d의 경험치를 획득했습니다.	You have received %d experience points. 
%d초 남았습니다.	%d seconds until Exit. 
%d초 만큼 충전되었습니다.	%d seconds have been added. 
%d초 후 게임이 셧다운 됩니다.	The game will be closed in %d seconds. 
%s : %d 마리	%s: %d 
%s SP소모: %d	%s FP-Consumption: %d 
%s killcount %d mobkillcount %d bosskillcount %d 성지 진입수 %d	%s killcount %d mobkillcount %d bosskillcount %d Number Holy Land %d 
%s 군주 후보에서 삭제하였습니다	%s is deleted as an Emperor Candidate. 
%s 군주로 입명 했습니다.	%s has been nominated as emperor. 
%s 군주르 제거 하였습니다..	The %s Emperor gets driven out. 
%s 군주를 제거 할수 없습니다.	The %s Emperor cannot be driven out. 
%s 길드가 %s 길드에 선전포고를 하였습니다!	The guild %s has declared war on %s! 
%s 길드가 %s 길드와의 전쟁에서 승리 했습니다.	%s has won the guild war against %s. 
%s 길드가 %s 길드의 깃발을 빼앗았습니다!	%s has captured the flag of %s! 
%s 길드와 %s 길드 사이의 전쟁이 무승부로 끝났습니다.	The guild war between %s and %s has ended in a draw. 
%s 길드와 %s 길드 사이의 전쟁이 취소되었습니다.	The guild war between %s and %s has been cancelled. 
%s 길드와 %s 길드가 잠시 후 전쟁을 시작합니다!	The guild war between %s and %s will start in a few minutes! 
%s 길드와 %s 길드가 전쟁을 시작하였습니다!	The guild war between %s and %s has begun! 
%s 길드의 %s이 %d%% 증가했습니다!	%s of the Guild %s raised up to %d%% ! 
%s 길드의 %s이 정상으로 돌아왔습니다.	%s of the Guild %s normal again. 
%s 길드의 깃발을 %s 님이 획득하였습니다.	The guild %s's flag has been stolen by player %s. 
%s 는 군주 후보가 아닙니다.	%s is not a candidate for the emperor elections. 
%s 는 군주로 입명할수 없습니다 .	%s cannot be nominated as emperor. 
%s 님과의 교환이 성사 되었습니다.	The trade with %s has been successful. 
%s 님에게 파티가입 신청을 했습니다.	You want to join %s's group. 
%s 님으로 부터 친구 등록을 거부 당했습니다.	%s declined the invitation. 
%s 님은 %d 채널에 접속 중 입니다. (현재 채널: %d)	The player %s is on channel %d at the moment. (Your channel: %d) 
%s 님은 접속되 있지 않습니다.	%s is not online. 
%s 님은 정상적으로 출마를 하였습니다.	%s player already in the vote. 
%s 님을 소환하였습니다.	You have recruited %s players. 
%s 님이 대련에서 승리하였습니다.	%s has won the duel. 
%s 님이 승리하였습니다.	%s has won. 
%s 블럭! (%d%%)	%s block! (%d%%) 
%s 아이템 을 획득하셨습니다	You have won %s items. 
%s 아이템이 필요합니다	You need %s. 
%s 에게로 이동합니다	Warp to player %s. 
%s 회피! (%d%%)	%s avoid! (%d%%) 
%s: 존재하지 않는 길드 입니다.	%s: This guild does not exist. 
%s[%d]가 공격 위치: %d %d	%s[%d]'s Attack Position: %d %d 
%s님과의 대결 시작!	The battle with %s has begun! 
%s님이 대결신청을 했습니다. 승낙하려면 대결동의를 하세요.	%s challenged you to a battle! 
%s님이 주사위를 굴려 %d가 나왔습니다. (%d-%d)	%s rolled dice. He/she got %d (%d-%d). 
%s를 구웠습니다.	You are roasting %s over the fire. 
%s에 박혀있던 보석이 사라집니다.	A gem made of %s has vanished. 
%s에 전쟁의 시작을 알리는 봉화가 나타났습니다.	A bonfire was inflamed at %s to warn because of a battle. 
%s에게 대결신청을 했습니다.	You have challenged %s to a battle. 
%s에서 봉화를 둘러싸고 전투가 진행중입니다.	There are %s wars to inflame the bonfires. 
%s에서 소켓 빠질때까지 남은 시간 %d	Time left until the removal of the socket of %s: %d 
%s의 %s이 %d%% 증가했습니다!	%s: %s has increased by %d%%! 
%s의 %s이 정상으로 돌아왔습니다.	%s 's %s normal again. 
%s의 군주가 %s 님으로 교체되었습니다.	The emperor of %s has changed to %s. 
%s이 모든 봉화를 파괴하였습니다.	%s has destroyed all the bonfires. 
%s이 봉화를 파괴했습니다.	%s has destroyed the bonfire. 
%s이 수성에 성공했습니다.	%s has successfully defended. 
%s이 수성에 실패하여 전쟁에 패배하였습니다..	%s lost the war as they have not been able to defend the castle. 
%s이 필요합니다.	For this action you need: %s 
<길드> 용신력 회복에 실패하였습니다.	<Guild> Dragon ghost was not restored. 
<길드> 용신력이 부족합니다. (%d, %d)	<Guild> Not enough Dragon Ghost. (%d, %d) 
<길드> 이미 같은 이름의 길드가 있습니다.	<Guild> This guild name is already taken. 
<길드> 이미 다른 전쟁에 참전 중 입니다.	<Guild> Your guild is already participating in another war. 
<길드> 이미 전쟁 중인 길드입니다.	<Guild> This guild is already participating in another war. 
<길드> 이미 전쟁이 예약된 길드 입니다.	<Guild> This Guild is already scheduled for another war. 
<길드> 잘못된 금액입니다.	<Guild> That is not the correct amount of Yang. 
<길드> 잠시후에 이용해주십시오	<Guild> Please try again later. 
<길드> 잠시후에 이용해주십시오.	<Guild> Please try again later. 
<길드> 장군을 지정할 권한이 없습니다.	<Guild> You do not have the authority to choose the guild leader. 
<길드> 적합하지 않은 직위 이름 입니다.	<Guild> This rank name is invalid. 
<길드> 전비가 부족하여 길드전을 할 수 없습니다.	<Guild> Not enough Yang to participate in a guild war. 
<길드> 제공하고자 하는 경험치가 남은 경험치보다 많습니다.	<Guild> Provided Experience is larger then left Experience. 
<길드> 직위 권한을 변경할 권한이 없습니다.	<Guild> You do not have the authority to change your position. 
<길드> 직위 이름을 변경할 권한이 없습니다.	<Guild> You do not have the authority to change your rank name. 
<길드> 직위를 변경할 권한이 없습니다.	<Guild> You do not have the authority to change the position. 
<길드> 최대 길드원 수를 초과했습니다.	<Guild> The maximum guild capacity has been reached. 
<길드> 쿨타임이 끝나지 않아 길드 스킬을 사용할 수 없습니다.	<Guild> You cannot use the guild skills yet. 
<길드> 탈퇴한 후 %d일 이내에는 길드를 만들 수 없습니다.	<Guild> After leaving a guild, you cannot create a new one for %d days. 
<길드> 탈퇴한 후 %d일이 지나지 않은 사람은 길드에 초대할 수 없습니다.	<Guild> This player can be invited again after %d days. 
<길드> 해산한 후 %d일 이내에는 길드를 만들 수 없습니다.	<Guild> After disbanding a guild, you cannot create a new one for %d days. 
<길드> 현재 길드가 전쟁 중 입니다.	<Guild> This guild is taking part in a battle at the moment. 
<메신져> %s 님을 메신저에서 삭제하였습니다.	<Friends> You have deleted %s from the list. 
<메신져> %s 님을 친구로 추가하였습니다.	<Friends> You have added %s as a friend. 
<메신져> 운영자는 메신져에 추가할 수 없습니다.	<Friends> You cannot add a GM to your list. 
<창고> 거리가 멀어서 창고를 열 수 없습니다.	<Storeroom> You are too far away to open the storeroom. 
<창고> 기존 비밀번호가 틀렸습니다.	<Storeroom> You have entered the wrong password. 
<창고> 옮길 수 없는 위치입니다.	<Storeroom> No movement possible. 
<창고> 이 아이템은 넣을 수 없습니다.	<Storeroom> The item cannot be stored. 
<창고> 잘못된 암호를 입력하셨습니다.	<Storeroom> You have entered an incorrect password. 
<창고> 창고 비밀번호가 변경되었습니다.	<Storeroom> Storeroom password has been changed. 
<창고> 창고가 이미 열려있습니다.	<Storeroom> The Storeroom is already open. 
<창고> 창고로 옮길 수 없는 아이템 입니다.	<Storeroom> You cannot move this item into your storeroom. 
<창고> 창고를 닫은지 10초 안에는 열 수 없습니다.	<Storeroom> You have to wait 10 seconds before you can open the Storeroom again. 
<퀘스트> 이전에 같은 보상을 받은 적이 있어 다시 받지 않습니다.	<Quest> You have already received your reward. 
<파티> %s 님이 파티 거부 상태입니다.	<Group> %s has declined your group invitation. 
<파티> %s님의 파티에 참가하셨습니다.	<Group> %s has joined your Group. 
<파티> %s님이 파티 초대를 거절하셨습니다.	<Group> %s has declined your invitation. 
<파티> %s님이 파티에 참가하셨습니다.	<Group> %s has joined your group. 
<파티> -30 ~ +30 레벨 이내의 상대방만 초대할 수 있습니다.	<Group> Only players with a level difference of -30 to +30 can be invited. 
<파티> 관전 모드에선 파티 초대를 할 수 없습니다.	<Group> You cannot invite a player while you are in observer mode. 
<파티> 다른 제국과 파티를 이룰 수 없습니다.	<Group> You cannot form a group with players from another kingdom. 
<파티> 다른 파티원을 탈퇴시킬 수 없습니다.	<Group> You cannot kick out group members. 
<파티> 대상을 소환할 수 없습니다.	<Group> You cannot call the target. 
<파티> 더 이상 파티원을 초대할 수 없습니다.	<Group> You cannot invite any more players into your group. 
<파티> 던전 안에서는 파티 초대를 할 수 없습니다.	<Group> You cannot invite players while you are in a dungeon. 
<파티> 던전 안에서는 파티 초대에 응할 수 없습니다.	<Group> You cannot accept an invitation into a dungeon. 
<파티> 던전 안에서는 파티에서 나갈 수 없습니다.	<Group> You cannot leave a group while you are in a dungeon. 
<파티> 던전 안에서는 파티에서 추방할 수 없습니다.	<Group> You cannot kick out a player while you are in a dungeon. 
<파티> 던젼내에서는 파티를 나갈 수 없습니다.	<Group> You cannot leave a group while you are in a dungeon. 
<파티> 던젼내에서는 파티원을 추방할 수 없습니다.	<Group> You cannot kick out a player while you are in a dungeon. 
<파티> 리더만 변경할 수 있습니다.	<Group> Only the group leader can change this. 
<파티> 상태를 변경하려는 사람이 파티원이 아닙니다.	<Group> The target is not a member of your group. 
<파티> 서버 문제로 파티 관련 처리를 할 수 없습니다.	<Group> The server cannot execute this group request. 
<파티> 소환하려는 대상을 찾을 수 없습니다.	<Group> The target has not been found. 
<파티> 이미 %s님은 파티에 속해 있습니다.	<Group> %s is already in the group. 
<파티> 파티 기술은 파티장만 사용할 수 있습니다.	<Group> Only the group leader can use group skills. 
<파티> 파티 초대에 응할 수 없습니다.	<Group> You cannot accept the invitation. 
<파티> 파티가 해산 되었습니다.	<Group> This group has been disbanded. 
<파티> 파티내 최고 레벨 보다 30레벨이 낮아 초대할 수 없습니다.	<Group> You cannot invite this player, as their level is too low. 
<파티> 파티내 최저 레벨 보다 30레벨이 높아 초대할 수 없습니다.	<Group> You cannot invite this player, as their level is too high. 
<파티> 파티에서 나가셨습니다.	<Group> You have left the group. 
<파티> 파티에서 추방당하셨습니다.	<Group> You have been out kicked of the group. 
<파티> 파티요청을 한 캐릭터를 찾을수 없습니다.	<Group> The player who invited you is not online. 
<파티> 파티원을 초대할 수 있는 권한이 없습니다.	<Group> You do not have the right to invite someone. 
<파티> 파티원을 현재 위치로 소환할 수 없습니다.	<Group> You cannot call group members over to your current position. 
<파티> 파티의 인원제한이 초과하여 파티에 참가할 수 없습니다.	<Group> You cannot join this group because it is already full. 
O 입니다	Yes (O) 
OX 문제 스크립트 로딩 성공	OX quiz script has loaded. 
OX 문제 스크립트 로딩 실패	OX quiz script could not be loaded. 
OX 상품을 지급하였습니다. ID: %d 수량: %d	OX The prize has been awarded. ID: %d Quantity: %d 
OX 이벤트가 시작되었습니다.	OX Event has started. 
OX 이벤트가 이미 진행중입니다(flag: %d)	The event is already running. (Flag: %d) 
OX 이벤트를 마치겟습니다.	OX Event is being closed. 
OX이벤트 맵을 먼저 닫아 주세요.(Flag: %d)	Close the OX event card first. (Flag: %d) 
OX이벤트가 닫히지 않았거나, 퀴즈 출제중입니다.(flag: %d)	OX The Event has not ended yet. An error has occurred. (flag: %d) 
OX이벤트가 열려 있지 않거나 문제 출제중입니다.(Flag: %d)	OX Event is over. No errors occurred. (Flag: %d) 
OX이벤트를 강제 종료 시킵니다.	OX Event is finishing. 
OX이벤트의 나머지 인원 기록을 실패했습니다.	OX The other event participants have not been noted down. 
OX이벤트의 나머지 인원을 기록하였습니다.	OX The other event participants are being noted down. 
TEST : 현재 국고 : %d	TEST: In your kingdom's safe there are: %d 
TEST : 황금두꺼비가 국고로 환원되었습니다.	TEST: The Gold Bar has been paid back to your kingdom's safe. 
TEST : 황금두꺼비를 국고로 환원할 수 없습니다.	TEST: You cannot pay the Gold Bar back into your kingdom's safe. 
X 입니다	No (X) 
[%s군주] : %s	[%sMonarch] : %s 
[%s군주] : %s  보유금액 %lld	[%sMonarch] : %s Yang owned %lld 
[TEST_ONLY]현재 국고 : %d	[TEST_ONLY]Tax : %d 
가만히 있을 때만 착용할 수 있습니다.	You have to stand still to equip the item. 
각제국 진행 정보	Information for the Kingdoms 
감지기를 작용하였으나 감지되는 영석이 없습니다.	There is currently no Metin Stone on this map. 
갑옷을 벗어야 개인 상점을 열 수 있습니다.	You can only open the shop if you take off your armour. 
값을 잘못 입력하였습니다.	You entered an incorrect value. 
강화에 성공했습니다.	Strengthening was successful. 
강화에 실패했습니다.	Strengthening failed. 
강화에 필요한 재료가 아닙니다.	You do not own the materials required to strengthen the Dragon Stone. 
강화창을 연 상태에서는 아이템을 옮길 수 없습니다.	You cannot move the item within the refinement window. 
강화할 수 없는 용혼석입니다.	This Dragon Stone cannot be used for strengthening. 
같은 개량서를 합칠 수는 없습니다.	You cannot combine identical Advancement Scrolls. 
같은 종류의 메틴석은 여러개 부착할 수 없습니다.	You cannot attach several stones of the same type. 
같은 종류의 유니크 아이템 두 개를 동시에 장착할 수 없습니다.	You cannot equip this item twice. 
같이 지을 수 없는 종류의 건물이 지어져 있습니다.	This type of building can only be erected once. 
개량된 후 아이템의 레벨 제한보다 레벨이 낮습니다.	Your level is too low to use this item. 
개량을 하기 위한 돈이 부족합니다.	You do not have enough Yang. 
개량을 하기 위한 재료가 부족합니다.	Not the right material for an upgrade. 
개인상점 사용후 %d초 이내에는 귀환부,귀환기억부를 사용할 수 없습니다.	After opening a storeroom you cannot use a return scroll for another %d seconds. 
거래 후 %d초 이내에 창고를 열수 없습니다.	After a trade, you have to wait %d seconds before you can open a shop. 
거래 후 %d초 이내에는 귀환부,귀환기억부등을 사용할 수 없습니다.	After a trade you cannot use a return scroll for %d seconds. 
거래 후 %d초 이내에는 다른지역으로 이동 할 수 없습니다.	After trading you cannot go elsewhere for %d seconds. 
거래창,창고 등을 연 상태에서는 귀환부,귀환기억부 를 사용할수 없습니다.	You cannot use a return scroll while another window is open. 
거래창,창고 등을 연 상태에서는 다른곳으로 이동,종료 할수 없습니다	You cannot go elsewhere for a period of time after the trade. 
거래창,창고 등을 연 상태에서는 보따리,비단보따리를 사용할수 없습니다.	You cannot open the Storeroom if another window is already open. 
거짓	FALSE 
건물 비용 정보 이상으로 건설 작업에 실패했습니다.	Building failed because of incorrect pricing. 
