%d 권을 더 읽어야 수련을 완료 할 수 있습니다.	Bu yeteneği geliştirmek için %d Yetenek Kitabı daha okumalısınız. 
%d 냥을 투자하셨습니다.	%d Yang yatırdın. 
%d 냥을 획득하셨습니다.	%d Yang kazandın. 
%d 레벨이 되어야 다시 염색하실 수 있습니다.	Saçını tekrar boyayabilmek için %d. seviyeye ulaşman gerekli. 
%d 분 %d 초 동안 채팅금지 상태입니다	Sohbet bloklamanızın kalkmasına %d dakika %d saniye kaldı 
%d 시간 %d 분 %d 초 동안 채팅금지 상태입니다	Sohbet bloklamanızın kalkmasına %d saat %d dakika %d saniye kaldı 
%d 시간 %d 초 동안 채팅금지 상태입니다	Sohbet bloklamanızın kalkmasına %d saat %d saniye kaldı 
%d 종류 %d 마리 낚음	%d nın %d Yakaladın. 
%d 초 동안 채팅금지 상태입니다	Sohbet engelinizin kalkmasına %d saniye kaldı 
%d 초 후에 군주의 축복을 사용할 수 있습니다	%d saniye sonra İmparator Kutsamasını kullanabilirsin. 
%d 초간 쿨타임이 적용중입니다.	Dinlenme Süresi yaklaşık %d saniye 
%d 초후 목적지로 이동됩니다.	%d saniye içinde hedefte olacaksın. 
%d%% 확률로 관통 공격	Delici saldırı şansı %d%% 
%d%% 확률로 적퇴치시 경험치 추가 상승	Eğer kazanırsan tecrübe %d%% artacak. 
%d%% 확률로 적퇴치시 돈 2배 드롭	Eğer kazanırsan Yang %d%% artacak. 
%d%% 확률로 적퇴치시 생명력 회복	Kazandıktan sonra hayat puanın %d%% oranında artacak. 
%d%% 확률로 적퇴치시 아이템 2배 드롭	Eğer kazanırsan ele geçirilen nesne %d%% artacak. 
%d%% 확률로 적퇴치시 정신력 회복	Eğer kazanırsan SP %d%% artacak. 
%d%% 확률로 치명타 공격	Kritik saldırı şansı %d%% 
%d%% 확률로 타격시 상대 전신력 소모	%d%% oranında SP düşmandan çalma şansı. 
%d%% 확률로 피해시 정신력 회복	Oranında SP emiliyor %d%% . 
%d분의 결제시간이 추가 되었습니다. (결제번호 %d)	%d oyun süresi hesabınıza eklendi. (Ödeme Numarası %d) 
%d의 경험치를 획득했습니다.	%d Tecrübe Puanı kazandın. 
%d초 남았습니다.	%d saniye sonra oyun kapanacak. 
%d초 만큼 충전되었습니다.	%d saniye eklendi. 
%d초 후 게임이 셧다운 됩니다.	Oyun %d saniye sonra kapanacak. 
%s : %d 마리	%s: %d 
%s SP소모: %d	%s FP Kullanımı: %d 
%s killcount %d mobkillcount %d bosskillcount %d 성지 진입수 %d	%s öldürülen %d öldürülen mob %d öldürülen lider %d Kutsal alan numarası %d 
%s 군주 후보에서 삭제하였습니다	İmparator adayı olarak %s silindi. 
%s 군주로 입명 했습니다.	%s İmparator adayı olarak gösterildi. 
%s 군주르 제거 하였습니다..	%s İmparatorluk görevini bıraktı. 
%s 군주를 제거 할수 없습니다.	%s İmparatoru görevi bırakamaz. 
%s 길드가 %s 길드에 선전포고를 하였습니다!	%s, %s loncasına karşı savaş ilan etti! 
%s 길드가 %s 길드와의 전쟁에서 승리 했습니다.	Lonca savaşında %s, %s loncasına karşı kazandı. 
%s 길드가 %s 길드의 깃발을 빼앗았습니다!	%s Loncası %s Loncasının bayrağını ele geçirdi! 
%s 길드와 %s 길드 사이의 전쟁이 무승부로 끝났습니다.	%s ile %s arasındaki lonca savaşı berabere sonuçlandı! 
%s 길드와 %s 길드 사이의 전쟁이 취소되었습니다.	%s ile %s arasındaki lonca savaşı iptal oldu! 
%s 길드와 %s 길드가 잠시 후 전쟁을 시작합니다!	%s ile %s arasındaki lonca savaşı birkaç dakika içinde başlayacak! 
%s 길드와 %s 길드가 전쟁을 시작하였습니다!	%s ile %s arasında lonca savaşı başladı! 
%s 길드의 %s이 %d%% 증가했습니다!	Loncanın %s %s %d%% derecesine yükseldi! 
%s 길드의 %s이 정상으로 돌아왔습니다.	Loncanın %s %s tekrar normal. 
%s 길드의 깃발을 %s 님이 획득하였습니다.	%s loncasının bayrağı, %s tarafından çalındı. 
%s 는 군주 후보가 아닙니다.	%s İmparator olmak için bir aday değil. 
%s 는 군주로 입명할수 없습니다 .	%s İmparatorluğa aday olamaz. 
%s 님과의 교환이 성사 되었습니다.	%s ile olan ticaret başarıyla gerçekleşti. 
%s 님에게 파티가입 신청을 했습니다.	%s Grubuna katılmak istiyor musun? 
%s 님으로 부터 친구 등록을 거부 당했습니다.	%s daveti reddetti. 
%s 님은 %d 채널에 접속 중 입니다. (현재 채널: %d)	%s şuanda %d kanalında. (Kanalınız: %d) 
%s 님은 접속되 있지 않습니다.	%s çevrimiçi değil. 
%s 님은 정상적으로 출마를 하였습니다.	%s oyuncu zaten oylamada. 
%s 님을 소환하였습니다.	%s oyuncuları iyileştirdin. 
%s 님이 대련에서 승리하였습니다.	Düelloyu %s kazandı. 
%s 님이 승리하였습니다.	%s kazandı. 
%s 블럭! (%d%%)	%s engelle! (%d%%) 
%s 아이템 을 획득하셨습니다	%s eşyasını kazandın. 
%s 아이템이 필요합니다	%s gerekli. 
%s 에게로 이동합니다	%s yanına naklet. 
%s 회피! (%d%%)	%s kaç! (%d%%) 
%s: 존재하지 않는 길드 입니다.	%s: Lonca bulunamadı. 
%s[%d]가 공격 위치: %d %d	%s[%d] Saldırı pozisyonu: %d %d 
%s님과의 대결 시작!	%s ile olan savaş başladı! 
%s님이 대결신청을 했습니다. 승낙하려면 대결동의를 하세요.	%s seni savaşa davet ediyor! 
%s님이 주사위를 굴려 %d가 나왔습니다. (%d-%d)	%s zar attı. Sonuç %d (%d-%d). 
%s를 구웠습니다.	Ateşte %s kızartıyorsun. 
%s에 박혀있던 보석이 사라집니다.	%s mücevheri kayboldu. 
%s에 전쟁의 시작을 알리는 봉화가 나타났습니다.	%s de savaş yüzünden bir uyarı ateşi yakıldı. 
%s에게 대결신청을 했습니다.	%s savaşa davet ettiniz. 
%s에서 봉화를 둘러싸고 전투가 진행중입니다.	Ateşleri yakmak için %s savaşları var. 
%s에서 소켓 빠질때까지 남은 시간 %d	%sgirişinin silinmesine kalan süre : %d 
%s의 %s이 %d%% 증가했습니다!	%s: %s, %d%% oranında yükseldi! 
%s의 %s이 정상으로 돌아왔습니다.	%s 's %s tekrar normal. 
%s의 군주가 %s 님으로 교체되었습니다.	%s İmparatoru %s oldu. 
%s이 모든 봉화를 파괴하였습니다.	%s ateşi yok etti. 
%s이 봉화를 파괴했습니다.	%s ateşi yok etti. 
%s이 수성에 성공했습니다.	%s başarıyla savundu. 
%s이 수성에 실패하여 전쟁에 패배하였습니다..	%s kaleyi koruyamadığı için savaşı kaybetti. 
%s이 필요합니다.	Bu hareket için gereken: %s 
(%s) 길드가 생성되었습니다. [임시]	(%s) Lonca kuruldu. [Temporary] 
<길드> 상대방이 초대 신청을 받을 수 없는 상태입니다.	<Guild> Karşındaki kişi davetiyeyi alamıyor. 
<길드> 용신력 회복에 실패하였습니다.	<Guild> Ejderha hayaleti yüklenemedi. 
<길드> 용신력이 부족합니다. (%d, %d)	<Guild> Yeterli Ejderha hayaleti yok. (%d, %d) 
<길드> 이미 같은 이름의 길드가 있습니다.	<Guild> Bu Lonca adı zaten kullanılıyor. 
<길드> 이미 다른 전쟁에 참전 중 입니다.	<Guild> Loncanız zaten başka bir savaşa katılıyor. 
<길드> 이미 전쟁 중인 길드입니다.	<Guild> Loncanız zaten başka bir savaşa katılıyor. 
<길드> 이미 전쟁이 예약된 길드 입니다.	<Guild> Bu Lonca zaten başka bir Lonca savaşı için kayıt edilmiş. 
<길드> 잘못된 금액입니다.	<Guild> Yanlış Yang toplamı. 
<길드> 잠시후에 이용해주십시오	<Guild> Lütfen daha sonra tekrar deneyin. 
<길드> 잠시후에 이용해주십시오.	<Guild> Lütfen daha sonra tekrar deneyin. 
<길드> 장군을 지정할 권한이 없습니다.	<Guild> Lideri seçemezsin. 
<길드> 적합하지 않은 직위 이름 입니다.	<Guild> Bu rütbe ismi geçersiz. 
<길드> 전비가 부족하여 길드전을 할 수 없습니다.	<Guild> Lonca savaşına katılmak için yeterli Yang yok. 
<길드> 제공하고자 하는 경험치가 남은 경험치보다 많습니다.	<Guild> Sağlanan tecrübe kaybedilenden tecrübeden daha fazla. 
<길드> 직위 권한을 변경할 권한이 없습니다.	<Guild> Pozisyonunu değiştiremezsin. 
<길드> 직위 이름을 변경할 권한이 없습니다.	<Guild> Rütbe ismini değiştiremezsin. 
<길드> 직위를 변경할 권한이 없습니다.	<Guild> Pozisyonunu değiştiremezsin. 
<길드> 최대 길드원 수를 초과했습니다.	<Guild> Lonca kapasitesi maximum seviyeye ulaştı. 
<길드> 쿨타임이 끝나지 않아 길드 스킬을 사용할 수 없습니다.	<Guild> Henüz Lonca Becerilerini kullanamazsın. 
<길드> 탈퇴한 후 %d일 이내에는 길드를 만들 수 없습니다.	<Guild> Bir Loncadan ayrıldıktan sonra  %d gün yeni Lonca kuramazsın. 
<길드> 탈퇴한 후 %d일이 지나지 않은 사람은 길드에 초대할 수 없습니다.	<Guild> Oyuncu %d gün sonra davet edilebilir. 
<길드> 해산한 후 %d일 이내에는 길드를 만들 수 없습니다.	<Guild> Lonca silindikten sonra, %d gün yeni Lonca kuramazsın. 
<길드> 현재 길드가 전쟁 중 입니다.	<Lonca> Bu lonca şu anda savaşta. 
<메신져> %s 님을 메신저에서 삭제하였습니다.	<Friends> %s listenden silindi. 
<메신져> %s 님을 친구로 추가하였습니다.	<Friends> %s arkadaş olarak eklendi. 
<메신져> 운영자는 메신져에 추가할 수 없습니다.	<Friends> Listene bir GM ekleyemezsin. 
<창고> 거리가 멀어서 창고를 열 수 없습니다.	<Storeroom> Depoya uzak olduğun için açamıyorsun. 
<창고> 기존 비밀번호가 틀렸습니다.	<Storages> Yanlış şifre girdin. 
<창고> 옮길 수 없는 위치입니다.	<Storages> Hareket mümkün değil. 
<창고> 이 아이템은 넣을 수 없습니다.	<Storages> Eşya depolanamaz. 
<창고> 잘못된 암호를 입력하셨습니다.	<Storages> Yanlış şifre girdin. 
<창고> 창고 비밀번호가 변경되었습니다.	<Storeroom> Depo şifresi değişti. 
<창고> 창고가 이미 열려있습니다.	<Storages> Depo zaten açık. 
<창고> 창고로 옮길 수 없는 아이템 입니다.	<Storeroom> Bu eşyayı depona süremezsin. 
<창고> 창고를 닫은지 10초 안에는 열 수 없습니다.	<Storages> Yeniden depo açmak için 10 saniye beklemelisin. 
<퀘스트> 이전에 같은 보상을 받은 적이 있어 다시 받지 않습니다.	<Quest> Ödülünü aldın zaten. 
<파티> %s 님이 파티 거부 상태입니다.	<Group> %s Grup davetini reddetti. 
<파티> %s님의 파티에 참가하셨습니다.	<Group> %s Grubunuza katıldı. 
<파티> %s님이 파티 초대를 거절하셨습니다.	<Group> %s davetini reddetti. 
<파티> %s님이 파티에 참가하셨습니다.	<Group> %s Grubunuza katıldı. 
<파티> -30 ~ +30 레벨 이내의 상대방만 초대할 수 있습니다.	<Group> -30 ile +30 Seviye aralığında olan oyuncuları davet edebilirsin. 
<파티> 관전 모드에선 파티 초대를 할 수 없습니다.	<Group> İzleyici modundayken oyuncu davet edemezsin. 
<파티> 다른 제국과 파티를 이룰 수 없습니다.	<Group> Diğer Krallıktan olan oyuncularla grup oluşturamazsın. 
<파티> 다른 파티원을 탈퇴시킬 수 없습니다.	<Group> Grup üyelerini atamazsın. 
<파티> 대상을 소환할 수 없습니다.	<Grup> Hedefi çağıramazsın. 
<파티> 더 이상 파티원을 초대할 수 없습니다.	<Group> Gruba daha fazla oyuncu davet edemezsin. 
<파티> 던전 안에서는 파티 초대를 할 수 없습니다.	<Group> Zindandayken oyuncu davet edemezsin. 
<파티> 던전 안에서는 파티 초대에 응할 수 없습니다.	<Group> Zindandayken davet kabul edemezsin. 
<파티> 던전 안에서는 파티에서 나갈 수 없습니다.	<Group> Zindandayken gruptan ayrılamazsın. 
<파티> 던전 안에서는 파티에서 추방할 수 없습니다.	<Group> Zindandayken oyuncu atamazsın. 
<파티> 던젼내에서는 파티를 나갈 수 없습니다.	<Group> Zindandayken gruptan ayrılamazsın. 
<파티> 던젼내에서는 파티원을 추방할 수 없습니다.	<Group> Zindandayken oyuncu atamazsın. 
<파티> 리더만 변경할 수 있습니다.	<Group> Bunu sadece Grup Lideri değiştirebilir. 
<파티> 상태를 변경하려는 사람이 파티원이 아닙니다.	<Group> Hedef grubunuzun üyesi değil. 
<파티> 서버 문제로 파티 관련 처리를 할 수 없습니다.	<Group> Sunucu grup isteğini gerçekleştiremedi. 
<파티> 소환하려는 대상을 찾을 수 없습니다.	<Group> Hedef bulunamadı. 
<파티> 이미 %s님은 파티에 속해 있습니다.	<Group> %s zaten bu grupta. 
<파티> 파티 기술은 파티장만 사용할 수 있습니다.	<Group> Grup Becerilerini sadece grup lideri kullanabilir. 
<파티> 파티 초대에 응할 수 없습니다.	<Group> Daveti kabul edemezsin. 
<파티> 파티가 해산 되었습니다.	<Grup> Grup silindi. 
<파티> 파티내 최고 레벨 보다 30레벨이 낮아 초대할 수 없습니다.	<Group> Bu oyuncuyu seviyesi çok düşük olduğu için davet edemezsin. 
<파티> 파티내 최저 레벨 보다 30레벨이 높아 초대할 수 없습니다.	<Group> Bu oyuncuyu seviyesi çok yüksek olduğu için davet edemezsin. 
<파티> 파티에서 나가셨습니다.	<Group> Gruptan ayrıldın. 
<파티> 파티에서 추방당하셨습니다.	<Group> Gruptan atıldın. 
<파티> 파티요청을 한 캐릭터를 찾을수 없습니다.	<Group> Davet edilen oyuncu çevrimiçi değil. 
<파티> 파티원을 초대할 수 있는 권한이 없습니다.	<Grup> Birini davet etmek için yetkin yok. 
<파티> 파티원을 현재 위치로 소환할 수 없습니다.	<Grup> Bulunduğun pozisyonda grup üyelerini çağıramazsın. 
<파티> 파티의 인원제한이 초과하여 파티에 참가할 수 없습니다.	<Group> Bu grup dolu olduğu için katılamazsın. 
O 입니다	Evet (O) 
OX 문제 스크립트 로딩 성공	OX Quiz metni yüklendi. 
OX 문제 스크립트 로딩 실패	OX Quiz metni yüklenemedi. 
OX 상품을 지급하였습니다. ID: %d 수량: %d	OX Ödül verildi. İsim: %d Değer: %d 
OX 이벤트가 시작되었습니다.	OX Etkinlik başladı. 
OX 이벤트가 이미 진행중입니다(flag: %d)	Etkinlik başladı bile. (Flag: %d) 
OX 이벤트를 마치겟습니다.	OX Etkinliği sona eriyor. 
